

# Backward, 18kHz offset
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
6500.000000	0.035294	0.034415	4.812832
6490.000000	0.039381	0.037988	5.830869
6480.000000	0.037152	0.038684	5.866877
6470.000000	0.034658	0.036899	3.204042
6460.000000	0.037394	0.038750	5.838852
6450.000000	0.038318	0.035981	12.582971
6440.000000	0.043003	0.041493	12.209522
6430.000000	0.043307	0.041774	13.510135
6420.000000	0.047500	0.052012	12.052026
6410.000000	0.046261	0.048564	18.717535
6400.000000	0.052104	0.051830	11.127953
6390.000000	0.048918	0.053142	10.765140
6380.000000	0.049145	0.050413	23.954031
6370.000000	0.055100	0.059698	18.471773
6360.000000	0.053096	0.049892	19.298303
6350.000000	0.049990	0.050246	26.399472
6340.000000	0.057773	0.059612	30.317908
6330.000000	0.064959	0.068365	28.105604
6320.000000	0.060505	0.062173	17.919573
6310.000000	0.064145	0.066710	22.951338
6300.000000	0.072427	0.078494	37.819327
6290.000000	0.076810	0.076490	32.021427
6280.000000	0.076465	0.074515	41.556649
6270.000000	0.084177	0.082483	51.804163
6260.000000	0.090502	0.085560	63.219150
6250.000000	0.092838	0.097326	39.758295
6240.000000	0.087951	0.087718	66.430451
6230.000000	0.092037	0.094537	71.494175
6220.000000	0.093073	0.092027	48.882388
6210.000000	0.097496	0.102934	67.867529
6200.000000	0.114038	0.115578	80.865010
6190.000000	0.113068	0.116030	102.842303
6180.000000	0.120670	0.114775	111.755911
6170.000000	0.114815	0.102051	79.643883
6160.000000	0.124953	0.116017	48.865823
6150.000000	0.124836	0.115200	54.922238
6140.000000	0.110387	0.116374	89.660086
6130.000000	0.112356	0.109448	114.075358
6120.000000	0.115968	0.124119	133.534389
6110.000000	0.128137	0.131684	171.738010
6100.000000	0.116862	0.117829	190.851640
6090.000000	0.117636	0.119888	175.587650
6080.000000	0.118728	0.110467	222.474993
6070.000000	0.127439	0.126890	181.161675
6060.000000	0.120540	0.113598	169.987560
6050.000000	0.110716	0.112320	163.866874
6040.000000	0.123059	0.128556	149.436744
6030.000000	0.112155	0.115027	202.292119
6020.000000	0.115472	0.116640	200.759415
6010.000000	0.107178	0.110906	203.646092
6000.000000	0.099808	0.101714	224.526166
5990.000000	0.095114	0.084737	222.522656
5980.000000	0.097434	0.106852	182.946364
5970.000000	0.100229	0.106009	162.075565
5960.000000	0.094756	0.102328	126.640327
5950.000000	0.072826	0.076187	6.846748
5940.000000	0.062250	0.064255	11.890511
5930.000000	0.070799	0.072162	71.357357
5920.000000	0.064939	0.063416	72.049616
5910.000000	0.073981	0.076427	82.900187
5900.000000	0.080818	0.088249	100.704816
5890.000000	0.083256	0.078918	84.420579
5880.000000	0.087489	0.093059	45.665482
5870.000000	0.081893	0.078133	9.379498
5860.000000	0.081435	0.082996	0.614214
5850.000000	0.079397	0.079583	3.380427
5840.000000	0.086142	0.094428	1.188843
5830.000000	0.076085	0.076814	4.322089
5820.000000	0.072529	0.075458	3.355033
5810.000000	0.070576	0.071348	0.422991
5800.000000	0.071533	0.070017	0.288576
5790.000000	0.081229	0.081015	0.889048
5780.000000	0.063088	0.063044	1.539176
5770.000000	0.072066	0.087698	3.045075
5760.000000	0.067058	0.065494	1.484665
5750.000000	0.073973	0.072707	0.367165
5740.000000	0.071463	0.070564	0.303439
5730.000000	0.076018	0.078047	3.718520
5720.000000	0.075970	0.071806	0.726035
5710.000000	0.070873	0.070460	0.606496
5700.000000	0.071201	0.063425	0.542385
5690.000000	0.072155	0.068854	0.510218
5680.000000	0.080553	0.080425	0.444070
5670.000000	0.070487	0.073365	0.219956
5660.000000	0.081452	0.082091	1.379652
5650.000000	0.072213	0.074985	0.313237
5640.000000	0.080584	0.080198	1.850273
5630.000000	0.088535	0.086370	2.495985
5620.000000	0.081836	0.081809	0.886559
5610.000000	0.073415	0.073266	1.144962
5600.000000	0.075448	0.073236	5.674625
5590.000000	0.079319	0.085205	0.752269
5580.000000	0.071706	0.066368	2.338813
5570.000000	0.077813	0.081026	2.269360
5560.000000	0.086382	0.085650	2.043645
5550.000000	0.091045	0.079396	1.883946
5540.000000	0.097300	0.096390	0.681772
5530.000000	0.107913	0.116950	0.450205
5520.000000	0.219368	0.224036	0.867725
5510.000000	0.099332	0.096376	0.472288
5500.000000	0.098888	0.087732	1.176278
