

# Excitation rotated over 90degrees
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
6500.000000	0.034966	0.035158	1.664828
6490.000000	0.037949	0.037122	0.847060
6480.000000	0.033803	0.033563	1.247517
6470.000000	0.033422	0.029799	1.578047
6460.000000	0.031465	0.029916	1.206557
6450.000000	0.036779	0.034787	2.015382
6440.000000	0.035488	0.033221	2.213701
6430.000000	0.038661	0.038492	1.010391
6420.000000	0.041981	0.043978	2.170363
6410.000000	0.038953	0.039056	2.029864
6400.000000	0.042668	0.042104	0.609349
6390.000000	0.050988	0.052118	1.633108
6380.000000	0.049918	0.050898	0.918603
6370.000000	0.056246	0.062675	1.229095
6360.000000	0.048666	0.046734	2.776427
6350.000000	0.044388	0.043480	3.443035
6340.000000	0.053744	0.057793	2.284013
6330.000000	0.056172	0.054319	4.058841
6320.000000	0.062865	0.061602	1.403740
6310.000000	0.060128	0.061698	0.787413
6300.000000	0.065502	0.069985	1.510863
6290.000000	0.070761	0.072866	1.904080
6280.000000	0.066976	0.065850	1.326107
6270.000000	0.076593	0.081615	1.671784
6260.000000	0.087523	0.086993	2.713217
6250.000000	0.078452	0.070956	2.337718
6240.000000	0.090401	0.093650	1.176939
6230.000000	0.086000	0.087733	0.744663
6220.000000	0.090819	0.099120	1.676773
6210.000000	0.097371	0.100033	0.927070
6200.000000	0.112178	0.106391	0.991613
6190.000000	0.119024	0.123202	0.457700
6180.000000	0.110286	0.108926	0.680655
6170.000000	0.115321	0.123346	3.614346
6160.000000	0.105736	0.096655	2.322428
6150.000000	0.117227	0.112792	3.762622
6140.000000	0.100390	0.101926	4.613219
6130.000000	0.116373	0.112301	3.463996
6120.000000	0.099112	0.092539	2.797215
6110.000000	0.114778	0.110931	4.643556
6100.000000	0.121221	0.123397	3.051846
6090.000000	0.108602	0.106808	0.652238
6080.000000	0.120679	0.120911	5.746497
6070.000000	0.112540	0.109565	4.687998
6060.000000	0.101266	0.098766	4.618898
6050.000000	0.099921	0.093193	1.447666
6040.000000	0.102352	0.109590	2.165137
6030.000000	0.093461	0.091449	1.990699
6020.000000	0.090192	0.087378	0.438533
6010.000000	0.090636	0.097015	0.432173
6000.000000	0.090576	0.094256	1.804610
5990.000000	0.091220	0.097621	1.424201
5980.000000	0.090761	0.090684	0.924829
5970.000000	0.085576	0.090846	0.458298
5960.000000	0.075915	0.078227	0.500812
5950.000000	0.084071	0.081303	0.576746
5940.000000	0.083055	0.081487	1.854461
5930.000000	0.079084	0.087334	0.486203
5920.000000	0.075460	0.076489	0.393479
5910.000000	0.069560	0.070890	0.390935
5900.000000	0.073679	0.072341	0.491003
5890.000000	0.066945	0.063359	0.491356
5880.000000	0.061082	0.063034	0.510111
5870.000000	0.069796	0.073131	0.419786
5860.000000	0.067114	0.064598	0.695027
5850.000000	0.068892	0.073140	0.631293
5840.000000	0.055380	0.051369	1.656121
5830.000000	0.063092	0.060590	1.589967
5820.000000	0.059897	0.060805	0.312138
5810.000000	0.062869	0.060858	0.955095
5800.000000	0.051012	0.051167	1.360887
5790.000000	0.060359	0.061970	0.384664
5780.000000	0.062948	0.064497	1.568487
5770.000000	0.054983	0.054420	3.688029
5760.000000	0.053604	0.052765	1.082147
5750.000000	0.054733	0.062715	1.438558
5740.000000	0.056524	0.054210	2.358804
5730.000000	0.053841	0.049347	2.290990
5720.000000	0.061856	0.059931	2.678604
5710.000000	0.058767	0.060220	1.946786
5700.000000	0.063306	0.061869	0.304087
5690.000000	0.057536	0.058068	0.636749
5680.000000	0.051172	0.049050	0.204575
5670.000000	0.059496	0.058180	0.354608
5660.000000	0.052882	0.050511	0.343839
5650.000000	0.059442	0.062333	0.199112
5640.000000	0.053237	0.057184	0.269169
5630.000000	0.060246	0.061787	0.618811
5620.000000	0.060550	0.062870	0.256253
5610.000000	0.058849	0.057197	0.917073
5600.000000	0.063201	0.060318	0.655827
5590.000000	0.063450	0.060458	0.273107
5580.000000	0.059921	0.056332	0.675192
5570.000000	0.060256	0.066067	0.649008
5560.000000	0.065910	0.056335	0.362620
5550.000000	0.056626	0.058671	0.464970
5540.000000	0.071270	0.067589	0.586646
5530.000000	0.075128	0.074697	0.366055
5520.000000	0.086468	0.087326	1.522441
5510.000000	0.072325	0.074295	0.351634
5500.000000	0.078403	0.077310	0.373551
