

# Everything is back to normal, def meas
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
6500.000000	0.036661	0.036724	8.635495
6490.000000	0.037012	0.038958	5.843255
6480.000000	0.037228	0.035438	3.908720
6470.000000	0.036234	0.038222	3.458393
6460.000000	0.036375	0.039587	4.106487
6450.000000	0.035428	0.034327	6.259564
6440.000000	0.035208	0.034034	5.813444
6430.000000	0.040291	0.037950	11.605652
6420.000000	0.045568	0.046003	10.013758
6410.000000	0.045559	0.041871	8.013134
6400.000000	0.045327	0.043215	6.196923
6390.000000	0.047222	0.047429	9.208297
6380.000000	0.047074	0.045530	16.038689
6370.000000	0.050005	0.048024	18.125356
6360.000000	0.050687	0.050171	17.047201
6350.000000	0.050294	0.048784	22.507901
6340.000000	0.055910	0.053110	22.123077
6330.000000	0.059002	0.056323	26.616935
6320.000000	0.055022	0.050782	27.405948
6310.000000	0.066532	0.067882	22.111982
6300.000000	0.064400	0.065584	30.926166
6290.000000	0.070567	0.073729	18.238930
6280.000000	0.065465	0.062781	30.614219
6270.000000	0.077136	0.077049	32.832894
6260.000000	0.082131	0.084239	34.892591
6250.000000	0.079492	0.080062	27.807582
6240.000000	0.085787	0.087826	27.772568
6230.000000	0.090743	0.092755	33.812847
6220.000000	0.107420	0.095566	43.188303
6210.000000	0.101048	0.111325	45.243209
6200.000000	0.101525	0.092122	40.555025
6190.000000	0.104598	0.100683	46.929684
6180.000000	0.104584	0.116924	85.238279
6170.000000	0.107775	0.104049	80.225853
6160.000000	0.114391	0.109299	55.301549
6150.000000	0.116550	0.130058	62.531265
6140.000000	0.115186	0.113996	55.708321
6130.000000	0.103236	0.092277	46.489422
6120.000000	0.120718	0.124394	53.282694
6110.000000	0.107514	0.103108	70.473724
6100.000000	0.108832	0.105135	99.002602
6090.000000	0.121324	0.120821	133.852484
6080.000000	0.109334	0.113193	120.636347
6070.000000	0.122354	0.115397	105.402884
6060.000000	0.113012	0.113867	124.622629
6050.000000	0.105618	0.098553	101.093222
6040.000000	0.099628	0.095462	80.874718
6030.000000	0.094398	0.097061	108.444855
6020.000000	0.097484	0.103677	133.129479
6010.000000	0.103089	0.107106	137.795018
6000.000000	0.088213	0.085665	127.988870
5990.000000	0.089687	0.089694	132.640129
5980.000000	0.097161	0.094159	87.154796
5970.000000	0.084539	0.090321	96.995441
5960.000000	0.082710	0.080543	102.617760
5950.000000	0.079737	0.083123	91.985348
5940.000000	0.071379	0.071758	103.176343
5930.000000	0.077462	0.080041	100.807636
5920.000000	0.083914	0.082133	104.967108
5910.000000	0.069517	0.070909	95.388566
5900.000000	0.078327	0.078131	97.045891
5890.000000	0.072980	0.074942	72.400698
5880.000000	0.067499	0.068011	63.287315
5870.000000	0.070958	0.072436	72.379658
5860.000000	0.060893	0.057301	57.557758
5850.000000	0.059903	0.061359	50.111288
5840.000000	0.069251	0.071815	44.711685
5830.000000	0.060512	0.057219	44.259823
5820.000000	0.060011	0.067503	48.213311
5810.000000	0.058338	0.057919	47.695705
5800.000000	0.056079	0.057460	42.544984
5790.000000	0.054468	0.051912	36.613449
5780.000000	0.053713	0.057598	51.484475
5770.000000	0.057046	0.054786	43.797335
5760.000000	0.062184	0.068044	34.708675
5750.000000	0.057397	0.058267	42.600014
5740.000000	0.060608	0.057365	34.047451
5730.000000	0.055797	0.058162	32.947795
5720.000000	0.058396	0.056326	30.914860
5710.000000	0.051424	0.052582	29.963784
5700.000000	0.058963	0.057877	18.159054
5690.000000	0.054946	0.048503	18.476206
5680.000000	0.057096	0.060726	19.675874
5670.000000	0.064478	0.064290	24.068090
5660.000000	0.055673	0.056229	28.557407
5650.000000	0.056240	0.053843	24.260976
5640.000000	0.056778	0.054372	16.395252
5630.000000	0.064540	0.060735	24.369785
5620.000000	0.060664	0.060496	20.230984
5610.000000	0.065220	0.063567	19.433545
5600.000000	0.059135	0.062454	19.998461
5590.000000	0.065229	0.068042	22.802172
5580.000000	0.067969	0.065618	25.060059
5570.000000	0.066277	0.065187	15.987706
5560.000000	0.066916	0.069658	17.864211
5550.000000	0.065111	0.066583	13.868678
5540.000000	0.070461	0.074158	12.131944
5530.000000	0.068725	0.068935	20.267489
5520.000000	0.099693	0.100349	16.594287
5510.000000	0.076099	0.075787	15.401945
5500.000000	0.074533	0.085310	14.278932
