

# Excitation power increased by 3dB
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
6500.000000	0.034225	0.032535	8.699002
6490.000000	0.037255	0.035263	10.460513
6480.000000	0.037449	0.035080	6.260221
6470.000000	0.031831	0.029993	5.176601
6460.000000	0.035655	0.035921	7.491590
6450.000000	0.036536	0.033647	10.027547
6440.000000	0.038182	0.037780	10.875796
6430.000000	0.039672	0.036364	14.876253
6420.000000	0.042571	0.041253	13.561469
6410.000000	0.043452	0.041872	13.001321
6400.000000	0.046081	0.046200	9.330911
6390.000000	0.045152	0.048600	14.971150
6380.000000	0.048042	0.045605	22.806924
6370.000000	0.049747	0.051616	24.751351
6360.000000	0.048284	0.049583	23.476674
6350.000000	0.048350	0.049589	40.279492
6340.000000	0.049195	0.047218	31.984158
6330.000000	0.056900	0.058002	37.601379
6320.000000	0.061650	0.060081	39.177036
6310.000000	0.065192	0.062189	31.264302
6300.000000	0.064634	0.065164	45.335743
6290.000000	0.065875	0.067088	34.071442
6280.000000	0.076677	0.078086	50.921823
6270.000000	0.085088	0.081451	48.076299
6260.000000	0.079559	0.081963	52.572467
6250.000000	0.074543	0.078166	45.364299
6240.000000	0.087159	0.087814	40.290888
6230.000000	0.079357	0.078085	56.312651
6220.000000	0.091069	0.092747	67.838212
6210.000000	0.094092	0.089270	83.086614
6200.000000	0.108478	0.112787	93.611411
6190.000000	0.112279	0.135005	91.837739
6180.000000	0.097472	0.096746	122.652269
6170.000000	0.105034	0.109451	97.471515
6160.000000	0.112316	0.115668	90.544030
6150.000000	0.103653	0.108385	83.024199
6140.000000	0.105970	0.102908	77.525130
6130.000000	0.102516	0.100888	97.936244
6120.000000	0.111135	0.105709	65.854963
6110.000000	0.119406	0.124877	106.311103
6100.000000	0.122001	0.125867	164.719579
6090.000000	0.115649	0.119058	180.186573
6080.000000	0.110276	0.111943	212.892775
6070.000000	0.112491	0.104703	177.818265
6060.000000	0.112372	0.104332	173.270290
6050.000000	0.104351	0.107359	169.716252
6040.000000	0.090476	0.094084	125.612644
6030.000000	0.095679	0.088540	168.733683
6020.000000	0.085713	0.081978	180.290530
6010.000000	0.102905	0.099609	222.473851
6000.000000	0.093326	0.106564	226.056214
5990.000000	0.089068	0.084999	185.974285
5980.000000	0.086930	0.083845	171.032954
5970.000000	0.081155	0.081889	164.598218
5960.000000	0.085611	0.084987	177.736822
5950.000000	0.078236	0.075029	144.532073
5940.000000	0.081238	0.080273	162.293128
5930.000000	0.078624	0.068113	174.797385
5920.000000	0.072549	0.067096	138.015584
5910.000000	0.071415	0.071099	163.165882
5900.000000	0.069036	0.071420	150.956748
5890.000000	0.074288	0.077772	120.993874
5880.000000	0.068054	0.070315	118.172343
5870.000000	0.071753	0.072682	93.507384
5860.000000	0.061935	0.063644	91.296676
5850.000000	0.059616	0.056936	96.919446
5840.000000	0.057946	0.056890	93.769950
5830.000000	0.051678	0.047401	69.965868
5820.000000	0.061924	0.061989	60.802470
5810.000000	0.064942	0.067040	55.043073
5800.000000	0.057433	0.055770	63.806311
5790.000000	0.057754	0.055530	68.558571
5780.000000	0.062273	0.062576	79.198871
5770.000000	0.059246	0.056713	66.602641
5760.000000	0.056480	0.052448	65.970936
5750.000000	0.057502	0.054285	54.419235
5740.000000	0.062946	0.065865	55.000611
5730.000000	0.060531	0.060564	68.175611
5720.000000	0.056821	0.057383	47.980845
5710.000000	0.060150	0.065023	53.174309
5700.000000	0.058048	0.061742	36.290961
5690.000000	0.053961	0.058174	44.187304
5680.000000	0.061615	0.058565	44.803804
5670.000000	0.055052	0.055254	38.973371
5660.000000	0.056927	0.057162	41.151805
5650.000000	0.054772	0.053450	36.533603
5640.000000	0.059948	0.058473	42.022345
5630.000000	0.063197	0.067461	33.870613
5620.000000	0.065079	0.067726	32.296549
5610.000000	0.065977	0.065212	39.196761
5600.000000	0.062794	0.058222	35.649614
5590.000000	0.064799	0.058075	31.529606
5580.000000	0.068305	0.072167	39.145872
5570.000000	0.071809	0.072384	31.987795
5560.000000	0.074074	0.074889	31.197958
5550.000000	0.071078	0.073853	28.108977
5540.000000	0.061724	0.065689	26.924093
5530.000000	0.073430	0.075955	28.963477
5520.000000	0.078086	0.083388	29.096887
5510.000000	0.067943	0.061347	30.559879
5500.000000	0.075022	0.077809	32.649302
