

# Extended sweep range
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
5500.000000	0.066966	0.070885	22.347269
5510.000000	0.064925	0.069640	31.923035
5520.000000	0.084946	0.087885	32.836424
5530.000000	0.076480	0.073920	33.430552
5540.000000	0.068729	0.065706	25.020560
5550.000000	0.069877	0.069397	23.367703
5560.000000	0.066571	0.070546	22.811062
5570.000000	0.061630	0.061381	23.124937
5580.000000	0.065307	0.068252	35.617403
5590.000000	0.064124	0.064657	32.797273
5600.000000	0.054014	0.051879	35.309722
5610.000000	0.066403	0.068044	29.299992
5620.000000	0.060032	0.063860	33.109746
5630.000000	0.060871	0.060630	42.130681
5640.000000	0.057807	0.058817	37.143403
5650.000000	0.054540	0.052133	36.583458
5660.000000	0.054602	0.053957	38.938805
5670.000000	0.061593	0.063239	36.918099
5680.000000	0.053818	0.053686	31.915158
5690.000000	0.059559	0.058405	45.218875
5700.000000	0.053825	0.053824	39.828943
5710.000000	0.056142	0.053500	48.814613
5720.000000	0.052727	0.049791	55.469714
5730.000000	0.063141	0.060716	61.746243


# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
4500.000000	0.073724	0.072337	1.944883
4510.000000	0.075538	0.070111	0.620699
4520.000000	0.075780	0.073782	4.231188
4530.000000	0.074359	0.078095	2.342637
4540.000000	0.075405	0.075890	4.319470
4550.000000	0.075499	0.069788	5.556750
4560.000000	0.072110	0.072310	1.487432
4570.000000	0.073643	0.065736	8.710996
4580.000000	0.069597	0.069901	7.749397
4590.000000	0.079841	0.076293	5.691575
4600.000000	0.087003	0.090639	4.834374
4610.000000	0.072629	0.070597	0.869730
4620.000000	0.073599	0.076522	0.434266
4630.000000	0.080944	0.089953	0.290083
4640.000000	0.076823	0.079630	6.359494
4650.000000	0.075900	0.076939	14.639936
4660.000000	0.077003	0.067497	12.616917
4670.000000	0.071733	0.068563	14.491373
4680.000000	0.070115	0.069477	17.107401
4690.000000	0.077611	0.075133	15.672945
4700.000000	0.068253	0.067570	16.050061
4710.000000	0.066426	0.062454	12.984760
4720.000000	0.071403	0.070120	11.293304
4730.000000	0.072533	0.072462	21.839892
4740.000000	0.065876	0.066793	10.927062
4750.000000	0.075368	0.080472	7.892616
4760.000000	0.063268	0.062225	4.471310
4770.000000	0.065461	0.062821	5.225340
4780.000000	0.079895	0.097136	0.402076
4790.000000	0.078378	0.075383	3.478755
4800.000000	0.073331	0.073409	1.556445
4810.000000	0.082125	0.077189	6.199487
4820.000000	0.087809	0.084868	2.826634
4830.000000	0.082364	0.081931	3.224386
4840.000000	0.078852	0.082376	5.622028
4850.000000	0.084706	0.076823	6.694869
4860.000000	0.085865	0.076783	9.062649
4870.000000	0.085174	0.082539	3.902125
4880.000000	0.084328	0.078697	7.791784
4890.000000	0.083242	0.088916	13.281161
4900.000000	0.091389	0.084718	14.498147
4910.000000	0.089733	0.092756	21.232896
4920.000000	0.096705	0.097730	8.162025
4930.000000	0.099054	0.097971	20.005850
4940.000000	0.101736	0.109241	12.406625
4950.000000	0.091383	0.089094	15.672405
4960.000000	0.094733	0.094880	9.803015
4970.000000	0.097523	0.099358	12.866394
4980.000000	0.115244	0.108427	10.595950
4990.000000	0.095129	0.095787	13.875379
5000.000000	0.101434	0.106276	22.729102
5010.000000	0.106831	0.112749	21.838516
5020.000000	0.106342	0.098650	21.800345
5030.000000	0.105088	0.103731	17.289854
5040.000000	0.114444	0.101758	12.397432
5050.000000	0.103635	0.108791	12.394282
5060.000000	0.107650	0.108357	23.279069
5070.000000	0.111614	0.108696	15.249432
5080.000000	0.117278	0.111951	8.099198
