

# No analyzer present
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3400.000000	0.012848	0.012514	0.173648
3402.000000	0.012300	0.012941	0.282826
3404.000000	0.012745	0.012641	0.158701
3406.000000	0.013364	0.012221	0.302384
3408.000000	0.013992	0.014175	0.434808
3410.000000	0.023204	0.025926	0.581812
3412.000000	0.016725	0.016351	0.206302
3414.000000	0.016515	0.016638	0.225994
3416.000000	0.030570	0.027887	0.402941
3418.000000	0.114278	0.109914	1.012926
3420.000000	0.028747	0.028997	0.452898
3422.000000	0.027991	0.027347	0.358457
3424.000000	0.027934	0.026864	0.259702
3426.000000	0.039796	0.040355	0.304594
3428.000000	0.041167	0.040565	0.207642
3430.000000	0.045424	0.043275	0.772773
3432.000000	0.037757	0.038765	0.824355
3434.000000	0.051947	0.056024	0.592568
3436.000000	0.108866	0.109239	0.731235
3438.000000	0.101075	0.110440	0.503081
3440.000000	0.081518	0.076957	0.426052
3442.000000	0.076527	0.080293	0.380976
3444.000000	0.147663	0.130418	1.255167
3446.000000	0.141282	0.128394	0.851257
3448.000000	0.097099	0.092126	0.577703
3450.000000	0.072631	0.071945	0.859239
3452.000000	0.071468	0.066817	0.341340
3454.000000	0.063927	0.054498	0.402578
3456.000000	0.082014	0.088900	0.653311
3458.000000	0.190151	0.186227	0.567677
3460.000000	0.306450	0.319376	1.888164
3462.000000	0.692665	0.673157	3.044042
3464.000000	0.396208	0.405790	1.992909
3466.000000	0.168048	0.172429	1.284550
3468.000000	0.347143	0.301016	2.174473
3470.000000	0.303651	0.284002	2.742914
3472.000000	0.250404	0.237048	4.005113
3474.000000	0.075636	0.073288	1.720633
3476.000000	0.099040	0.106507	0.875271
3478.000000	0.085834	0.097840	0.744788
3480.000000	0.072576	0.069202	0.432474
3482.000000	0.054430	0.062262	0.521237
3484.000000	0.078302	0.073538	0.341095
3486.000000	0.045808	0.045372	0.375402
3488.000000	0.059539	0.056729	0.654475
3490.000000	0.060554	0.058391	0.834773
3492.000000	0.046968	0.044263	0.300348
3494.000000	0.038755	0.036724	0.505829
3496.000000	0.051676	0.048967	0.323259
3498.000000	0.037804	0.039653	0.221927
3500.000000	0.032773	0.038116	0.660450
3502.000000	0.029895	0.031048	0.477652
3504.000000	0.038768	0.039050	0.417093
3506.000000	0.022865	0.023706	0.386113
3508.000000	0.021375	0.021762	0.411030
3510.000000	0.020727	0.021126	0.314005
3512.000000	0.023854	0.022196	0.187468
3514.000000	0.029329	0.028518	0.425720
3516.000000	0.024491	0.025694	0.215405
3518.000000	0.020540	0.020875	0.276837
3520.000000	0.028108	0.026438	0.113157
3522.000000	0.064872	0.070754	0.407521
3524.000000	0.024980	0.022918	0.471286
3526.000000	0.033721	0.032422	0.290442
3528.000000	0.043684	0.044305	0.725031
3530.000000	0.059271	0.050768	0.859451
3532.000000	0.441522	0.419617	1.777940
3534.000000	0.369177	0.343347	1.576582
3536.000000	0.464751	0.456063	1.580912
3538.000000	0.258489	0.260285	2.797988
3540.000000	0.581386	0.535546	2.212953
3542.000000	0.658587	0.668003	3.157572
3544.000000	0.961659	0.930317	6.272319
3546.000000	1.002741	0.999377	3.591934
3548.000000	0.937363	1.035824	2.907610
3550.000000	0.554466	0.579705	3.074954
3552.000000	0.863098	0.758859	3.606464
3554.000000	0.476990	0.483898	5.023944
3556.000000	0.363650	0.357690	1.399133
3558.000000	0.844564	0.836828	2.851173
3560.000000	0.890944	0.726925	5.477358
3562.000000	0.304166	0.298167	1.912363
3564.000000	0.298176	0.320486	1.401565
3566.000000	0.468554	0.460053	2.583368
3568.000000	0.333547	0.323932	1.292046
3570.000000	0.535502	0.531917	1.956946
3572.000000	0.408546	0.478465	1.843367
3574.000000	0.384588	0.445529	1.821026
3576.000000	0.257407	0.249157	1.942094
3578.000000	0.204640	0.199810	1.739286
3580.000000	0.524163	0.503608	1.830169
3582.000000	0.522896	0.621019	3.135520
3584.000000	0.484363	0.539778	2.167358
3586.000000	0.420269	0.369922	1.433263
3588.000000	0.305120	0.299966	1.509448
3590.000000	0.311941	0.273687	1.074388
3592.000000	0.532078	0.564513	1.536944
3594.000000	0.279885	0.253284	2.358420
3596.000000	0.367241	0.403943	2.463774
3598.000000	0.466251	0.473933	1.420428
3600.000000	0.170731	0.173153	1.347098
3602.000000	0.194724	0.209084	0.888748
3604.000000	0.149495	0.144034	0.710182
3606.000000	0.271537	0.271509	1.592604
3608.000000	0.187418	0.166332	1.485033
3610.000000	0.264228	0.245710	0.810347
3612.000000	0.242113	0.298903	2.673204
3614.000000	0.185136	0.187437	0.678322
3616.000000	0.180695	0.184119	1.430561
3618.000000	0.192871	0.195989	1.576640
3620.000000	0.103199	0.098167	1.571039
3622.000000	0.087215	0.084815	0.623794
3624.000000	0.093537	0.100684	0.599032
3626.000000	0.088964	0.082790	0.724833
3628.000000	0.127790	0.106051	1.032129
3630.000000	0.194929	0.197584	1.056038
3632.000000	0.312032	0.328936	1.214150
3634.000000	0.328521	0.309958	2.941780
3636.000000	0.596113	0.578142	2.561650
3638.000000	0.856139	0.867685	4.956247
3640.000000	1.988555	1.893531	9.167361
3642.000000	2.066170	1.983674	12.228720
3644.000000	2.335730	2.656001	7.140109
3646.000000	3.646571	3.559637	25.736368
3648.000000	1.180694	1.135481	5.006313
3650.000000	2.579500	2.649842	14.321509
3652.000000	3.587213	3.493334	34.586807
3654.000000	2.833212	2.857568	24.848361
3656.000000	1.927791	1.920784	6.822587
3658.000000	1.619922	1.794872	9.848339
3660.000000	2.172254	2.000116	7.371548
3662.000000	1.820136	1.576387	13.207007
3664.000000	2.113336	2.024994	8.994988
3666.000000	1.730977	1.841192	19.274575
3668.000000	1.798028	1.862516	20.694174
3670.000000	1.666201	1.650403	12.842569
3672.000000	1.820184	1.792744	23.251106
3674.000000	2.673512	2.451548	24.136211
3676.000000	2.725769	2.982195	26.933847
3678.000000	3.493318	3.558800	37.634303
3680.000000	2.866938	2.801519	15.316803
3682.000000	2.720526	2.550621	11.859490
3684.000000	3.024124	3.049854	36.124482
3686.000000	2.027067	1.967627	34.342647
3688.000000	1.685500	1.535404	46.655136
3690.000000	2.041759	1.915848	12.189972
3692.000000	1.909118	1.799502	17.021035
3694.000000	1.615960	1.692644	27.905928
3696.000000	1.525747	1.556712	25.274027
3698.000000	2.269549	2.473140	20.681028
3700.000000	1.655339	1.560582	25.615001
3702.000000	1.555600	1.575003	35.511141
3704.000000	1.272501	1.187515	27.227030
3706.000000	1.108393	1.126562	36.711891
3708.000000	0.853891	0.776749	47.096276
3710.000000	0.813284	0.780891	36.783605
3712.000000	0.627071	0.566683	16.181582
3714.000000	0.500898	0.533705	41.523832
3716.000000	0.474695	0.501676	48.404449
3718.000000	0.355693	0.367361	44.817535
3720.000000	0.331278	0.334133	31.459579
3722.000000	0.303865	0.315089	61.885235
3724.000000	0.263153	0.243817	51.675997
3726.000000	0.224025	0.230245	20.316059
3728.000000	0.195546	0.202640	33.261860
3730.000000	0.174993	0.161320	32.126442
3732.000000	0.164579	0.167553	25.487017
3734.000000	0.163960	0.146343	6.744030
3736.000000	0.151958	0.154656	14.216391
3738.000000	0.156763	0.155838	27.853586
3740.000000	0.177771	0.190818	18.411148
3742.000000	0.298882	0.283992	15.651162
3744.000000	0.524951	0.552474	27.856259
3746.000000	0.764005	0.728306	15.560750
3748.000000	1.604988	1.601396	13.015185
3750.000000	2.065480	2.100778	21.179151
3752.000000	1.881861	1.936920	28.333239
3754.000000	2.133857	2.069431	13.102320
3756.000000	2.201355	2.083047	36.368549
3758.000000	1.539422	1.403596	9.860529
3760.000000	2.387593	2.483231	35.751582
3762.000000	1.422716	1.341848	15.191239
3764.000000	1.446312	1.330247	9.429727
3766.000000	1.460621	1.515385	21.914659
3768.000000	1.180345	1.096292	8.293499
3770.000000	1.263103	1.236548	5.277972
3772.000000	1.328931	1.395139	7.239326
3774.000000	1.323719	1.402321	14.662734
3776.000000	1.595884	1.740094	12.744019
3778.000000	1.764317	1.872535	18.135876
3780.000000	1.103556	1.336907	10.005590
3782.000000	0.763512	0.718999	11.730773
3784.000000	1.264409	1.257252	6.561094
3786.000000	2.300515	2.289229	15.940593
3788.000000	1.500668	1.468052	6.102135
3790.000000	0.742648	0.753293	7.246394
3792.000000	0.808998	0.829496	6.900188
3794.000000	0.786730	0.755544	3.060290
3796.000000	1.033377	1.048784	5.938176
3798.000000	0.758437	0.898187	3.602877
3800.000000	0.688118	0.610768	3.953351
3802.000000	0.832624	0.824945	3.496225
3804.000000	0.625780	0.649759	3.290794
3806.000000	0.494474	0.551255	2.308300
3808.000000	0.495999	0.493499	4.173164
3810.000000	0.358095	0.373012	2.514125
3812.000000	0.394260	0.427945	4.758658
3814.000000	0.354355	0.331761	9.465582
3816.000000	0.412500	0.435367	20.845605
3818.000000	0.418236	0.424886	8.566480
3820.000000	0.461015	0.451123	6.050444
3822.000000	0.459739	0.428470	2.509780
3824.000000	0.490447	0.492268	2.085336
3826.000000	0.453616	0.462852	2.107903
3828.000000	0.310314	0.286790	2.790244
3830.000000	0.210419	0.224558	1.271273
3832.000000	0.216912	0.223092	5.366829
3834.000000	0.173619	0.169662	0.923695
3836.000000	0.150085	0.129788	0.779113
3838.000000	0.151807	0.148434	3.333688
3840.000000	0.160943	0.171154	1.351652
3842.000000	0.189100	0.204596	1.396570
3844.000000	0.209141	0.208666	3.595769
3846.000000	0.199679	0.166490	1.787654
3848.000000	0.219136	0.238508	2.158494
3850.000000	0.258235	0.274826	5.326042
3852.000000	0.373321	0.357677	7.312957
3854.000000	0.476933	0.484284	6.601141
3856.000000	0.377640	0.350571	3.884525
3858.000000	0.930502	0.924218	7.039336
3860.000000	1.336254	1.357266	10.232453
3862.000000	1.483453	1.524869	9.242335
3864.000000	1.441768	1.442338	6.963070
3866.000000	1.443064	1.337911	7.698269
3868.000000	1.695692	1.858586	10.404726
3870.000000	1.972306	2.232006	7.671527
3872.000000	1.019989	0.993542	5.080730
3874.000000	0.866197	0.840749	8.103002
3876.000000	0.891110	0.992477	6.454155
3878.000000	1.100261	1.059563	9.316747
3880.000000	1.160590	1.081125	21.531559
3882.000000	0.880512	0.963335	11.586428
3884.000000	0.723638	0.853147	12.070358
3886.000000	0.849435	0.841397	5.758849
3888.000000	0.801964	0.810783	6.623059
3890.000000	0.803535	0.880514	11.161122
3892.000000	0.679338	0.665052	27.137013
3894.000000	0.554036	0.497624	58.035302
3896.000000	0.603230	0.650333	86.648816
3898.000000	0.630732	0.650286	55.949478
3900.000000	0.559486	0.546501	64.877131
3902.000000	0.690430	0.750309	61.566204
3904.000000	0.571428	0.552586	40.948722
3906.000000	0.658655	0.660203	38.991508
3908.000000	0.598184	0.569083	69.341058
3910.000000	0.644317	0.656665	40.284085
3912.000000	0.724536	0.787165	17.777361
3914.000000	0.696428	0.679027	44.017308
3916.000000	0.561950	0.556779	53.412237
3918.000000	0.545582	0.528563	12.339328
3920.000000	0.585954	0.565105	5.612963
3922.000000	0.510683	0.501069	57.090298
3924.000000	0.548688	0.543111	54.853654
