

# Analyzator reinserted
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3400.000000	0.001951	0.001794	0.321912
3402.000000	0.001909	0.002268	0.351894
3404.000000	0.001778	0.001731	0.349610
3406.000000	0.002119	0.001963	0.277146
3408.000000	0.002010	0.002176	0.233046
3410.000000	0.002152	0.002127	0.402498
3412.000000	0.002163	0.001904	0.292256
3414.000000	0.003039	0.002906	0.325065
3416.000000	0.002628	0.002893	0.199062
3418.000000	0.003695	0.003736	0.192865
3420.000000	0.003944	0.003994	0.285179
3422.000000	0.005387	0.005426	0.273447
3424.000000	0.007511	0.008269	0.280044
3426.000000	0.007323	0.007959	0.220111
3428.000000	0.007513	0.007934	0.350941
3430.000000	0.010322	0.011249	0.270797
3432.000000	0.011457	0.011398	0.257120
3434.000000	0.012989	0.011989	0.266096
3436.000000	0.012729	0.012312	0.181861
3438.000000	0.013648	0.015615	0.114131
3440.000000	0.015505	0.014887	0.331181
3442.000000	0.017256	0.019323	0.336427
3444.000000	0.012322	0.012981	0.157936
3446.000000	0.012902	0.012622	0.323061
3448.000000	0.012728	0.012030	0.339853
3450.000000	0.013057	0.012363	0.104610
3452.000000	0.010735	0.009914	0.406615
3454.000000	0.012936	0.012488	0.458797
3456.000000	0.013603	0.014411	0.374523
3458.000000	0.014236	0.013280	0.356878
3460.000000	0.013734	0.013367	0.496354
3462.000000	0.011721	0.011944	0.546405
3464.000000	0.013191	0.012772	0.202469
3466.000000	0.018056	0.015580	0.526761
3468.000000	0.012365	0.013040	0.352987
3470.000000	0.011092	0.011579	0.831131
3472.000000	0.011259	0.010692	0.070542
3474.000000	0.010103	0.010230	0.731913
3476.000000	0.009198	0.009140	0.215591
3478.000000	0.011656	0.011331	0.418474
3480.000000	0.012299	0.011919	0.235883
3482.000000	0.018510	0.023683	0.191596
3484.000000	0.017355	0.018380	0.200782
3486.000000	0.012095	0.010877	0.240317
3488.000000	0.008727	0.008293	0.109254
3490.000000	0.006907	0.006537	0.294678
3492.000000	0.005983	0.006701	0.355247
3494.000000	0.005338	0.005187	0.399648
3496.000000	0.004180	0.004464	0.262091
3498.000000	0.003911	0.003810	0.356002
3500.000000	0.003449	0.003411	0.405299
3502.000000	0.003165	0.003614	0.230739
3504.000000	0.003283	0.003571	0.319244
3506.000000	0.003120	0.003242	0.253403
3508.000000	0.002733	0.002477	0.309649
3510.000000	0.002819	0.002852	0.205531
3512.000000	0.002550	0.002621	0.428273
3514.000000	0.002682	0.002706	0.310682
3516.000000	0.002113	0.002021	0.130357
3518.000000	0.002217	0.002034	0.293862
3520.000000	0.001954	0.001807	0.228985
3522.000000	0.002958	0.002666	0.457580
3524.000000	0.004447	0.004629	0.280338
3526.000000	0.003551	0.003514	0.294923
3528.000000	0.004671	0.005225	0.362370
3530.000000	0.007991	0.007444	0.277263
3532.000000	0.009441	0.009773	0.095496
3534.000000	0.011720	0.011245	0.294740
3536.000000	0.014891	0.012894	0.341525
3538.000000	0.018605	0.018510	0.107932
3540.000000	0.020944	0.019930	0.258855
3542.000000	0.023726	0.021953	0.447155
