

# Little power on sample (0dBm)
# Scan parameters: power 0.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3400.000000	0.001392	0.001267	0.260116
3402.000000	0.001486	0.001626	0.299778
3404.000000	0.001414	0.001353	0.359935
3406.000000	0.001594	0.001586	0.325837
3408.000000	0.001744	0.001655	0.264658
3410.000000	0.001544	0.001500	0.254420
3412.000000	0.001681	0.001681	0.233225
3414.000000	0.001609	0.001479	0.241816
3416.000000	0.001578	0.001441	0.242204
3418.000000	0.001844	0.001705	0.270683
3420.000000	0.002089	0.002180	0.309169
3422.000000	0.001869	0.001879	0.261453
3424.000000	0.001983	0.001960	0.318769
3426.000000	0.002201	0.002074	0.242646
3428.000000	0.002988	0.002607	0.283005
3430.000000	0.003066	0.002839	0.289012
3432.000000	0.003381	0.003488	0.343747
3434.000000	0.004071	0.003696	0.299112
3436.000000	0.003719	0.003903	0.336185
3438.000000	0.003560	0.003971	0.285663
3440.000000	0.003612	0.003665	0.330041
3442.000000	0.003029	0.003461	0.377758
3444.000000	0.004297	0.003813	0.428505
3446.000000	0.004929	0.004552	0.342213
3448.000000	0.005366	0.005310	0.283879
3450.000000	0.005525	0.006884	0.328533
3452.000000	0.006419	0.006280	0.295874
3454.000000	0.005458	0.005122	0.305428
3456.000000	0.003388	0.003122	0.332341
3458.000000	0.004316	0.004249	0.345442
3460.000000	0.003903	0.003661	0.293029
3462.000000	0.003707	0.003780	0.248495
3464.000000	0.003958	0.003734	0.216757
3466.000000	0.003685	0.003228	0.317294
3468.000000	0.004180	0.004582	0.287320
3470.000000	0.003685	0.003125	0.316291
3472.000000	0.003098	0.003335	0.356702
3474.000000	0.003467	0.003238	0.356314
3476.000000	0.003531	0.003426	0.367454
3478.000000	0.002804	0.002737	0.323451
3480.000000	0.002873	0.002694	0.281024
3482.000000	0.002461	0.002421	0.244479
3484.000000	0.003370	0.003372	0.313913
3486.000000	0.002624	0.002564	0.288594
3488.000000	0.003110	0.002920	0.346081
3490.000000	0.002155	0.002143	0.312279
3492.000000	0.002035	0.001902	0.311518
3494.000000	0.002146	0.002531	0.295579
3496.000000	0.001954	0.001774	0.341542
3498.000000	0.001960	0.002108	0.326005
3500.000000	0.001817	0.001965	0.341804
3502.000000	0.001884	0.002082	0.276861
3504.000000	0.001603	0.001662	0.279148
3506.000000	0.001633	0.001435	0.327570
3508.000000	0.001795	0.001870	0.310526
3510.000000	0.001717	0.001671	0.357562
3512.000000	0.001704	0.001710	0.266113
3514.000000	0.001665	0.001681	0.288164
3516.000000	0.001613	0.001878	0.315834
3518.000000	0.001565	0.001560	0.295696
3520.000000	0.001530	0.001867	0.248825
3522.000000	0.001777	0.001880	0.321624
3524.000000	0.001657	0.001654	0.316505
3526.000000	0.001851	0.002005	0.347968
3528.000000	0.001802	0.001736	0.264174
3530.000000	0.002222	0.002243	0.251021
3532.000000	0.003038	0.003654	0.246095
3534.000000	0.004654	0.005115	0.266640
3536.000000	0.004917	0.004653	0.324057
3538.000000	0.006531	0.007032	0.309610
3540.000000	0.005920	0.005470	0.280863
3542.000000	0.006571	0.006663	0.261624
3544.000000	0.007677	0.008013	0.337718
3546.000000	0.007128	0.006834	0.301747
3548.000000	0.005181	0.005293	0.307289
3550.000000	0.007376	0.007002	0.344661
3552.000000	0.008760	0.008843	0.242134
3554.000000	0.007602	0.007001	0.373828
3556.000000	0.007746	0.007228	0.275162
3558.000000	0.008267	0.007693	0.189620
3560.000000	0.007192	0.006884	0.299620
3562.000000	0.004602	0.004651	0.314568
3564.000000	0.006656	0.006348	0.397657
3566.000000	0.004535	0.004481	0.316271
3568.000000	0.005746	0.006415	0.306244
3570.000000	0.004440	0.004613	0.393800
3572.000000	0.004549	0.004422	0.299221
3574.000000	0.004554	0.004098	0.389239
3576.000000	0.004929	0.004976	0.387629
3578.000000	0.008004	0.008018	0.343702
3580.000000	0.006858	0.006375	0.283447
3582.000000	0.005137	0.004923	0.188602
3584.000000	0.006210	0.005860	0.252726
3586.000000	0.003809	0.003769	0.330679
3588.000000	0.004987	0.004761	0.422901
3590.000000	0.005750	0.005683	0.399151
3592.000000	0.004718	0.004792	0.292522
3594.000000	0.005253	0.005245	0.300553
3596.000000	0.004232	0.004193	0.310501
3598.000000	0.003775	0.003600	0.267687
3600.000000	0.004095	0.004143	0.231376
3602.000000	0.004216	0.004405	0.324831
3604.000000	0.005244	0.005110	0.388781
3606.000000	0.003467	0.003388	0.379095
