

# Power to 16dBm, light off
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3400.000000	0.001451	0.001491	0.255680
3402.000000	0.001430	0.001276	0.243684
3404.000000	0.001542	0.001402	0.208793
3406.000000	0.001302	0.001289	0.271293
3408.000000	0.001467	0.001516	0.268691
3410.000000	0.001395	0.001407	0.289736
3412.000000	0.001537	0.001550	0.279982
3414.000000	0.001208	0.001348	0.280613
3416.000000	0.001177	0.001198	0.286991
3418.000000	0.001326	0.001154	0.228844
3420.000000	0.001436	0.001535	0.252632
3422.000000	0.001432	0.001353	0.291455
3424.000000	0.001417	0.001344	0.291937
3426.000000	0.001487	0.001344	0.309952
3428.000000	0.001391	0.001384	0.258827
3430.000000	0.001273	0.001184	0.246707
3432.000000	0.001374	0.001320	0.272011
3434.000000	0.001700	0.001680	0.352320
3436.000000	0.001606	0.001737	0.298273
3438.000000	0.001427	0.001542	0.372720
3440.000000	0.001464	0.001477	0.233736
3442.000000	0.001411	0.001494	0.301006
3444.000000	0.001502	0.001522	0.311151
3446.000000	0.001547	0.001480	0.299570
3448.000000	0.001495	0.001428	0.322490
3450.000000	0.001765	0.001891	0.349650
3452.000000	0.001697	0.001779	0.277541
3454.000000	0.001572	0.001636	0.283233
3456.000000	0.001601	0.001467	0.261187
3458.000000	0.001571	0.001770	0.298127
3460.000000	0.001594	0.001369	0.321136
3462.000000	0.001380	0.001432	0.367268
3464.000000	0.001359	0.001449	0.332106
3466.000000	0.001627	0.001654	0.352480
3468.000000	0.001615	0.001526	0.315913
3470.000000	0.001527	0.001515	0.221371
3472.000000	0.001561	0.001558	0.258328
3474.000000	0.001478	0.001495	0.360289
3476.000000	0.001583	0.001747	0.301168
3478.000000	0.001687	0.001762	0.320462
3480.000000	0.001497	0.001585	0.275492
3482.000000	0.001403	0.001374	0.259865
3484.000000	0.001281	0.001357	0.298872
3486.000000	0.001583	0.001490	0.294460
3488.000000	0.001469	0.001366	0.317628
3490.000000	0.001502	0.001453	0.296560
3492.000000	0.001435	0.001458	0.324626
3494.000000	0.001547	0.001351	0.300761
3496.000000	0.001590	0.001549	0.272359
3498.000000	0.001350	0.001306	0.291340
3500.000000	0.001649	0.001744	0.257692
3502.000000	0.001655	0.001708	0.317260
3504.000000	0.001610	0.001653	0.273206
3506.000000	0.001493	0.001604	0.340680
3508.000000	0.001564	0.001421	0.306828
3510.000000	0.001607	0.001670	0.263242
3512.000000	0.001288	0.001589	0.326898
3514.000000	0.001552	0.001555	0.290156
3516.000000	0.001543	0.001682	0.342037
3518.000000	0.001566	0.001569	0.323242
3520.000000	0.001526	0.001671	0.264133
3522.000000	0.001352	0.001348	0.322230
3524.000000	0.001355	0.001352	0.244988
3526.000000	0.001569	0.001677	0.312822
3528.000000	0.001402	0.001502	0.303535
3530.000000	0.001399	0.001427	0.340227
