

# Light on, power on, analyzer at 45deg, light next to sample but on stripline
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3400.000000	0.001731	0.001879	0.215837
3402.000000	0.002043	0.002343	0.310371
3404.000000	0.001935	0.002042	0.376517
3406.000000	0.002091	0.002045	0.262009
3408.000000	0.002096	0.002124	0.289950
3410.000000	0.002182	0.002604	0.199916
3412.000000	0.002183	0.002410	0.241606
3414.000000	0.002300	0.002460	0.252466
3416.000000	0.002281	0.002264	0.461906
3418.000000	0.002577	0.002387	0.256117
3420.000000	0.002564	0.002711	0.446007
3422.000000	0.002536	0.002737	0.244975
3424.000000	0.002908	0.003153	0.254099
3426.000000	0.002591	0.003098	0.282861
3428.000000	0.002369	0.002606	0.264895
3430.000000	0.002752	0.002968	0.257232
3432.000000	0.003142	0.002874	0.410128
3434.000000	0.003144	0.002936	0.275456
3436.000000	0.003496	0.003605	0.382921
3438.000000	0.003446	0.003818	0.334615
3440.000000	0.003465	0.003307	0.232700
3442.000000	0.003868	0.003791	0.198336
3444.000000	0.003389	0.003082	0.504070
3446.000000	0.003952	0.004130	0.314880
3448.000000	0.003374	0.003450	0.173137
3450.000000	0.003604	0.003672	0.659899
3452.000000	0.003634	0.003563	0.191560
3454.000000	0.003401	0.003376	0.414861
3456.000000	0.003775	0.004189	0.267549
3458.000000	0.003239	0.003224	0.345995
3460.000000	0.003179	0.002712	0.566326
3462.000000	0.003311	0.003281	0.324137
3464.000000	0.003199	0.003123	0.346733
3466.000000	0.003162	0.002773	0.084859
3468.000000	0.002937	0.002777	0.289149
3470.000000	0.003069	0.002860	0.223696
3472.000000	0.003067	0.002773	0.149069
3474.000000	0.003520	0.003571	0.348501
3476.000000	0.002919	0.002719	0.127810
3478.000000	0.002652	0.002680	0.213823
3480.000000	0.003141	0.002784	0.477367
3482.000000	0.003047	0.002727	0.608610
3484.000000	0.002434	0.002513	0.374909
3486.000000	0.003037	0.002812	0.415667
3488.000000	0.002603	0.002803	0.031078
3490.000000	0.002223	0.002466	0.209832
3492.000000	0.002888	0.002869	0.345758
3494.000000	0.002489	0.002330	0.132345
3496.000000	0.002747	0.002255	0.286982
3498.000000	0.002328	0.002479	0.365518
3500.000000	0.002804	0.002948	0.334404
3502.000000	0.002793	0.002572	0.307549
3504.000000	0.002239	0.002380	0.360942
3506.000000	0.002618	0.002743	0.373166
3508.000000	0.002688	0.002618	0.295662
3510.000000	0.002357	0.002232	0.026943
3512.000000	0.002299	0.002363	0.499951
3514.000000	0.002341	0.002734	0.375073
3516.000000	0.002105	0.002142	1.160276
3518.000000	0.002129	0.002216	0.223429
3520.000000	0.002110	0.002147	0.598046
3522.000000	0.001900	0.002152	1.231975
3524.000000	0.002117	0.002176	0.344059
3526.000000	0.002619	0.003093	0.904936
3528.000000	0.002562	0.003111	0.388399
3530.000000	0.002006	0.002001	0.600400
3532.000000	0.002810	0.003712	1.313191
3534.000000	0.002836	0.004096	0.376399
3536.000000	0.002496	0.002600	0.654783
3538.000000	0.002422	0.002490	0.444007
3540.000000	0.002926	0.002908	0.433480
3542.000000	0.002649	0.002653	0.604591
3544.000000	0.002953	0.003281	0.594381
3546.000000	0.002521	0.003771	0.882346
3548.000000	0.002552	0.003205	0.655234
3550.000000	0.002676	0.003579	1.502284
3552.000000	0.002487	0.002905	0.558306
3554.000000	0.002324	0.001945	0.121496
3556.000000	0.002078	0.001936	0.404109
3558.000000	0.002226	0.002254	0.688713
3560.000000	0.002783	0.002952	0.476968
3562.000000	0.002858	0.003196	0.322930
3564.000000	0.002944	0.003226	0.526076
3566.000000	0.003055	0.003092	2.117575
3568.000000	0.002565	0.002305	0.711676
3570.000000	0.002698	0.002772	1.110161
3572.000000	0.002651	0.002665	1.783866
3574.000000	0.002717	0.002781	0.837448
3576.000000	0.002829	0.002530	1.511823
3578.000000	0.002458	0.002663	0.479046
3580.000000	0.002637	0.002737	0.691664
3582.000000	0.001950	0.001869	0.597930
3584.000000	0.002230	0.002274	0.364194
3586.000000	0.001537	0.001823	0.607682
3588.000000	0.001642	0.001570	1.121515
3590.000000	0.001974	0.002040	0.354715
3592.000000	0.001888	0.002181	0.590074
3594.000000	0.001954	0.002315	0.020468
3596.000000	0.001856	0.001981	0.406511
3598.000000	0.001800	0.001728	0.737305
3600.000000	0.001685	0.001669	0.676903
3602.000000	0.001707	0.001595	0.303985
3604.000000	0.001645	0.001707	0.159757
3606.000000	0.001903	0.002012	0.383102
3608.000000	0.001714	0.001619	0.335044
3610.000000	0.001644	0.001439	0.523628
3612.000000	0.001476	0.001564	0.324267
3614.000000	0.001923	0.001959	0.335104
3616.000000	0.001745	0.001846	0.650175
3618.000000	0.001712	0.001851	0.358030
3620.000000	0.001646	0.001735	0.248070
3622.000000	0.001637	0.001908	0.556209
3624.000000	0.001914	0.001982	0.336592
3626.000000	0.001936	0.002217	0.158639
3628.000000	0.001598	0.001613	0.317629
3630.000000	0.002248	0.002543	0.377167
3632.000000	0.001812	0.001934	0.762063
3634.000000	0.001772	0.001926	0.538079
3636.000000	0.001922	0.001998	0.383293
3638.000000	0.002149	0.002482	0.542004
3640.000000	0.002216	0.002007	0.224272
