

# Small frequency steps
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3500.000000	0.001570	0.001583	0.724211
3500.010000	0.001547	0.001608	0.470185
3500.020000	0.001411	0.001290	0.201055
3500.030000	0.001552	0.001643	0.065237
3500.040000	0.001384	0.001317	0.280107
3500.050000	0.001664	0.001551	0.119526
3500.060000	0.001584	0.001553	0.315691
3500.070000	0.001495	0.001356	0.671125
3500.080000	0.001639	0.001632	0.416392
3500.090000	0.001263	0.001327	0.359745
3500.100000	0.001637	0.001514	0.430605
3500.110000	0.001566	0.001594	0.217411
3500.120000	0.001610	0.001604	0.280822
3500.130000	0.001478	0.001220	0.381065
3500.140000	0.001331	0.001259	0.572026
3500.150000	0.001487	0.001546	0.290725
3500.160000	0.001653	0.001681	0.566279
3500.170000	0.001592	0.001602	0.348851
3500.180000	0.001540	0.001618	0.257071
3500.190000	0.001415	0.001578	0.169820
3500.200000	0.001505	0.001555	0.389044
3500.210000	0.001686	0.001993	0.689816
3500.220000	0.001467	0.001678	0.250417
3500.230000	0.001616	0.001531	0.242914
3500.240000	0.001393	0.001453	0.285884
3500.250000	0.001375	0.001328	0.177300
3500.260000	0.001648	0.001632	0.283927
3500.270000	0.001313	0.001350	0.259899
3500.280000	0.001423	0.001526	0.397796
3500.290000	0.001491	0.001522	0.248652
3500.300000	0.001483	0.001769	0.660067
3500.310000	0.001424	0.001365	0.275142
3500.320000	0.001570	0.001740	0.574855
3500.330000	0.001592	0.001529	0.272011
3500.340000	0.001223	0.001265	0.116711
3500.350000	0.001518	0.001675	0.234952
3500.360000	0.001504	0.001641	0.312958
3500.370000	0.001784	0.002243	0.328080
3500.380000	0.001537	0.001710	0.315199
3500.390000	0.001466	0.001491	0.290993
3500.400000	0.001613	0.001646	0.239782
3500.410000	0.001631	0.001792	0.045910
3500.420000	0.001435	0.001288	0.328250
3500.430000	0.001645	0.001857	0.164170
3500.440000	0.001545	0.001635	0.373039
3500.450000	0.001563	0.001442	0.305773
3500.460000	0.001607	0.001576	0.176083
3500.470000	0.001443	0.001392	0.207094
3500.480000	0.001656	0.001603	0.509921
3500.490000	0.001663	0.001706	0.404312
3500.500000	0.001728	0.002165	0.599024
3500.510000	0.001371	0.001432	0.246257
3500.520000	0.001578	0.001648	0.137535
3500.530000	0.001553	0.001410	0.371589
3500.540000	0.001591	0.001752	0.351320
3500.550000	0.001437	0.001439	0.126933
3500.560000	0.001568	0.001518	0.316748
3500.570000	0.001410	0.001505	0.482269
3500.580000	0.001645	0.001978	0.248784
3500.590000	0.001629	0.001742	0.671960
3500.600000	0.001525	0.001677	0.308103
3500.610000	0.001424	0.001534	0.062895
3500.620000	0.001554	0.001671	0.412469
3500.630000	0.001606	0.001887	0.286367
3500.640000	0.001588	0.001464	0.497903
3500.650000	0.001504	0.001690	0.392243
3500.660000	0.001562	0.001594	0.679916
3500.670000	0.001491	0.001777	0.327628
3500.680000	0.001487	0.001420	0.114496
3500.690000	0.001307	0.001255	0.258728
3500.700000	0.001425	0.001326	0.129138
3500.710000	0.001481	0.001567	0.456112
3500.720000	0.001695	0.001904	0.334474
3500.730000	0.001573	0.001614	0.126347
3500.740000	0.001697	0.001702	0.425168
3500.750000	0.001517	0.001497	0.697102
3500.760000	0.001567	0.001501	0.280358
3500.770000	0.001462	0.001647	0.695306
3500.780000	0.001623	0.001630	0.312548
3500.790000	0.001466	0.001883	0.245365
3500.800000	0.001625	0.001741	0.253078
3500.810000	0.001566	0.001499	0.296926
3500.820000	0.001394	0.001430	0.444195
3500.830000	0.001734	0.001712	0.225917
3500.840000	0.001563	0.001429	0.200790
3500.850000	0.001439	0.001363	0.363816
3500.860000	0.001451	0.001503	0.155844
3500.870000	0.001683	0.001986	0.291903
3500.880000	0.001489	0.001443	0.622867
3500.890000	0.001722	0.001764	0.318176
3500.900000	0.001724	0.001738	0.254906
3500.910000	0.001538	0.001671	0.103148
3500.920000	0.001490	0.001328	0.345915
3500.930000	0.001324	0.001257	0.078183
3500.940000	0.001661	0.001838	0.315488
3500.950000	0.001575	0.001815	0.393349
3500.960000	0.001569	0.001933	0.362893
3500.970000	0.001728	0.001737	0.317590
3500.980000	0.001469	0.001479	0.424396
3500.990000	0.001445	0.001576	0.438550
3501.000000	0.001455	0.001466	0.630785
3501.010000	0.001482	0.001743	0.347668
3501.020000	0.001408	0.001307	0.147569
3501.030000	0.001548	0.001602	0.336770
3501.040000	0.001580	0.001473	0.160389
3501.050000	0.001706	0.001929	0.271656
3501.060000	0.001525	0.001633	0.332193
3501.070000	0.001651	0.001638	0.326866
3501.080000	0.001571	0.001545	0.360484
3501.090000	0.001575	0.001482	0.103400
3501.100000	0.001529	0.001495	0.271770
3501.110000	0.001507	0.001535	0.060427
3501.120000	0.001597	0.001463	0.297541
3501.130000	0.001796	0.001722	0.675604
3501.140000	0.001465	0.001514	0.302744
3501.150000	0.001614	0.001302	0.327027
3501.160000	0.001411	0.001281	0.409081
3501.170000	0.001523	0.001487	0.340504
3501.180000	0.001461	0.001446	0.225493
3501.190000	0.001456	0.001816	0.312912
3501.200000	0.001971	0.002091	0.186938
3501.210000	0.001901	0.001801	0.356387
3501.220000	0.002440	0.002490	0.418711
3501.230000	0.002453	0.002242	0.399711
3501.240000	0.002433	0.002519	0.381727
3501.250000	0.002344	0.002469	0.299595
3501.260000	0.002636	0.002650	0.230653
3501.270000	0.002585	0.002538	0.232673
3501.280000	0.002498	0.002414	0.303600
3501.290000	0.002473	0.002681	0.069707
3501.300000	0.002875	0.003179	0.284251
