

# Somewhat larger steps
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3600.000000	0.001638	0.001699	0.806810
3600.050000	0.001698	0.002676	0.047514
3600.100000	0.001621	0.001889	0.158483
3600.150000	0.001674	0.001580	0.369413
3600.200000	0.001733	0.001741	0.403209
3600.250000	0.001606	0.001888	0.439047
3600.300000	0.001584	0.001726	0.682058
3600.350000	0.001604	0.001809	0.341417
3600.400000	0.001662	0.001703	0.306350
3600.450000	0.001606	0.001904	0.352404
3600.500000	0.001679	0.001572	0.406914
3600.550000	0.001602	0.001665	0.123740
3600.600000	0.001684	0.001634	0.404274
3600.650000	0.001803	0.001910	0.272573
3600.700000	0.001539	0.001684	0.510487
3600.750000	0.001647	0.001611	0.685968
3600.800000	0.001756	0.001907	0.399071
3600.850000	0.001570	0.001551	0.356468
3600.900000	0.001750	0.001866	0.384328
3600.950000	0.002050	0.002009	0.690814
3601.000000	0.001673	0.001524	0.345668
3601.050000	0.001527	0.001878	0.252447
3601.100000	0.001854	0.001908	0.367611
3601.150000	0.001872	0.001910	0.388864
3601.200000	0.001477	0.001465	0.550072
3601.250000	0.001340	0.001254	0.156111
3601.300000	0.001742	0.001644	0.362608
3601.350000	0.001593	0.001637	0.400948
3601.400000	0.001893	0.001909	0.641142
3601.450000	0.002008	0.002334	0.137425
3601.500000	0.001720	0.001938	0.284136
3601.550000	0.001776	0.001877	0.307419
3601.600000	0.001647	0.001504	0.334000
3601.650000	0.001859	0.001896	0.141616
3601.700000	0.001572	0.001589	0.449659
3601.750000	0.001659	0.001696	0.303824
3601.800000	0.001507	0.001515	0.292029
3601.850000	0.001652	0.001592	0.285725
3601.900000	0.001747	0.001929	0.265014
3601.950000	0.001659	0.001787	0.233922
3602.000000	0.001587	0.001524	0.356918
3602.050000	0.001475	0.001450	0.344218
3602.100000	0.001689	0.001622	0.112050
3602.150000	0.001580	0.001616	0.245696
3602.200000	0.001869	0.002006	0.380129
3602.250000	0.001532	0.001544	0.342613
3602.300000	0.001459	0.001388	0.427035
3602.350000	0.001643	0.001637	0.088454
3602.400000	0.001673	0.001912	0.487382
3602.450000	0.001689	0.001674	0.313969
3602.500000	0.001702	0.001802	0.350557
3602.550000	0.001593	0.001403	0.569628
3602.600000	0.001691	0.001649	0.461374
3602.650000	0.001702	0.001735	0.440748
3602.700000	0.001754	0.001746	0.384500
3602.750000	0.001819	0.002050	0.273280
3602.800000	0.001503	0.001414	0.335594
3602.850000	0.001667	0.001920	0.172647
3602.900000	0.001653	0.001758	0.398665
3602.950000	0.001654	0.001737	0.331679
