# Nothing perticular

# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3900.000000	2.145044	2.597034	4.258389
3901.000000	0.330703	0.318060	1.918636
3902.000000	0.262207	0.270779	1.272745
3903.000000	0.329577	0.333726	1.111906
3904.000000	0.307960	0.300214	1.058861
3905.000000	0.322611	0.344152	0.844135
3906.000000	0.332875	0.353727	1.178208
3907.000000	0.362060	0.380230	1.051760
3908.000000	0.287104	0.370971	1.094115
3909.000000	0.283868	0.322758	1.298940
3910.000000	0.278861	0.312901	1.665197
3911.000000	0.294467	0.333536	0.951073
3912.000000	0.323558	0.330725	1.504059
3913.000000	0.320283	0.316227	2.854782
3914.000000	0.342371	0.366199	1.802202
3915.000000	0.354256	0.392651	1.428585
3916.000000	0.304680	0.291702	1.743662
3917.000000	0.320319	0.341961	2.217760
3918.000000	0.291340	0.286557	2.403346
3919.000000	0.301156	0.306608	1.791837
3920.000000	0.291893	0.312483	1.283469
3921.000000	0.306457	0.284995	1.373578
3922.000000	0.287907	0.350027	1.673926
3923.000000	0.294127	0.354989	1.583143
3924.000000	0.291296	0.299682	1.982053
3925.000000	0.320761	0.360372	2.372870
3926.000000	0.385048	0.418898	1.087133
3927.000000	0.327292	0.325772	2.370107
3928.000000	0.321755	0.346739	1.149070
3929.000000	0.368682	0.372507	1.468955
3930.000000	0.349476	0.390179	1.996757
3931.000000	0.343557	0.397496	1.462960
3932.000000	0.331283	0.420509	1.771915
3933.000000	0.288266	0.273019	3.449175
3934.000000	0.335329	0.377191	2.236135
3935.000000	0.332622	0.322371	1.440796
3936.000000	0.302064	0.305730	1.861921
3937.000000	0.291421	0.324612	2.012900
3938.000000	0.309888	0.299089	0.892346
3939.000000	0.339621	0.350381	1.233031
3940.000000	0.277008	0.286620	1.296535
3941.000000	0.311576	0.299465	2.214627
3942.000000	0.343891	0.316549	1.275881
3943.000000	0.318849	0.311605	2.082877
3944.000000	0.326747	0.394186	1.393281
3945.000000	0.333663	0.363579	1.353929
3946.000000	0.294817	0.342931	1.158188
3947.000000	0.367362	0.438584	1.573859
3948.000000	0.346403	0.363943	1.822934
3949.000000	0.366006	0.387405	2.154121
3950.000000	0.302392	0.303071	1.214695
3951.000000	0.315042	0.309554	0.895269
3952.000000	0.324640	0.361338	1.453309
3953.000000	0.318784	0.321463	1.907730
3954.000000	0.282614	0.299173	2.148904
3955.000000	0.336833	0.354544	1.581612
3956.000000	0.330281	0.338791	1.775665
3957.000000	0.302830	0.287332	1.085951
3958.000000	0.295407	0.304613	1.810145
3959.000000	0.329016	0.359157	1.159826
3960.000000	0.351060	0.326421	1.394714
3961.000000	0.341075	0.437151	1.623734
3962.000000	0.348586	0.403798	1.070418
3963.000000	0.292905	0.353756	1.328871
3964.000000	0.329582	0.348858	0.890859
3965.000000	0.469743	0.507326	2.175893
3966.000000	92.255183	90.858860	449.901345
3967.000000	230.255347	214.695235	844.561383
3968.000000	26.794275	30.068074	83.534281
3969.000000	8.069562	8.431238	30.494273
3970.000000	4.364174	4.513982	39.965448
3971.000000	2.984042	3.030305	12.280632
3972.000000	2.458715	2.586750	9.559367
3973.000000	2.022693	2.156982	21.212574
3974.000000	2.400216	2.240056	16.777102
3975.000000	2.218311	2.420042	7.438611
3976.000000	1.959564	1.799445	11.317628
3977.000000	1.904077	1.847594	8.189675
3978.000000	2.220920	2.318098	5.737754
3979.000000	1.962445	2.192764	11.284265
3980.000000	2.194851	1.983025	7.993931
3981.000000	1.935522	1.742747	13.770686
3982.000000	2.559271	2.584751	8.265835
3983.000000	2.806225	2.929992	11.798578
3984.000000	2.720859	2.513844	11.542203
3985.000000	2.542719	2.627574	8.128330
3986.000000	3.063665	3.491764	9.505701
3987.000000	3.369666	2.994798	20.646719
3988.000000	2.897439	2.896277	18.507178
3989.000000	3.769800	3.845578	12.772874
3990.000000	3.355270	3.169389	14.458412
3991.000000	4.179704	4.466752	21.888342
3992.000000	4.433008	4.483167	15.594929
3993.000000	3.570284	3.222086	16.534310
3994.000000	3.594788	3.415329	17.297735
3995.000000	3.961104	3.835857	9.539191
3996.000000	3.930955	4.184662	15.959429
3997.000000	4.398765	4.267017	22.835778
3998.000000	4.287370	4.133388	16.248112
3999.000000	4.701434	4.678868	25.881549
4000.000000	6.165122	6.907916	33.767077
4001.000000	5.008381	5.057906	23.867310
4002.000000	6.256192	5.471480	27.614302
