# 

# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
4000.000000	12.364219	11.519527	51.812257
4001.000000	8.156647	8.815577	62.550268
4002.000000	10.351519	10.067332	38.030620
4003.000000	8.992490	9.618841	49.802486
4004.000000	10.631857	10.629256	62.411520
4005.000000	9.901467	9.189811	66.982424
4006.000000	9.181036	9.204455	97.891363
4007.000000	10.587412	12.265623	50.838041
4008.000000	8.784097	8.491013	50.870281
4009.000000	9.347662	9.872499	48.714219
4010.000000	10.036863	11.487680	45.427774
4011.000000	10.102014	10.339734	35.694383
4012.000000	9.249641	8.290441	36.080416
4013.000000	10.098176	10.549009	59.581641
4014.000000	9.159963	8.503147	88.608049
4015.000000	9.612118	9.443017	41.205620
4016.000000	9.103385	8.906270	46.992732
4017.000000	10.576333	12.611168	39.687742
4018.000000	8.951383	9.051220	44.426882
4019.000000	9.803916	10.053054	105.834732
4020.000000	10.678150	10.805506	62.286416
4021.000000	9.893977	11.319919	42.740038
4022.000000	9.892262	11.255266	40.025284
4023.000000	10.452903	10.816923	70.270100
4024.000000	10.151609	11.573873	45.783561
4025.000000	9.816988	9.593963	45.278774
4026.000000	9.679239	10.245023	43.271858
4027.000000	9.998373	10.548070	30.507807
4028.000000	9.082565	8.626693	38.591325
4029.000000	9.514300	9.323748	41.925252
4030.000000	9.386841	9.183104	55.846642
4031.000000	9.489214	8.855677	50.734812
4032.000000	9.886283	10.073698	46.085076
4033.000000	11.124717	10.675874	76.271652
4034.000000	12.417083	11.894593	64.338149
4035.000000	24.795317	25.509144	82.139957
4036.000000	1356.402069	1445.333218	8542.751045
4037.000000	517.692529	571.430989	1899.157348
4038.000000	400.897078	401.432553	1605.652154
4039.000000	297.214876	292.765726	1379.467864
4040.000000	264.350435	267.933914	1363.536705
4041.000000	245.937225	226.904370	1982.851644
4042.000000	214.262101	227.726947	878.805103
4043.000000	224.265989	232.448518	891.492113
4044.000000	175.831081	174.090483	868.156071
4045.000000	187.269513	191.603443	751.814646
4046.000000	165.229337	168.319177	880.643809
4047.000000	190.495799	180.360496	693.903211
4048.000000	177.315839	177.034248	684.840712
4049.000000	169.142802	167.844528	857.858795
4050.000000	157.246143	154.132521	915.197259
4051.000000	147.391633	154.058883	809.994278
4052.000000	161.339157	150.381089	828.839711
4053.000000	147.286234	152.725852	455.642485
4054.000000	165.191142	156.648089	467.242964
4055.000000	132.499912	129.558637	894.873002
4056.000000	144.928667	162.533693	613.277391
4057.000000	130.174863	136.826345	713.007429
4058.000000	140.449974	137.616888	621.895006
4059.000000	128.102995	120.547401	680.495711
4060.000000	115.565337	116.779683	352.098888
