# Amplifiers are driving up to their limits

# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
4000.000000	0.507180	0.102693	0.814134
4001.000000	0.011582	0.012570	0.071673
4002.000000	0.010886	0.011502	0.046568
4003.000000	0.009187	0.009177	0.054965
4004.000000	0.009369	0.008927	0.042514
4005.000000	0.009310	0.010044	0.060258
4006.000000	0.009409	0.009182	0.032783
4007.000000	0.009524	0.009251	0.060834
4008.000000	0.010088	0.009152	0.068362
4009.000000	0.008093	0.008209	0.027876
4010.000000	0.010361	0.009615	0.034329
4011.000000	0.009414	0.009549	0.050726
4012.000000	0.009851	0.010238	0.063358
4013.000000	0.008981	0.008758	0.032856
4014.000000	0.007493	0.008460	0.050732
4015.000000	0.007583	0.007250	0.034152
4016.000000	0.008659	0.008228	0.035083
4017.000000	0.006721	0.007138	0.029307
4018.000000	0.007180	0.006760	0.027493
4019.000000	0.007359	0.007953	0.025666
4020.000000	0.008949	0.008733	0.031735
4021.000000	0.009573	0.009164	0.054303
4022.000000	0.025416	0.024126	0.091324
4023.000000	2.323822	2.139006	11.924286
4024.000000	0.001647	0.001588	0.014728
4025.000000	0.001504	0.001490	0.005834
4026.000000	0.001292	0.001215	0.006256
4027.000000	0.001145	0.001153	0.006771
4028.000000	0.001198	0.001059	0.006729
4029.000000	0.001363	0.001496	0.008212
4030.000000	0.001213	0.001178	0.005665
4031.000000	0.001139	0.001091	0.005519
4032.000000	0.001071	0.001079	0.007486
4033.000000	0.001090	0.001091	0.003921
4034.000000	0.001177	0.001296	0.004587
4035.000000	0.001302	0.001325	0.005348
4036.000000	0.001163	0.001045	0.019403
4037.000000	0.001234	0.001167	0.008055
4038.000000	0.001390	0.001618	0.006959
4039.000000	0.001405	0.001338	0.008850
4040.000000	0.001202	0.001189	0.009535
4041.000000	0.001132	0.001355	0.005723
4042.000000	0.001191	0.001184	0.010661
4043.000000	0.001092	0.001213	0.004870
4044.000000	0.001252	0.001322	0.008656
4045.000000	0.001166	0.001043	0.007133
4046.000000	0.001267	0.001235	0.006414
4047.000000	0.001178	0.001521	0.010289
4048.000000	0.001218	0.001297	0.007716
4049.000000	0.001311	0.001550	0.005241
4050.000000	0.001132	0.001279	0.004221
4051.000000	0.001192	0.001218	0.003807
4052.000000	0.001160	0.001180	0.008657
4053.000000	0.001139	0.001215	0.007925
4054.000000	0.001186	0.001507	0.004354
4055.000000	0.001374	0.001217	0.009933
4056.000000	0.001073	0.001111	0.007801
4057.000000	0.001145	0.001316	0.005828
4058.000000	0.001403	0.001583	0.005908
4059.000000	0.001179	0.001106	0.006347
4060.000000	0.001211	0.001130	0.004026
4061.000000	0.001167	0.001136	0.004892
4062.000000	0.001187	0.001442	0.009483
4063.000000	0.001174	0.001261	0.007269
4064.000000	0.001225	0.001281	0.006890
4065.000000	0.001209	0.001343	0.009167
4066.000000	0.001445	0.001334	0.011804
4067.000000	0.001246	0.001231	0.005019
4068.000000	0.001250	0.001319	0.005478
4069.000000	0.001120	0.001095	0.006263
4070.000000	0.001165	0.001137	0.005970
4071.000000	0.001361	0.001452	0.004592
4072.000000	0.001115	0.001020	0.004214
4073.000000	0.001189	0.001125	0.009806
4074.000000	0.001251	0.001649	0.014089
4075.000000	0.001208	0.001222	0.004110
4076.000000	0.001258	0.001408	0.008210
4077.000000	0.001132	0.001145	0.005864
4078.000000	0.001155	0.001199	0.007738
4079.000000	0.001239	0.001317	0.004457
4080.000000	0.001200	0.001256	0.006663
4081.000000	0.001384	0.001973	0.009637
4082.000000	0.001018	0.001193	0.004185
4083.000000	0.001364	0.001308	0.008545
4084.000000	0.001322	0.001479	0.010980
4085.000000	0.001272	0.001280	0.006011
4086.000000	0.001178	0.001176	0.004857
4087.000000	0.001341	0.001537	0.007636
4088.000000	0.001236	0.001344	0.006952
4089.000000	0.001190	0.001235	0.005018
4090.000000	0.001207	0.001105	0.008583
4091.000000	0.000982	0.001009	0.007381
4092.000000	0.001195	0.001417	0.004869
4093.000000	0.001200	0.001301	0.008496
4094.000000	0.001281	0.001444	0.004696
4095.000000	0.001094	0.001083	0.004736
4096.000000	0.001224	0.001393	0.006063
4097.000000	0.001230	0.001309	0.003172
4098.000000	0.001201	0.001214	0.009600
4099.000000	0.001288	0.001359	0.008647
4100.000000	0.001219	0.001400	0.014661
4101.000000	0.001160	0.001258	0.007558
4102.000000	0.001274	0.001327	0.007283
4103.000000	0.001398	0.001363	0.006932
4104.000000	0.001222	0.001110	0.004251
4105.000000	0.001241	0.001227	0.008379
4106.000000	0.001160	0.001116	0.014360
4107.000000	0.001042	0.001092	0.011185
4108.000000	0.001201	0.001195	0.006802
4109.000000	0.001382	0.001327	0.007389
4110.000000	0.001297	0.001528	0.009066
4111.000000	0.001117	0.001316	0.007078
4112.000000	0.001237	0.001159	0.009890
4113.000000	0.001209	0.001319	0.003546
4114.000000	0.001168	0.001273	0.005658
4115.000000	0.001271	0.001334	0.008714
4116.000000	0.001137	0.001089	0.011088
4117.000000	0.001102	0.001091	0.006279
4118.000000	0.001307	0.001293	0.007150
4119.000000	0.001168	0.001224	0.006173
4120.000000	0.001268	0.001294	0.006386
4121.000000	0.001287	0.001165	0.006004
4122.000000	0.001199	0.001178	0.008820
4123.000000	0.001201	0.001200	0.008095
4124.000000	0.001091	0.000976	0.014774
4125.000000	0.000985	0.001229	0.006005
4126.000000	0.001273	0.001373	0.004031
4127.000000	0.001195	0.001146	0.006045
4128.000000	0.001165	0.001192	0.004286
4129.000000	0.001197	0.001291	0.008993
4130.000000	0.001233	0.001463	0.013318
4131.000000	0.001323	0.001310	0.005493
4132.000000	0.001287	0.001424	0.007345
4133.000000	0.001244	0.001299	0.004187
4134.000000	0.001191	0.001297	0.005316
4135.000000	0.001223	0.001294	0.005664
4136.000000	0.001236	0.001262	0.007016
4137.000000	0.001279	0.001318	0.007736
4138.000000	0.001087	0.000992	0.009619
4139.000000	0.001229	0.001366	0.004427
4140.000000	0.001141	0.001185	0.005796
4141.000000	0.001267	0.001267	0.003920
4142.000000	0.001395	0.001546	0.005814
4143.000000	0.001154	0.001201	0.004130
4144.000000	0.001160	0.001158	0.004361
4145.000000	0.001012	0.001127	0.005690
4146.000000	0.001140	0.001028	0.005998
4147.000000	0.001099	0.001267	0.004151
4148.000000	0.001183	0.001260	0.005056
4149.000000	0.001292	0.001239	0.007279
4150.000000	0.001207	0.001335	0.004477
4151.000000	0.001208	0.001239	0.006207
4152.000000	0.001206	0.001322	0.008008
4153.000000	0.001158	0.001109	0.010067
4154.000000	0.001180	0.001213	0.004175
4155.000000	0.001256	0.001224	0.005361
4156.000000	0.001206	0.001196	0.007539
4157.000000	0.001155	0.001194	0.004182
4158.000000	0.001317	0.001418	0.005209
4159.000000	0.001277	0.001167	0.007504
4160.000000	0.001208	0.001224	0.005424
4161.000000	0.001300	0.001277	0.006438
4162.000000	0.001175	0.001153	0.006293
4163.000000	0.001266	0.001159	0.004687
4164.000000	0.001184	0.001259	0.006473
4165.000000	0.001050	0.001150	0.005246
4166.000000	0.001319	0.001242	0.006186
4167.000000	0.001040	0.001100	0.008621
4168.000000	0.001092	0.001071	0.006121
4169.000000	0.001110	0.001120	0.005723
4170.000000	0.001150	0.001113	0.006571
4171.000000	0.001302	0.001360	0.004068
4172.000000	0.001239	0.001176	0.004818
4173.000000	0.001009	0.000972	0.007439
4174.000000	0.001186	0.001178	0.006129
4175.000000	3.076343	2.034246	12.457778
4176.000000	0.021043	0.016946	0.060558
4177.000000	0.001196	0.001341	0.005469
4178.000000	0.001067	0.001028	0.006838
4179.000000	0.001135	0.001084	0.005934
4180.000000	0.001110	0.001059	0.004877
4181.000000	0.001169	0.001202	0.002992
4182.000000	0.001199	0.001193	0.005591
4183.000000	0.001120	0.001023	0.004526
4184.000000	0.001217	0.001252	0.004901
4185.000000	0.001126	0.001059	0.008364
4186.000000	0.001248	0.001267	0.006421
4187.000000	0.001134	0.001214	0.006643
4188.000000	0.001173	0.001179	0.010622
4189.000000	0.001227	0.001322	0.006846
4190.000000	0.000996	0.001009	0.003941
4191.000000	0.001126	0.001122	0.011806
4192.000000	0.001212	0.001136	0.004821
4193.000000	0.001133	0.001039	0.003336
4194.000000	0.001032	0.001108	0.007546
4195.000000	0.001221	0.001293	0.006122
4196.000000	0.001213	0.001312	0.006012
4197.000000	0.001265	0.001368	0.005353
4198.000000	0.001195	0.001158	0.004057
4199.000000	0.001181	0.001184	0.004238
4200.000000	0.001197	0.001221	0.010712
4201.000000	0.001268	0.001296	0.005195
4202.000000	0.001232	0.001347	0.005023
4203.000000	0.001132	0.001026	0.008778
4204.000000	0.001155	0.001192	0.004721
4205.000000	0.001085	0.001103	0.010574
4206.000000	0.001046	0.001143	0.005457
4207.000000	0.001205	0.001154	0.004760
4208.000000	0.001049	0.000945	0.006803
4209.000000	0.001114	0.001189	0.003058
4210.000000	0.001215	0.001253	0.008554
4211.000000	0.001134	0.001120	0.007487
4212.000000	0.001245	0.001327	0.005849
4213.000000	0.001107	0.001063	0.005035
4214.000000	0.001096	0.001092	0.004084
4215.000000	0.001182	0.001191	0.004623
4216.000000	0.001119	0.001022	0.003959
4217.000000	0.001213	0.001181	0.006256
4218.000000	0.001061	0.001037	0.005852
4219.000000	0.001181	0.001179	0.004909
4220.000000	0.001148	0.001170	0.004346
4221.000000	0.001294	0.001291	0.004771
4222.000000	0.001216	0.001297	0.005359
4223.000000	0.001236	0.001371	0.012828
4224.000000	0.001126	0.001017	0.005207
4225.000000	0.001185	0.001189	0.009670
4226.000000	0.001220	0.001351	0.005364
4227.000000	0.001354	0.001259	0.010042
4228.000000	0.001116	0.001138	0.008346
4229.000000	0.001167	0.001126	0.007154
