# All should be well

# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
4000.000000	0.001246	0.001591	0.005303
4001.000000	0.001279	0.001212	0.004470
4002.000000	0.001212	0.001185	0.006928
4003.000000	0.001139	0.001397	0.007145
4004.000000	0.001171	0.001205	0.006498
4005.000000	0.001277	0.001222	0.004938
4006.000000	0.001321	0.001652	0.006494
4007.000000	0.001383	0.001308	0.003767
4008.000000	0.001214	0.001230	0.006096
4009.000000	0.001112	0.001159	0.006113
4010.000000	0.001099	0.001251	0.005521
4011.000000	0.001240	0.001544	0.005136
4012.000000	0.001174	0.001289	0.008836
4013.000000	0.001253	0.001361	0.007155
4014.000000	0.001126	0.001049	0.005480
4015.000000	0.001187	0.001112	0.006154
4016.000000	0.001109	0.001110	0.005215
4017.000000	0.001196	0.001314	0.004762
4018.000000	0.001240	0.001405	0.005635
4019.000000	0.001296	0.001312	0.005315
4020.000000	0.001118	0.001119	0.005468
4021.000000	0.001184	0.001225	0.004414
4022.000000	0.001180	0.001082	0.005169
4023.000000	0.001080	0.001042	0.003540
4024.000000	0.001063	0.001126	0.003920
4025.000000	0.001164	0.001101	0.005602
4026.000000	0.001063	0.001125	0.006729
4027.000000	0.001150	0.001093	0.004733
4028.000000	0.001370	0.001429	0.007271
4029.000000	0.001198	0.001227	0.003419
4030.000000	0.001145	0.001092	0.008495
4031.000000	0.001214	0.001368	0.007225
4032.000000	0.001115	0.001217	0.004956
4033.000000	0.001109	0.001066	0.006638
4034.000000	0.001204	0.001095	0.003460
4035.000000	0.001250	0.001322	0.005794
4036.000000	0.001152	0.001200	0.005791
4037.000000	0.001230	0.001235	0.007054
4038.000000	0.001148	0.001111	0.006847
4039.000000	0.001189	0.001093	0.004575
4040.000000	0.001049	0.001046	0.004701
4041.000000	0.001141	0.001165	0.007461
4042.000000	0.001087	0.001134	0.007008
4043.000000	0.001239	0.001534	0.007679
4044.000000	0.001274	0.001317	0.004887
4045.000000	0.001325	0.001265	0.007673
4046.000000	0.001020	0.001115	0.013429
4047.000000	0.001216	0.001162	0.006478
4048.000000	0.001103	0.001195	0.004325
4049.000000	0.001079	0.000970	0.008433
4050.000000	0.001005	0.001024	0.005766
4051.000000	0.001145	0.001398	0.005658
4052.000000	0.001163	0.001211	0.010744
4053.000000	0.001063	0.000958	0.005769
4054.000000	0.001195	0.001232	0.006278
4055.000000	0.001167	0.001191	0.006807
4056.000000	0.001249	0.001219	0.005016
4057.000000	0.001102	0.001187	0.006104
4058.000000	0.001174	0.001096	0.005501
4059.000000	0.001032	0.001088	0.005231
4060.000000	0.001092	0.001134	0.008345
4061.000000	0.001132	0.001272	0.005628
4062.000000	0.001159	0.001195	0.004053
4063.000000	0.001249	0.001352	0.003668
4064.000000	0.001024	0.001082	0.002964
4065.000000	0.001251	0.001249	0.006940
4066.000000	0.001120	0.001072	0.008989
4067.000000	0.001244	0.001233	0.005600
4068.000000	0.001250	0.001308	0.007808
4069.000000	0.001224	0.001311	0.005049
4070.000000	0.001118	0.001097	0.004868
4071.000000	0.001134	0.001254	0.007562
4072.000000	0.001107	0.001235	0.003227
4073.000000	0.001038	0.001020	0.005799
4074.000000	0.001127	0.001243	0.005805
4075.000000	0.001058	0.001263	0.008625
4076.000000	0.001165	0.001187	0.006155
4077.000000	0.001282	0.001306	0.003711
4078.000000	0.001146	0.001184	0.006620
4079.000000	0.001201	0.001368	0.004550
4080.000000	0.001028	0.001020	0.006377
4081.000000	0.001186	0.001193	0.004515
4082.000000	0.001232	0.001251	0.005211
4083.000000	0.001269	0.001251	0.006624
4084.000000	0.001110	0.001108	0.010536
4085.000000	0.001225	0.001510	0.005159
4086.000000	0.001258	0.001613	0.004864
4087.000000	0.001230	0.001431	0.006095
4088.000000	0.001117	0.001462	0.004780
4089.000000	0.001365	0.001828	0.008150
4090.000000	0.001166	0.001371	0.004411
4091.000000	0.001077	0.001375	0.006973
4092.000000	0.001247	0.001488	0.006082
4093.000000	0.001270	0.001338	0.004668
4094.000000	0.001279	0.001590	0.006930
4095.000000	0.001180	0.002140	0.004214
4096.000000	0.001268	0.001646	0.004986
4097.000000	0.001174	0.001278	0.006641
4098.000000	0.001086	0.001064	0.005229
4099.000000	0.001278	0.001213	0.016364
4100.000000	0.001261	0.001291	0.005198
4101.000000	0.001209	0.001190	0.003999
4102.000000	0.001056	0.001108	0.007302
4103.000000	0.001249	0.001245	0.005332
4104.000000	0.001189	0.001042	0.005373
4105.000000	0.001223	0.001236	0.004944
4106.000000	0.001223	0.001140	0.005632
4107.000000	0.001294	0.001469	0.005680
4108.000000	0.001224	0.001170	0.003682
4109.000000	0.001219	0.001215	0.006965
4110.000000	0.000993	0.000992	0.007083
