# uW amps removed from audio path!

# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3900.000000	17.695529	15.036633	1083.285107
3901.000000	10.368390	11.453758	1883.779641
3902.000000	9.641723	9.390246	956.131873
3903.000000	11.001669	10.200565	1803.034464
3904.000000	9.573416	9.562667	1649.336620
3905.000000	9.250055	9.007299	1315.419030
3906.000000	9.998219	9.417908	2100.898775
3907.000000	10.164328	9.332939	1358.230633
3908.000000	9.898253	8.774091	1570.426800
3909.000000	12.043874	11.438721	2316.398590
3910.000000	9.735219	9.383689	1343.103648
3911.000000	10.333483	10.638177	2181.180680
3912.000000	10.154702	10.559239	1940.713913
3913.000000	9.924829	10.134022	863.599354
3914.000000	10.629355	10.424381	2448.317474
3915.000000	10.041987	9.634504	2046.961279
3916.000000	11.857389	12.366951	1425.062442
3917.000000	9.306969	9.002195	2741.724124
3918.000000	9.158377	9.809892	1669.801761
3919.000000	9.278009	9.677522	1801.601821
3920.000000	10.106597	9.135811	2930.544350
3921.000000	9.926760	8.789991	1616.071248
3922.000000	9.906254	11.093156	2200.042717
3923.000000	9.626450	10.262661	2555.108542
3924.000000	10.008215	9.336631	1053.750215
3925.000000	9.650313	9.577657	2177.262251
3926.000000	9.625105	9.493732	1968.326372
3927.000000	9.541408	10.813660	902.028141
3928.000000	9.005658	8.531719	1843.163627
3929.000000	9.402915	10.409653	1445.723859
3930.000000	9.695869	9.347531	1391.364745
3931.000000	9.282517	8.969856	1439.565372
3932.000000	10.251953	8.449057	1260.094898
3933.000000	10.092292	10.532037	1687.421914
3934.000000	9.273825	9.206728	1647.984931
3935.000000	9.541046	10.360832	904.228568
3936.000000	9.475775	8.983176	1305.007367
3937.000000	9.748809	11.107405	1075.352285
3938.000000	12.274647	14.422140	772.522300
3939.000000	10.337786	10.463739	1356.399367
3940.000000	8.780286	9.016612	1388.329808
3941.000000	8.291741	8.008419	1066.658544
3942.000000	10.326897	10.465355	1830.766231
3943.000000	9.101051	9.302045	1249.007042
3944.000000	9.316992	8.971339	1158.695915
3945.000000	9.129524	8.981533	1887.719098
3946.000000	9.303539	9.337806	1083.037507
3947.000000	8.821815	8.614398	1449.318631
3948.000000	9.458265	9.214203	2245.013125
3949.000000	9.148425	9.329545	1019.015229
3950.000000	8.815418	8.983395	2209.939417
3951.000000	10.157167	9.791308	2433.709929
3952.000000	9.724299	10.629981	1313.040793
3953.000000	8.837322	9.768286	2789.618397
3954.000000	9.647397	8.958831	1873.748800
3955.000000	9.558284	10.072116	1581.220984
3956.000000	9.131784	9.121397	2596.026543
3957.000000	8.499102	8.291974	1833.223880
3958.000000	9.918063	8.877423	2153.653557
3959.000000	9.292603	9.286004	2385.129720
3960.000000	8.369759	7.607930	1157.061615
3961.000000	9.544181	9.300285	1884.484128
3962.000000	9.210045	9.571011	1935.597233
3963.000000	8.574078	8.947244	958.031637
3964.000000	8.990123	9.658415	2017.172621
3965.000000	8.907151	9.276703	1564.157318
3966.000000	9.578877	9.418741	1118.150288
3967.000000	9.799853	9.972652	2178.463797
3968.000000	8.354917	8.746530	1488.592248
3969.000000	8.908860	8.587092	1616.780304
3970.000000	8.967268	8.581366	2061.187774
3971.000000	8.012115	7.552567	1143.670930
3972.000000	9.452349	8.935860	1486.286399
3973.000000	8.337378	8.431590	2269.579248
3974.000000	8.479931	8.262716	860.243413
3975.000000	8.381015	8.374892	1530.149526
3976.000000	8.241017	8.167131	1679.086513
3977.000000	8.611882	8.328383	876.349756
3978.000000	8.428969	8.925845	1769.256099
3979.000000	8.145384	8.365073	1489.864049
3980.000000	8.793901	8.013964	1161.808338
3981.000000	9.489970	11.146345	2054.243467
3982.000000	8.260583	9.011047	1119.345813
3983.000000	9.415981	8.335459	1221.462745
3984.000000	8.317953	7.710491	1534.435794
3985.000000	9.316128	8.165051	642.837201
3986.000000	9.302938	8.659404	1129.583718
3987.000000	8.515732	7.626057	1142.579871
3988.000000	9.171864	9.159389	701.983664
3989.000000	9.248157	8.949744	1656.263747
3990.000000	7.840721	9.146408	1263.816319
3991.000000	8.392479	8.356893	1178.390555
3992.000000	9.325702	8.905231	1522.790755
3993.000000	8.983958	7.973976	1490.951734
3994.000000	8.272143	7.756645	1280.589880
3995.000000	8.883863	9.226989	1677.140284
3996.000000	9.019287	9.268107	990.738547
3997.000000	9.163278	8.635356	1306.834490
3998.000000	9.000073	8.693891	1697.829521
3999.000000	9.278217	8.632838	675.316008
4000.000000	9.157930	9.404189	1829.086291
4001.000000	8.024307	8.725655	1638.189756
