# Magnets are removed

# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3900.000000	2.284187	1.298463	5.589379
3901.000000	0.541161	0.562577	6.138750
3902.000000	0.658111	0.610039	6.924111
3903.000000	0.703460	0.688364	4.577328
3904.000000	1.009357	1.261200	3.434177
3905.000000	0.700943	0.669582	3.897066
3906.000000	0.785514	0.766133	3.840399
3907.000000	0.831965	0.833055	4.935471
3908.000000	1.008272	0.941442	5.198087
3909.000000	1.111275	1.069957	22.255446
3910.000000	1.065001	1.120252	19.370249
3911.000000	0.828518	0.897796	38.312779
3912.000000	0.816974	0.794641	69.187161
3913.000000	0.816512	0.855114	42.640009
3914.000000	0.993175	0.859464	66.895877
3915.000000	0.928216	0.905148	45.683915
3916.000000	1.026889	0.904695	78.654147
3917.000000	1.208128	1.247435	126.163286
3918.000000	1.006182	0.990771	104.442596
3919.000000	0.671124	0.612834	97.476851
3920.000000	0.855862	0.885447	131.292546
3921.000000	0.451723	0.404485	75.416746
3922.000000	0.647170	0.606154	144.357376
3923.000000	0.572217	0.609960	131.472471
3924.000000	0.779007	0.758839	65.545353
3925.000000	0.711177	0.682031	148.079492
3926.000000	0.553142	0.579807	134.678222
3927.000000	0.883329	0.904637	68.819322
3928.000000	0.890126	0.799264	126.802148
3929.000000	1.137394	1.036768	131.222269
3930.000000	0.759315	0.775880	92.118554
3931.000000	0.963179	1.035629	171.544370
3932.000000	0.577768	0.501918	107.526245
3933.000000	1.280317	1.164403	114.795277
3934.000000	0.697541	0.749736	139.436108
3935.000000	0.695424	0.735191	76.374589
3936.000000	0.609679	0.665055	100.747062
3937.000000	0.698207	0.677539	119.836405
3938.000000	0.995980	0.957999	39.840799
3939.000000	0.802239	0.830132	85.609689
3940.000000	0.421566	0.430116	94.800619
3941.000000	1.191693	1.265276	70.824115
3942.000000	0.575296	0.537201	123.694565
3943.000000	0.743674	0.740401	106.422491
3944.000000	0.775984	0.725867	129.246320
3945.000000	0.986998	0.976980	207.844669
3946.000000	0.849573	0.904535	129.982953
3947.000000	0.628530	0.647925	174.734910
3948.000000	0.985534	0.957230	233.008583
3949.000000	0.862692	0.850184	129.688108
3950.000000	1.045469	0.932063	283.921974
3951.000000	0.894329	0.880516	278.456575
3952.000000	0.783274	0.715785	173.300439
3953.000000	0.786604	0.849761	407.288550
3954.000000	0.863255	0.795489	275.233252
3955.000000	0.554283	0.554394	248.087666
3956.000000	0.770649	0.733942	428.711828
3957.000000	0.463679	0.445920	275.971246
3958.000000	0.579383	0.557945	332.051831
3959.000000	0.503909	0.519005	450.657972
3960.000000	0.524377	0.604461	266.584187
3961.000000	0.346010	0.311927	402.225985
3962.000000	0.343301	0.342378	419.098558
3963.000000	0.399220	0.405640	187.186770
3964.000000	0.446890	0.452710	356.943780
3965.000000	0.351328	0.345624	302.809624
3966.000000	0.315989	0.285664	200.913725
3967.000000	0.213207	0.194221	345.161599
3968.000000	0.206885	0.207665	270.738411
3969.000000	0.249203	0.227105	250.618313
3970.000000	0.175946	0.189584	402.507591
3971.000000	0.198041	0.210877	214.174202
3972.000000	0.173123	0.156139	354.164212
3973.000000	0.138437	0.138410	474.136967
3974.000000	0.183570	0.182037	220.483594
3975.000000	0.180431	0.176419	469.377235
3976.000000	0.152418	0.153773	499.898772
3977.000000	0.167360	0.182397	296.084180
3978.000000	0.124168	0.139207	590.682190
3979.000000	0.137013	0.136184	430.300477
3980.000000	0.114500	0.108085	376.506725
3981.000000	0.148119	0.146516	557.116570
3982.000000	0.111795	0.110517	368.224122
3983.000000	0.140159	0.139621	441.647088
3984.000000	0.161831	0.158978	632.486407
3985.000000	0.124953	0.138164	366.964779
3986.000000	0.128895	0.127812	679.077586
3987.000000	0.100119	0.104000	835.982854
3988.000000	0.109019	0.099703	394.907441
3989.000000	0.128136	0.129028	965.174611
3990.000000	0.106792	0.111627	911.200789
3991.000000	0.122522	0.115529	663.655348
3992.000000	0.165624	0.162265	1253.222562
3993.000000	0.104150	0.111488	913.692446
3994.000000	0.134952	0.143662	960.602683
3995.000000	0.102101	0.116242	1362.380751
3996.000000	0.140992	0.148711	793.286675
3997.000000	0.125862	0.134389	1178.059373
3998.000000	0.114300	0.115528	1361.655644
3999.000000	0.104074	0.112041	600.833048
4000.000000	0.117470	0.143562	1261.875660
4001.000000	0.121332	0.119885	1202.108291
4002.000000	0.113190	0.121104	695.557522
4003.000000	0.107987	0.111653	1296.860115
4004.000000	0.089180	0.080333	1060.457499
4005.000000	0.101407	0.094276	867.006871
4006.000000	0.135682	0.174091	1328.335446
4007.000000	0.101481	0.099059	816.277817
4008.000000	0.108461	0.124945	952.855192
4009.000000	0.090925	0.086714	1083.492371
4010.000000	0.130378	0.180097	533.567853
4011.000000	0.096399	0.094252	798.566604
4012.000000	0.091871	0.099453	781.764215
4013.000000	0.104924	0.106746	335.127845
4014.000000	0.089479	0.093267	665.191091
4015.000000	0.098248	0.107577	538.274986
4016.000000	0.095039	0.088383	334.362248
4017.000000	0.095238	0.099658	553.391533
4018.000000	0.090697	0.081274	380.274017
4019.000000	0.106758	0.099268	324.298627
4020.000000	0.094977	0.099267	455.565502
4021.000000	0.099137	0.096526	253.333051
4022.000000	0.103611	0.099890	359.788273
4023.000000	0.100483	0.105818	430.813886
4024.000000	0.094906	0.101257	200.886743
4025.000000	0.097941	0.087733	432.320332
4026.000000	0.093896	0.090484	445.198430
4027.000000	0.107956	0.107474	263.593839
4028.000000	0.112027	0.115191	474.740996
4029.000000	0.099788	0.099182	391.278425
4030.000000	0.101698	0.098871	315.518356
4031.000000	0.091640	0.081020	446.104520
4032.000000	0.107094	0.109292	278.069141
4033.000000	0.103776	0.097070	274.413531
4034.000000	0.090921	0.090653	295.802662
4035.000000	0.091726	0.097712	143.263554
4036.000000	0.118734	0.109034	182.945143
4037.000000	0.082261	0.070883	167.317482
4038.000000	0.113025	0.111257	73.527850
4039.000000	0.091418	0.094984	153.022604
4040.000000	0.102829	0.090483	153.764377
4041.000000	0.108619	0.091402	109.662605
4042.000000	0.100475	0.100333	215.576797
4043.000000	0.097387	0.094616	173.705225
4044.000000	0.098650	0.106106	193.233154
4045.000000	0.102005	0.105263	307.489246
4046.000000	0.112392	0.099460	199.081843
4047.000000	0.110847	0.106467	282.311804
4048.000000	0.105988	0.102226	343.045553
4049.000000	0.107010	0.098345	142.231783
4050.000000	0.102419	0.110969	313.289628
4051.000000	0.107077	0.100438	276.733201
4052.000000	0.101694	0.102042	133.230091
4053.000000	0.101982	0.109034	206.838413
4054.000000	0.103517	0.104906	142.603120
4055.000000	0.093635	0.091165	92.522952
4056.000000	0.107521	0.096438	91.735603
4057.000000	0.096008	0.104221	41.631962
4058.000000	0.114789	0.112872	33.791653
4059.000000	0.098470	0.091248	29.043755
4060.000000	0.108671	0.104182	13.410806
4061.000000	0.110854	0.106014	20.900001
4062.000000	0.114772	0.097603	25.503411
4063.000000	0.102399	0.112847	14.898592
4064.000000	0.121349	0.120975	41.808837
4065.000000	0.106441	0.105523	43.849961
4066.000000	0.127904	0.146487	35.772982
4067.000000	0.112037	0.106208	82.403265
4068.000000	0.107231	0.105515	63.847107
4069.000000	0.116103	0.106489	67.182102
4070.000000	0.106193	0.111734	107.245193
4071.000000	0.123284	0.124072	80.954409
4072.000000	0.121811	0.125726	119.562476
4073.000000	0.109368	0.109192	148.954030
4074.000000	0.115138	0.109928	72.940986
