# A high strength magnet has been placed around the sample, around 300mT bias, excitation is perp to this

# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3900.000000	6.394149	1.383192	853.294925
3901.000000	0.162040	0.154982	954.045329
3902.000000	0.184540	0.172963	528.135477
3903.000000	0.180868	0.191221	1020.083238
3904.000000	0.176182	0.175652	831.432682
3905.000000	0.166228	0.180794	651.559196
3906.000000	0.173759	0.161470	983.241065
3907.000000	0.226612	0.234384	616.427279
3908.000000	0.263126	0.236409	673.135951
3909.000000	0.204543	0.211910	766.090940
3910.000000	0.202390	0.224205	398.487867
3911.000000	0.181140	0.182447	581.940662
3912.000000	0.166191	0.154096	607.880328
3913.000000	0.205844	0.187180	252.728606
3914.000000	0.176472	0.182796	503.815372
3915.000000	0.201688	0.204598	420.287011
3916.000000	0.218051	0.207272	266.474806
3917.000000	0.190619	0.178268	456.784226
3918.000000	0.177326	0.166908	338.753965
3919.000000	0.204596	0.216307	298.777610
3920.000000	0.176018	0.177059	430.527580
3921.000000	0.212854	0.220593	229.235937
3922.000000	0.199926	0.192059	267.946731
3923.000000	0.195216	0.204706	302.379127
3924.000000	0.207693	0.220696	103.771824
3925.000000	0.221469	0.205270	185.612405
3926.000000	0.452869	0.452804	144.835256
3927.000000	0.228931	0.234964	69.417958
3928.000000	0.205614	0.205788	115.407214
3929.000000	0.197468	0.202030	100.962807
3930.000000	0.253345	0.274889	77.350866
3931.000000	0.209198	0.212501	143.676234
3932.000000	0.253790	0.242260	112.445096
3933.000000	0.224833	0.225110	141.096487
3934.000000	0.228255	0.209996	195.609676
3935.000000	0.227081	0.205823	103.638630
3936.000000	0.224858	0.231155	151.569071
3937.000000	0.229949	0.233890	149.433561
3938.000000	0.229105	0.212754	56.884657
3939.000000	0.304346	0.305007	110.912395
3940.000000	0.305510	0.308973	69.198982
3941.000000	0.328834	0.291145	40.080595
3942.000000	0.394636	0.376390	47.013155
3943.000000	0.316769	0.328854	27.671518
3944.000000	0.335229	0.321261	18.650721
3945.000000	0.352560	0.347715	16.116166
3946.000000	0.351869	0.354669	2.019852
3947.000000	0.459131	0.452135	3.762468
3948.000000	0.368463	0.358734	1.488645
3949.000000	0.468557	0.452596	1.227385
3950.000000	0.323280	0.345164	1.259768
3951.000000	0.331883	0.324973	2.108178
3952.000000	0.336110	0.314692	2.994763
3953.000000	0.299196	0.322680	2.536598
3954.000000	0.308752	0.312504	6.509557
3955.000000	0.319593	0.340612	1.686761
3956.000000	0.269384	0.257848	5.399167
3957.000000	0.255312	0.235073	5.984262
3958.000000	0.249310	0.214645	8.151796
3959.000000	0.224048	0.233633	12.015438
3960.000000	0.215890	0.222581	4.060164
3961.000000	0.210346	0.203693	7.137978
3962.000000	0.199932	0.208660	8.515202
3963.000000	0.238461	0.223642	9.526214
3964.000000	0.214514	0.220355	22.958771
3965.000000	0.198814	0.188548	26.779051
3966.000000	0.214094	0.192126	28.975891
3967.000000	0.239601	0.259339	42.805466
3968.000000	0.209474	0.197821	26.558474
3969.000000	0.201862	0.217210	40.488487
3970.000000	0.249337	0.244041	55.761489
3971.000000	0.266163	0.261983	33.560441
3972.000000	0.221993	0.205025	50.594192
3973.000000	0.258758	0.270293	57.575435
3974.000000	0.242746	0.230454	27.511553
3975.000000	0.256440	0.259572	49.580275
3976.000000	0.357328	0.368689	55.122076
3977.000000	0.253132	0.254862	34.030293
3978.000000	0.304691	0.281646	62.683295
3979.000000	0.250228	0.247767	53.282415
3980.000000	0.199160	0.205559	27.891538
3981.000000	0.238678	0.241927	74.989775
3982.000000	0.251554	0.283966	54.022768
3983.000000	0.233795	0.232866	66.791219
3984.000000	0.210856	0.208291	104.603508
3985.000000	0.193646	0.190922	70.693945
3986.000000	0.194645	0.207650	148.368591
3987.000000	0.207119	0.211583	188.630628
3988.000000	0.164820	0.157914	101.454418
3989.000000	0.217608	0.184705	225.267507
3990.000000	0.178130	0.167116	216.080014
3991.000000	0.158295	0.156130	147.024700
3992.000000	0.186464	0.202189	261.793982
3993.000000	0.180315	0.166447	207.722269
3994.000000	0.217514	0.214094	176.158317
3995.000000	0.172118	0.167732	242.094867
3996.000000	0.213848	0.195938	134.180830
