# Idem

# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3900.000000	13.916842	12.553580	528.172363
3901.000000	7.283754	7.942407	798.010353
3902.000000	6.818464	6.927550	437.805817
3903.000000	6.147384	6.240067	832.658092
3904.000000	6.717639	7.183402	772.727440
3905.000000	7.530783	6.800230	672.165519
3906.000000	7.558756	8.885771	676.060741
3907.000000	7.114102	6.493825	421.586016
3908.000000	6.362575	6.242236	440.304511
3909.000000	7.284542	7.024568	664.748640
3910.000000	7.313079	7.919722	420.098205
3911.000000	7.300738	7.613093	489.467300
3912.000000	6.877234	6.303180	549.559394
3913.000000	7.876205	7.390990	251.498898
3914.000000	7.379261	6.982311	452.091102
3915.000000	8.756373	7.696933	432.190807
3916.000000	6.781113	6.344822	286.815407
3917.000000	7.232423	7.147798	377.571509
3918.000000	7.705700	6.924210	222.138423
3919.000000	7.350305	7.504747	354.276638
3920.000000	8.365635	8.884519	250.803649
3921.000000	6.884327	6.767721	156.508951
3922.000000	7.804150	7.923772	200.236711
3923.000000	6.552852	6.534900	334.576783
3924.000000	7.536435	7.109703	80.285826
3925.000000	6.866594	6.383797	172.896080
# 

# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3850.000000	6.986015	7.576928	1291.684474
3851.000000	6.022237	6.087060	1391.296969
3852.000000	5.781551	5.891924	830.595408
3853.000000	6.232397	6.590356	1524.030411
3854.000000	5.490827	5.456635	1318.942571
3855.000000	5.581998	5.114528	1029.691553
3856.000000	5.758681	5.772158	1614.882886
3857.000000	5.758747	5.769816	899.807696
3858.000000	5.579037	5.677997	1297.459882
3859.000000	5.345770	6.006659	1686.102925
3860.000000	5.959121	5.706083	830.442136
3861.000000	5.897007	5.701842	1285.637369
3862.000000	5.704598	5.546172	1619.257355
3863.000000	5.973939	5.688893	736.819652
3864.000000	5.972158	5.220798	1984.944271
3865.000000	5.760134	5.361439	1571.494290
3866.000000	5.786422	5.682068	823.206993
3867.000000	5.769715	5.150052	1379.759527
3868.000000	5.896203	6.872102	1301.777725
3869.000000	5.188338	4.875150	1211.078554
3870.000000	5.459650	5.448952	1415.010004
3871.000000	5.906265	5.782661	937.265603
3872.000000	5.591341	5.784748	1134.394526
3873.000000	5.559024	5.548926	1343.056490
3874.000000	5.224501	5.352439	506.787457
3875.000000	5.049712	5.209447	1217.078230
3876.000000	5.266582	4.109722	1041.130705
3877.000000	5.798828	5.810644	465.079517
3878.000000	5.823963	6.335647	1130.265837
3879.000000	5.377483	4.589571	836.942950
3880.000000	5.353499	4.912395	645.009754
3881.000000	6.035390	5.730869	801.889032
3882.000000	5.681140	6.094906	642.582280
3883.000000	5.806883	5.379164	808.983386
3884.000000	6.423950	6.821909	913.587421
3885.000000	4.622523	4.559262	349.941552
3886.000000	5.546140	5.594472	707.997283
