# Magnets removed

# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3850.000000	1.766671	1.831071	706.283685
3851.000000	1.972017	1.998259	632.623766
3852.000000	1.993378	2.160715	356.722935
3853.000000	1.805505	1.750903	660.128965
3854.000000	1.747803	1.697796	492.343162
3855.000000	2.025228	1.878633	435.126113
3856.000000	2.103083	2.193282	574.339659
3857.000000	2.086874	2.209772	400.288702
3858.000000	2.049799	1.871611	515.336808
3859.000000	1.956765	2.030897	603.197474
3860.000000	2.059866	1.965850	304.441448
3861.000000	2.082335	1.878823	508.014481
3862.000000	1.932327	2.362210	726.688049
3863.000000	2.131382	1.951307	377.029457
3864.000000	2.326941	2.163078	627.307880
3865.000000	2.161312	2.131521	446.776971
3866.000000	2.341492	2.581392	295.823817
3867.000000	2.187511	2.564022	508.827861
3868.000000	2.226118	2.123367	299.946389
3869.000000	2.463434	2.362506	343.432420
3870.000000	2.225617	2.168770	324.847437
3871.000000	2.692417	2.307549	248.487460
3872.000000	2.188842	2.551939	368.763057
3873.000000	2.671703	2.468634	302.685424
3874.000000	2.635606	2.438861	153.315134
3875.000000	2.388073	2.666567	251.757871
3876.000000	2.715414	2.563921	173.528408
3877.000000	2.198278	2.140980	166.501345
3878.000000	2.995298	2.968173	243.840480
3879.000000	2.942791	2.947464	159.316083
3880.000000	2.864532	2.835786	187.367419
3881.000000	2.967371	3.011929	239.680808
3882.000000	2.648281	2.622399	85.441553
3883.000000	2.961146	3.003111	99.046176
3884.000000	2.630417	2.518705	150.415192
3885.000000	2.878918	2.747007	109.163872
3886.000000	2.862779	2.819166	118.881185
3887.000000	2.881530	3.172945	156.077700
3888.000000	3.243042	3.181616	42.472697
3889.000000	3.680321	3.462858	110.007125
3890.000000	3.255298	3.318665	81.102121
3891.000000	3.438462	3.459629	32.364955
3892.000000	3.204005	3.096909	151.267029
3893.000000	3.527560	3.173051	71.900287
3894.000000	3.694296	3.650827	68.628954
3895.000000	3.739037	4.199676	59.401103
3896.000000	3.941676	3.741401	58.795894
3897.000000	3.553953	3.364276	77.907718
3898.000000	3.832073	3.491311	103.722598
3899.000000	3.965416	4.157315	47.109764
3900.000000	4.517548	4.540973	68.067006
3901.000000	4.069781	4.033286	38.227650
3902.000000	4.307615	4.624885	36.196633
3903.000000	4.786275	4.578698	23.854697
3904.000000	4.283749	3.898680	22.857992
3905.000000	4.767939	4.795370	20.431484
3906.000000	4.694905	4.288958	28.918853
3907.000000	5.243811	5.824196	19.573456
3908.000000	5.049433	5.168824	45.434545
3909.000000	5.384928	5.310305	65.350017
3910.000000	4.776329	4.751655	17.265193
3911.000000	5.433192	5.043455	44.803381
3912.000000	5.003085	4.881874	70.517029
3913.000000	5.226495	5.671743	36.303860
3914.000000	5.708057	5.034948	72.111217
3915.000000	5.227890	5.405945	47.524249
3916.000000	5.157585	5.056810	80.397126
3917.000000	5.638290	5.527370	65.055390
3918.000000	5.703410	5.789753	117.121618
3919.000000	5.468356	5.212327	60.931889
3920.000000	6.175406	5.842451	81.964955
3921.000000	5.555818	5.717370	30.621446
3922.000000	6.422716	6.214962	26.436825
3923.000000	6.679322	5.954802	25.069882
3924.000000	6.194386	6.102720	43.164010
3925.000000	6.567705	6.568418	18.153266
3926.000000	6.327829	6.510494	34.135546
3927.000000	6.248467	5.185777	32.567073
3928.000000	6.541158	6.696231	36.384074
3929.000000	6.579373	6.125935	40.860381
3930.000000	6.373934	7.791483	79.474765
3931.000000	6.660929	6.178510	69.809691
3932.000000	6.253254	5.893432	38.979162
3933.000000	6.681530	6.108951	48.547336
3934.000000	6.713098	6.473929	69.651108
3935.000000	6.472647	5.954038	20.892849
3936.000000	7.216203	6.562191	60.925096
3937.000000	6.805374	6.337620	125.976972
3938.000000	7.909326	7.833979	31.759576
3939.000000	6.712622	6.300109	59.921628
3940.000000	7.665607	7.488483	124.444738
3941.000000	7.607462	7.561447	82.070199
3942.000000	6.921826	7.358691	139.562408
3943.000000	7.071021	7.025457	183.387815
3944.000000	7.900358	7.380822	109.330874
3945.000000	6.874353	6.965565	275.975766
3946.000000	7.333129	7.728195	120.737734
3947.000000	6.486924	6.151671	143.202561
3948.000000	8.013576	6.844446	317.819663
3949.000000	7.492289	7.530317	57.751744
3950.000000	7.984115	7.120910	212.651364
3951.000000	7.379061	7.777062	166.629888
3952.000000	7.701631	8.380151	59.183998
3953.000000	7.148115	7.267002	288.779289
3954.000000	6.675032	5.764515	160.146225
3955.000000	7.034954	6.438210	131.604285
3956.000000	6.989248	7.627665	239.252775
3957.000000	6.323165	7.174171	131.697897
3958.000000	6.071786	5.939294	134.590439
3959.000000	6.961804	7.476261	354.257145
3960.000000	7.630711	7.431817	192.297380
3961.000000	7.347789	6.893360	351.796663
3962.000000	6.596533	6.534919	395.920290
3963.000000	6.795274	6.554834	169.259570
3964.000000	7.079042	7.022902	274.138754
3965.000000	7.681357	7.416432	311.412394
3966.000000	7.181221	6.686175	383.312171
3967.000000	8.282490	8.201278	373.539150
3968.000000	7.848050	7.319314	430.858263
3969.000000	8.048516	7.269149	338.979138
3970.000000	6.676207	6.742394	673.704722
3971.000000	7.793030	7.912879	257.384980
3972.000000	6.798476	6.699586	400.384162
3973.000000	7.164254	6.707608	566.131578
3974.000000	6.254880	6.286202	292.734263
3975.000000	6.843144	7.702112	442.600766
3976.000000	6.993613	7.094186	417.056750
3977.000000	6.899575	7.053181	165.582070
3978.000000	7.565364	7.502584	462.297192
3979.000000	7.237771	8.278648	277.076497
3980.000000	7.607444	7.592996	256.283490
3981.000000	6.525036	6.846127	525.813434
