

# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3850.000000	26.562623	25.023038	413.630509
3851.000000	27.118405	25.358078	382.625883
3852.000000	25.153100	22.204233	270.562865
3853.000000	25.519044	26.718972	439.431241
3854.000000	24.927663	27.104051	231.243019
3855.000000	24.364658	22.270905	135.870029
3856.000000	27.107179	26.947353	271.848461
3857.000000	25.503992	26.755641	302.989065
3858.000000	23.194350	21.533233	367.467644
3859.000000	21.671970	19.926249	408.676910
3860.000000	19.771738	19.359001	475.284068
3861.000000	21.788197	21.501383	549.639399
3862.000000	23.878553	25.431547	441.139985
3863.000000	20.128837	19.942391	269.041719
3864.000000	19.802472	18.319406	572.768648
3865.000000	20.227030	19.935200	295.389936
3866.000000	21.763337	20.655662	184.793205
3867.000000	21.259685	21.581178	250.702211
3868.000000	22.580601	20.710755	216.839065
3869.000000	19.721426	20.186997	148.349523
3870.000000	21.057656	20.676442	325.541910
3871.000000	16.227830	15.850708	111.884674
3872.000000	19.756079	20.480259	380.302310
3873.000000	17.659612	21.026782	131.454933
3874.000000	20.414416	21.906872	220.121682
3875.000000	19.156314	18.596116	94.338073
3876.000000	21.256315	20.098251	200.645041
3877.000000	19.847463	20.456932	149.497727
3878.000000	19.012857	18.704301	219.492712
3879.000000	18.391513	19.547570	160.905845
3880.000000	20.199537	19.533428	111.471678
3881.000000	17.555522	17.147778	183.475513
3882.000000	16.286504	14.075975	70.484362
3883.000000	19.035274	18.470577	75.485142
3884.000000	17.240644	15.990450	84.878300
3885.000000	15.840309	15.586124	60.227650
3886.000000	17.562338	17.420365	75.498742
3887.000000	17.862609	17.541287	77.397994
3888.000000	16.043215	16.252109	93.279026
3889.000000	17.454999	16.644768	61.555137
3890.000000	14.654491	13.717951	70.683994
3891.000000	14.791035	15.281480	89.332271
3892.000000	16.937201	17.907120	83.855144
3893.000000	16.087853	17.390010	69.040121
3894.000000	17.453079	19.636867	66.082427
3895.000000	14.207918	15.006645	66.881718
3896.000000	15.216228	13.443816	58.116324
3897.000000	17.272771	15.530627	66.617270
3898.000000	15.519494	14.531319	73.495004
3899.000000	15.975175	15.075802	98.692892
3900.000000	14.547550	14.761384	78.833428
3901.000000	15.816032	15.628383	84.973097
3902.000000	14.880391	13.952161	77.072888
3903.000000	15.153086	16.556128	61.682188
3904.000000	14.328128	15.045556	78.559697
3905.000000	15.170499	14.072614	68.977510
3906.000000	13.204600	12.656766	61.875247
3907.000000	15.635906	17.141328	57.488561
3908.000000	14.939411	13.495787	87.876549
3909.000000	14.122274	13.528352	92.331427
3910.000000	14.627905	16.487678	62.726132
3911.000000	13.366860	12.054556	98.541207
3912.000000	14.275865	14.191186	44.471076
3913.000000	16.117739	16.677369	84.703243
3914.000000	15.211036	15.527695	90.451988
3915.000000	15.368682	13.233862	65.485529
3916.000000	14.574382	13.562365	103.607691
3917.000000	13.413459	12.940198	103.281488
3918.000000	13.378146	13.504209	72.132370
3919.000000	13.462732	13.120544	105.034713
3920.000000	16.661380	14.975754	56.285717
3921.000000	16.368620	16.865755	43.660854
3922.000000	13.522513	11.688721	147.816513
3923.000000	14.878734	13.131649	46.305400
3924.000000	14.529994	15.887864	49.075085
3925.000000	13.887861	13.496215	65.806691
3926.000000	13.955226	15.050841	121.274205
3927.000000	14.693066	15.263662	65.161958
3928.000000	12.406814	12.783988	141.019506
3929.000000	14.449815	13.070439	121.739563
3930.000000	14.277807	12.801473	126.963171
3931.000000	13.383364	13.714197	206.573485
3932.000000	13.676418	14.814748	143.550791
3933.000000	12.918457	12.307085	172.755349
3934.000000	14.521039	14.366344	288.118596
3935.000000	11.293067	11.471749	111.436644
3936.000000	11.900585	12.408530	148.038740
3937.000000	11.789703	12.212935	214.951194
3938.000000	11.316756	11.604123	140.523776
3939.000000	12.797304	11.943085	276.110268
3940.000000	11.748353	12.064749	266.024617
3941.000000	11.858169	11.397325	68.757797
3942.000000	11.760133	10.919364	338.456967
3943.000000	11.553991	13.085514	194.512780
3944.000000	10.406577	10.810122	203.865682
3945.000000	10.728342	10.174083	418.687696
3946.000000	10.804690	11.351542	168.486096
3947.000000	11.429724	11.323861	366.221207
3948.000000	13.089580	14.637599	334.367474
3949.000000	11.097265	9.616646	287.839945
3950.000000	11.807030	11.516536	331.594301
3951.000000	12.478695	13.106731	391.126829
3952.000000	11.798671	13.050423	263.176223
3953.000000	11.044464	11.602397	517.460984
3954.000000	9.527984	9.103129	394.074995
3955.000000	11.263148	9.769946	283.448201
3956.000000	10.906562	12.423266	436.497245
3957.000000	10.942385	10.001059	277.134109
3958.000000	11.161067	13.259742	432.027029
3959.000000	11.715417	12.048963	596.164515
3960.000000	12.534275	13.064146	320.481174
3961.000000	12.465355	13.454051	473.233521
3962.000000	11.215656	10.669354	745.396293
3963.000000	12.048578	11.942882	351.488467
3964.000000	10.873290	10.344151	977.948294
3965.000000	11.667154	11.210386	512.844801
3966.000000	10.991060	11.040644	516.464089
3967.000000	10.826273	10.519677	858.297775
3968.000000	12.030163	11.599901	406.249732
3969.000000	11.078583	12.659425	670.576967
3970.000000	10.572945	10.332334	725.021741
3971.000000	11.593845	11.316869	398.967004
3972.000000	9.775470	10.553174	645.333468
3973.000000	11.271900	11.322238	626.943926
3974.000000	10.036049	9.145648	314.989968
3975.000000	12.528986	13.820136	785.482955
3976.000000	10.249759	9.492905	488.658805
3977.000000	9.814126	9.897875	406.491951
3978.000000	10.959970	9.675491	659.845876
3979.000000	11.020740	10.510861	404.304254
3980.000000	10.575194	10.602207	314.872504
3981.000000	8.347063	8.118577	528.264049
3982.000000	8.939121	9.651498	370.655589
3983.000000	9.489270	9.508795	648.066293
3984.000000	10.195451	9.608073	762.176606
3985.000000	11.304394	10.759683	285.795415
3986.000000	10.000208	8.869343	494.737152
3987.000000	10.504584	9.314786	867.409728
3988.000000	9.534032	10.272200	449.522249
3989.000000	10.317187	9.421982	617.626833
3990.000000	10.711539	11.558501	898.095201
3991.000000	9.124788	9.840416	428.239909
3992.000000	10.949003	10.071669	858.139183
3993.000000	9.823508	8.264035	507.817689
3994.000000	9.839940	9.690244	461.975954
3995.000000	8.544184	8.168593	853.782961
3996.000000	11.138193	10.167454	475.734447
3997.000000	9.798917	9.901176	366.396036
3998.000000	9.432563	10.136613	584.683272
3999.000000	9.441860	9.002658	304.757879
4000.000000	9.540191	8.799805	419.089160
4001.000000	10.354324	10.422065	757.478765
4002.000000	10.115183	11.838339	362.418205
4003.000000	9.377428	10.097478	598.100926
4004.000000	9.988696	9.807126	457.788979
4005.000000	10.532754	9.639189	340.953841
4006.000000	9.280532	9.953523	876.028632
4007.000000	10.884899	10.479707	428.748347
4008.000000	10.122115	10.244721	602.422408
4009.000000	10.121221	9.490388	309.984256
4010.000000	12.189030	11.331681	218.820572
4011.000000	9.499477	9.861679	431.847399
4012.000000	9.753373	9.726493	414.785208
4013.000000	9.884441	10.780629	138.927372
4014.000000	9.371717	8.651727	284.590850
4015.000000	9.511509	9.835305	218.245347
4016.000000	10.879936	10.232254	69.886083
4017.000000	9.428993	8.997273	175.447302
4018.000000	9.644456	9.731162	163.213750
4019.000000	11.732451	10.505238	235.759933
4020.000000	10.768266	10.186453	100.236781
4021.000000	10.178127	9.546528	81.722402
4022.000000	11.756424	10.127236	144.830252
4023.000000	11.618640	12.811671	162.118216
4024.000000	10.902167	11.352457	139.588901
4025.000000	11.173909	11.507596	155.783755
