

# 3dB more power
# Scan parameters: power 19.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3850.000000	17.335031	13.168512	892.721612
3851.000000	6.861049	6.602942	1132.930574
3852.000000	6.914833	6.935585	525.769617
3853.000000	6.197422	6.658103	1038.015228
3854.000000	5.911585	5.652710	816.057606
3855.000000	6.037196	5.203163	579.454328
3856.000000	5.781632	5.827077	940.717496
3857.000000	6.730965	6.273077	807.358580
3858.000000	5.460207	5.854933	894.058509
3859.000000	6.019029	6.221764	1063.091013
3860.000000	5.772122	5.185409	482.386816
3861.000000	4.679590	4.695985	840.496768
3862.000000	5.997355	6.034549	912.344026
3863.000000	5.544591	5.558287	534.005134
3864.000000	5.262750	4.999966	815.460873
3865.000000	5.600676	5.916074	792.641238
3866.000000	5.415378	6.314647	436.633625
3867.000000	5.400434	5.005408	793.711265
3868.000000	5.063193	4.634936	464.386438
3869.000000	5.876854	5.885297	406.656360
3870.000000	5.656438	5.712131	583.571951
3871.000000	5.903517	6.382783	354.926948
3872.000000	6.278665	6.546473	593.254571
3873.000000	5.636824	5.493872	542.910118
3874.000000	6.158388	6.065147	268.862781
3875.000000	6.164308	6.385514	438.900301
3876.000000	6.590300	6.780096	401.977787
3877.000000	5.374886	5.325134	219.985840
3878.000000	5.983042	5.367382	334.673171
3879.000000	5.177483	6.258415	279.633649
3880.000000	6.027888	5.991037	164.359857
3881.000000	6.385372	6.130428	223.961020
3882.000000	6.230424	6.200171	68.826430
3883.000000	6.006872	5.676135	84.669344
3884.000000	5.923111	5.901314	112.045553
3885.000000	5.883944	5.950402	40.625336
3886.000000	5.293951	6.072795	48.949078
3887.000000	5.539233	5.614958	79.752578
3888.000000	6.332948	6.182389	30.149727
3889.000000	6.851963	6.452726	74.771083
3890.000000	5.512472	5.687048	36.847424
3891.000000	6.057339	6.155095	37.040045
3892.000000	6.277880	6.071211	41.845044
3893.000000	6.119025	6.131658	37.452096
3894.000000	5.750756	6.248048	32.298952
3895.000000	6.405594	7.294908	39.633208
3896.000000	6.242464	5.900685	35.005951
3897.000000	5.838776	5.492726	43.293910
3898.000000	5.775728	5.431932	22.571947
3899.000000	5.920260	5.743429	47.908752
3900.000000	6.287745	6.650488	21.877193
3901.000000	6.499810	6.253788	22.445196
3902.000000	6.459149	5.735942	33.942390
3903.000000	5.693007	5.401722	23.197251
3904.000000	5.764545	5.930983	27.177223
3905.000000	6.469506	7.165995	34.006883
3906.000000	6.974056	6.255957	58.032019
3907.000000	7.056446	7.211929	39.629636
3908.000000	7.017006	8.602606	60.406625
3909.000000	6.947553	6.795889	41.845799
3910.000000	6.381666	6.741568	37.793029
3911.000000	6.415801	6.804207	119.435496
3912.000000	6.740455	6.484502	51.199483
3913.000000	6.822725	7.249361	108.584595
3914.000000	7.300247	7.509032	125.021640
3915.000000	6.999666	6.801184	64.579828
3916.000000	6.375491	5.936280	56.540029
3917.000000	6.026481	6.105296	68.596181
3918.000000	6.459295	6.260012	58.737996
3919.000000	7.728791	7.655072	42.597276
3920.000000	6.504297	6.070980	51.744870
3921.000000	7.669884	7.468172	40.297598
3922.000000	6.067351	5.613195	37.802920
3923.000000	6.585627	7.138307	79.120991
3924.000000	7.513348	8.547151	54.584231
3925.000000	6.570172	6.789751	153.083732
3926.000000	6.272506	5.948360	200.908075
3927.000000	6.435035	5.893178	186.075409
3928.000000	6.756269	6.355380	231.839850
3929.000000	6.325735	6.221278	228.671727
3930.000000	7.411199	7.996283	226.404321
3931.000000	6.218242	5.935147	318.562342
3932.000000	7.327639	6.867969	287.162635
3933.000000	7.201734	7.595766	321.196567
3934.000000	7.007616	5.906287	360.519973
3935.000000	7.330558	6.767796	272.312361
3936.000000	6.654174	6.327705	385.171827
3937.000000	6.482730	6.415480	309.327766
3938.000000	6.903458	6.921431	220.981364
3939.000000	6.973805	6.762477	498.572678
3940.000000	6.876437	7.246709	435.518112
3941.000000	6.578204	5.713122	296.506622
3942.000000	7.859908	7.731503	599.101747
3943.000000	8.034155	7.803381	457.412996
3944.000000	8.138162	8.290396	437.819058
3945.000000	7.914991	7.716258	682.167801
3946.000000	6.781145	6.253569	316.735533
3947.000000	7.044443	7.158752	574.443204
3948.000000	7.351173	7.320433	680.050640
3949.000000	7.188682	8.911735	379.122893
3950.000000	7.154632	6.442929	654.461919
3951.000000	7.018491	6.516291	555.558288
3952.000000	7.022841	7.227247	372.452089
3953.000000	8.624622	8.368780	619.743780
3954.000000	8.656551	8.222470	561.238445
3955.000000	7.040532	6.446890	365.853356
3956.000000	7.623971	7.259779	1090.444882
3957.000000	7.864852	7.187582	568.369242
3958.000000	7.489519	8.136995	873.392345
3959.000000	7.373778	7.741493	1022.115779
3960.000000	7.935554	8.474117	438.922444
3961.000000	6.906343	6.154728	976.461327
3962.000000	7.302919	6.622611	1223.316944
3963.000000	7.385366	6.979423	591.809589
3964.000000	7.484842	7.833305	1155.312641
