

# Big magnet back in place
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3850.000000	12.008700	2.231931	579.607807
3851.000000	0.164336	0.178626	412.264508
3852.000000	0.150333	0.143946	240.380172
3853.000000	0.170971	0.186749	463.771415
3854.000000	0.176921	0.194902	372.437630
3855.000000	0.162070	0.154110	316.596480
3856.000000	0.156140	0.148430	500.369846
3857.000000	0.199756	0.203465	352.116097
3858.000000	0.190517	0.175513	453.225908
3859.000000	0.208784	0.214975	546.343324
3860.000000	0.195071	0.173455	322.305028
3861.000000	0.195975	0.207913	542.922587
3862.000000	0.214960	0.218636	614.692279
3863.000000	0.289078	0.296065	298.520777
3864.000000	0.158531	0.154249	737.647227
3865.000000	0.158286	0.133150	650.223012
3866.000000	0.242831	0.237326	469.444268
3867.000000	0.236116	0.223330	827.614868
3868.000000	0.195542	0.198626	564.243214
3869.000000	0.177580	0.184225	581.821628
3870.000000	0.216731	0.216568	791.968013
3871.000000	0.169562	0.149322	433.251962
3872.000000	0.254338	0.237814	585.953074
3873.000000	0.122749	0.135246	641.875710
3874.000000	0.152554	0.146602	266.159216
3875.000000	0.117551	0.114023	513.807254
3876.000000	0.143984	0.143612	495.384630
3877.000000	0.162195	0.165641	282.944175
3878.000000	0.126332	0.114701	506.040230
3879.000000	0.163526	0.170346	374.895970
3880.000000	0.192568	0.187508	293.362409
3881.000000	0.203904	0.187556	422.733480
3882.000000	0.167368	0.150508	234.673803
3883.000000	0.183089	0.169574	239.622545
3884.000000	0.169866	0.173909	317.850151
3885.000000	0.147080	0.128228	160.696126
3886.000000	0.252361	0.284977	250.302511
3887.000000	0.179338	0.169966	263.045344
3888.000000	0.186983	0.188479	112.534702
3889.000000	0.143922	0.140604	255.210582
3890.000000	0.161550	0.164515	200.168422
3891.000000	0.181429	0.176666	114.881057
3892.000000	0.179260	0.168981	174.111741
3893.000000	0.205368	0.204888	104.871946
3894.000000	0.240584	0.215046	82.416889
3895.000000	0.177351	0.175043	135.056082
3896.000000	0.218378	0.221736	75.139827
3897.000000	0.187491	0.175446	113.866451
3898.000000	0.251403	0.251388	147.917455
3899.000000	0.294597	0.274673	70.460463
3900.000000	0.262476	0.282932	182.721419
3901.000000	0.345124	0.357832	183.856341
3902.000000	0.372050	0.355581	131.712319
3903.000000	0.546367	0.548529	258.404491
3904.000000	0.439698	0.425580	242.781502
3905.000000	0.325197	0.324561	210.715254
3906.000000	0.594048	0.584037	294.863505
3907.000000	0.330691	0.302081	235.656299
3908.000000	0.335612	0.336020	266.482979
3909.000000	0.283556	0.256869	352.671106
3910.000000	0.316617	0.323504	172.584717
3911.000000	0.361281	0.381911	293.228665
3912.000000	0.525024	0.561507	280.814598
3913.000000	0.358972	0.358850	146.002343
3914.000000	0.352890	0.327075	282.830370
3915.000000	0.489931	0.457187	226.259755
3916.000000	0.403660	0.362925	157.283739
3917.000000	0.367139	0.298302	291.698578
3918.000000	0.369843	0.389010	203.063561
3919.000000	0.424754	0.456357	218.761855
3920.000000	0.457435	0.438535	318.445156
3921.000000	0.402569	0.407247	181.156106
3922.000000	0.387790	0.431930	288.584270
3923.000000	0.370619	0.373141	330.961217
3924.000000	0.438312	0.408358	145.596346
3925.000000	0.623367	0.653385	350.540984
3926.000000	0.558217	0.510591	333.439803
3927.000000	0.547361	0.533629	161.301429
3928.000000	0.526333	0.526751	352.750562
3929.000000	0.637987	0.627647	305.346294
3930.000000	0.837901	0.828038	233.727596
3931.000000	0.740907	0.677883	358.029624
3932.000000	0.605687	0.594495	302.309372
3933.000000	0.902667	0.903692	349.486169
3934.000000	0.785045	0.778514	453.518287
3935.000000	1.190817	1.020585	288.441354
3936.000000	0.947998	0.902561	509.156999
3937.000000	0.893741	0.864710	565.156750
3938.000000	0.903908	0.876854	208.119525
3939.000000	1.091046	1.076365	586.976688
3940.000000	1.467968	1.315335	479.235865
3941.000000	1.311379	1.227179	319.432937
3942.000000	1.495791	1.542870	537.982534
3943.000000	1.378827	1.206057	385.161686
3944.000000	1.702000	1.755968	279.975443
3945.000000	1.681027	1.582051	383.179452
3946.000000	1.753322	1.581822	219.990323
3947.000000	1.696382	1.542006	272.694802
3948.000000	1.744356	1.620833	256.870173
3949.000000	1.233451	1.324255	132.718644
3950.000000	1.323465	1.263581	275.419780
3951.000000	1.121329	1.151523	188.072793
3952.000000	1.151440	1.054146	159.098245
3953.000000	1.295928	1.366905	201.683603
3954.000000	1.590894	1.360067	200.773924
3955.000000	1.435305	1.358728	215.385450
3956.000000	1.184102	1.188704	262.343694
3957.000000	1.231776	1.134932	171.889004
3958.000000	0.897816	0.926919	181.698426
3959.000000	1.266065	1.314052	259.155224
3960.000000	1.376637	1.367638	98.817730
3961.000000	1.325371	1.270149	240.799715
3962.000000	1.588798	1.407819	195.972065
3963.000000	1.518802	1.696144	119.982573
3964.000000	1.379677	1.443104	326.098699
3965.000000	1.209039	1.199792	276.850687
3966.000000	1.162885	1.241213	228.139372
3967.000000	1.419395	1.370101	384.746965
3968.000000	1.164638	1.115938	263.991715
3969.000000	1.662224	1.766437	253.152990
3970.000000	1.691370	1.539458	418.116643
3971.000000	1.351977	1.312834	211.045743
3972.000000	1.417615	1.538715	303.956786
3973.000000	1.206245	1.232043	334.071222
3974.000000	1.804887	1.728753	159.392304
3975.000000	1.326336	1.347211	280.140958
3976.000000	1.366953	1.422262	277.935965
3977.000000	2.192957	2.293254	155.230092
3978.000000	1.360568	1.414019	256.065428
3979.000000	1.911812	1.973074	231.647112
3980.000000	1.682283	1.485867	211.226406
3981.000000	1.909575	1.804746	403.888801
3982.000000	1.657649	1.738243	266.806944
3983.000000	2.028966	2.228833	300.323300
3984.000000	1.661490	1.677446	383.563539
3985.000000	1.768378	1.796970	222.860091
3986.000000	2.108168	2.097319	357.245929
3987.000000	2.117396	2.039258	383.629149
3988.000000	2.214084	2.515115	152.768880
3989.000000	1.734410	1.722388	293.266214
3990.000000	1.640610	1.481871	310.383211
3991.000000	1.392624	1.565524	189.619786
3992.000000	1.370762	1.475991	325.686069
3993.000000	1.552411	1.568101	166.442344
3994.000000	1.280901	1.258432	142.859638
3995.000000	1.398535	1.208617	170.245484
3996.000000	0.907401	0.966781	95.797334
3997.000000	1.211257	1.297134	109.460562
3998.000000	1.238089	1.158196	141.870173
3999.000000	1.078502	1.101626	91.971839
4000.000000	1.078460	1.022254	94.961182
4001.000000	1.181545	1.249783	90.492701
4002.000000	1.047192	1.092642	58.353891
4003.000000	1.064224	1.107082	106.581284
4004.000000	1.055841	1.122647	76.107793
4005.000000	0.962840	0.961130	62.370423
4006.000000	1.192164	1.201788	123.818205
4007.000000	1.170779	1.158784	46.897583
4008.000000	1.298487	1.338103	77.330123
4009.000000	1.140750	1.196339	85.316574
4010.000000	0.962233	0.971816	32.742427
4011.000000	1.042984	1.271358	45.245543
4012.000000	0.980812	1.047981	78.634717
4013.000000	1.218718	1.176486	31.539070
4014.000000	0.982388	0.990267	73.956478
4015.000000	1.241115	1.400797	64.260262
4016.000000	1.086281	1.054571	20.216562
4017.000000	1.450652	1.397674	75.797097
4018.000000	1.255219	1.433761	61.950132
4019.000000	1.183615	1.422044	35.248124
4020.000000	1.458595	1.394463	84.336967
4021.000000	1.328182	1.219021	41.068729
4022.000000	1.503331	1.471865	80.312303
4023.000000	1.628761	1.492485	108.084665
4024.000000	1.772578	1.878730	32.155090
4025.000000	1.633141	1.633264	89.198631
4026.000000	1.773637	1.740400	62.596062
4027.000000	1.681814	1.775463	28.971179
4028.000000	1.737705	1.795448	111.503370
4029.000000	1.788332	1.830999	92.921981
4030.000000	1.724018	1.448759	48.734932
4031.000000	1.544717	1.335458	60.661732
4032.000000	1.741750	1.624433	63.048867
4033.000000	1.943565	1.739056	50.412899
4034.000000	1.845900	1.774640	55.991386
4035.000000	1.370286	1.402574	35.959002
4036.000000	1.640987	1.778731	20.928439
4037.000000	1.510701	1.576887	35.649480
4038.000000	1.443686	1.540948	25.171803
4039.000000	2.165813	2.207837	19.433886
4040.000000	1.847166	1.738985	20.416596
4041.000000	1.705909	1.452168	10.412187
4042.000000	1.792280	1.787769	25.161497
4043.000000	1.658680	1.640015	8.265821
4044.000000	1.615470	1.757919	11.279603
4045.000000	1.990842	1.895981	8.396844
4046.000000	1.812578	1.720638	9.646209
4047.000000	1.829990	1.707919	13.988117
4048.000000	1.969044	1.876541	8.882054
4049.000000	1.875307	1.937682	9.701812
4050.000000	1.890472	1.896149	13.654193
4051.000000	2.497780	2.630533	10.194125
4052.000000	2.393425	2.297287	13.696561
4053.000000	2.303598	2.286206	31.391264
4054.000000	2.158218	2.292056	16.835752
4055.000000	2.473349	2.581772	28.808207
4056.000000	2.403272	2.294072	42.097075
4057.000000	2.601818	2.361991	38.950407
4058.000000	2.604479	2.599025	75.928750
4059.000000	2.836327	2.760827	95.007751
4060.000000	2.882354	2.750217	77.999854
4061.000000	3.191307	3.229125	150.486408
4062.000000	3.342990	2.933285	136.766339
4063.000000	3.385116	3.551621	87.129793
4064.000000	3.681143	3.973944	174.774835
4065.000000	4.431916	4.603275	189.464661
4066.000000	3.534791	3.296200	93.966854
4067.000000	3.919219	3.712025	186.420430
4068.000000	4.072266	4.012058	124.090050
4069.000000	3.990463	3.849444	178.108277
4070.000000	3.937601	3.465989	242.005892
4071.000000	4.242255	4.208261	105.719065
4072.000000	4.059241	3.680907	116.323770
4073.000000	4.535418	4.359877	137.341782
4074.000000	4.421630	4.272169	122.441839
4075.000000	5.137947	5.661489	167.363537
4076.000000	5.602507	4.690012	140.055125
4077.000000	4.510756	4.382559	167.553237
4078.000000	4.926481	4.703654	279.936795
4079.000000	5.626355	5.307435	125.136949
4080.000000	5.559969	5.629304	137.531632
4081.000000	4.989344	4.863970	215.847221
4082.000000	6.179502	6.600122	126.393827
4083.000000	5.876851	5.484357	137.317223
4084.000000	6.022416	5.759620	164.886773
4085.000000	6.866082	6.955675	112.746322
4086.000000	6.774762	6.770174	171.640721
4087.000000	6.055746	5.682301	138.536893
4088.000000	6.586111	6.770624	87.433060
4089.000000	7.762754	7.420143	104.311388
4090.000000	7.957670	7.835029	202.648716
4091.000000	8.332966	8.172959	138.016375
4092.000000	7.590667	8.148339	197.610535
