

# Pol in full trans
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3850.000000	6.713983	4.335810	1541.400111
3851.000000	1.076141	1.077920	1381.667160
3852.000000	1.242849	1.287772	888.134802
3853.000000	1.107025	1.152283	1849.544581
3854.000000	0.970848	0.912833	1480.736238
3855.000000	1.054558	0.974320	1287.149152
3856.000000	0.945652	0.816241	2142.807584
3857.000000	0.945371	0.855248	1483.983465
3858.000000	1.031451	1.032312	1938.197301
3859.000000	0.789725	0.705582	2519.317322
3860.000000	1.188617	1.209817	1456.030878
3861.000000	0.824136	0.806104	2457.087875
3862.000000	0.888311	0.849421	2733.747244
3863.000000	0.866922	0.894448	1378.398753
3864.000000	0.799387	0.699554	2953.152974
3865.000000	0.773631	0.767913	2748.515496
3866.000000	0.676281	0.731551	2055.146089
3867.000000	0.628870	0.579579	3593.656941
3868.000000	0.646312	0.586909	2417.614016
3869.000000	0.706643	0.809063	2385.760420
3870.000000	0.605192	0.618375	3384.055184
3871.000000	0.543674	0.543713	1781.717801
3872.000000	0.665964	0.724910	2388.997138
3873.000000	0.604795	0.527836	2891.640197
3874.000000	0.565586	0.548290	1177.102618
3875.000000	0.581604	0.559153	2421.169017
3876.000000	0.559910	0.540795	2394.184572
3877.000000	0.550504	0.639293	1368.455167
3878.000000	0.568039	0.537122	2665.364369
3879.000000	0.594781	0.656555	1989.306907
3880.000000	0.667401	0.685199	1769.588158
3881.000000	0.607857	0.608863	2553.195573
3882.000000	0.641929	0.584954	1563.187724
3883.000000	0.660598	0.610533	1880.720193
3884.000000	0.677873	0.636779	2201.257339
3885.000000	0.704365	0.740978	1183.436810
3886.000000	0.614694	0.594759	1933.780541
3887.000000	0.704515	0.693643	2033.213802
3888.000000	0.683573	0.656111	1004.469569
3889.000000	0.676988	0.667283	2142.559414
3890.000000	0.742684	0.863619	1834.890741
3891.000000	0.822154	0.808190	1158.868431
3892.000000	0.665600	0.647841	1857.032115
3893.000000	0.829443	0.948488	1155.997771
3894.000000	0.795531	0.786258	1077.157466
3895.000000	0.928605	0.969539	1437.875959
3896.000000	1.036004	0.936276	814.216802
3897.000000	1.091082	1.074575	1275.090000
3898.000000	1.229112	1.095933	1565.001037
3899.000000	1.350040	1.356837	675.656606
3900.000000	1.430534	1.349445	1718.349882
3901.000000	1.787844	1.858749	1680.303542
3902.000000	1.691768	1.761865	1027.473981
3903.000000	1.986632	2.027060	2337.739298
3904.000000	2.144977	1.917123	1952.625910
3905.000000	2.679632	2.701950	1759.439656
3906.000000	2.378479	2.256184	2882.687665
3907.000000	3.245261	3.222802	1968.082402
3908.000000	2.996563	2.980646	2401.279449
3909.000000	3.137174	3.093431	2844.480251
3910.000000	3.544754	3.488905	1424.129599
3911.000000	3.583163	3.373543	2314.734516
3912.000000	3.410108	3.372224	2287.033693
3913.000000	3.582229	4.051858	1151.112513
3914.000000	3.263995	3.249807	2069.189155
3915.000000	3.515206	3.453091	1660.756499
3916.000000	3.234562	3.581890	1153.298310
3917.000000	3.126197	3.317035	1870.241747
3918.000000	3.060143	2.901318	1356.885755
3919.000000	3.014286	2.881561	1373.963430
3920.000000	2.913857	2.975642	2061.813721
3921.000000	3.084196	3.229671	1067.161953
3922.000000	3.121880	2.722376	1756.064010
3923.000000	3.274778	3.010079	2084.419409
3924.000000	2.975056	3.150041	1069.402155
3925.000000	3.493140	3.008611	2139.160257
3926.000000	3.273264	3.421512	2146.383550
3927.000000	3.598104	3.885890	1304.414016
3928.000000	4.197215	4.634690	2445.471425
3929.000000	3.965144	4.013441	2293.631343
3930.000000	4.697582	4.896092	2049.089293
3931.000000	5.010420	5.231405	3298.622263
3932.000000	5.415610	6.336074	2489.212473
3933.000000	5.155578	5.101926	2774.099550
3934.000000	4.734504	4.671471	4304.862174
3935.000000	5.032893	4.824419	2075.043201
3936.000000	4.604799	4.626327	3998.476088
3937.000000	5.128441	5.006098	4621.271277
3938.000000	5.376819	5.332589	2127.201880
3939.000000	5.355754	5.098675	4817.868226
3940.000000	4.714639	4.829272	4394.034558
3941.000000	5.771678	6.028289	2921.691996
3942.000000	5.422942	5.331749	5020.752786
3943.000000	5.017044	4.918549	2702.447957
3944.000000	5.390164	5.458915	3299.911370
3945.000000	5.219855	4.938601	4148.107780
3946.000000	4.859256	4.623177	2228.359594
3947.000000	4.731712	5.276116	3034.294469
3948.000000	4.883363	4.905177	3117.623416
3949.000000	5.045545	5.193182	1448.982357
3950.000000	4.892823	4.469762	3055.485033
3951.000000	4.937056	4.846062	2909.261989
3952.000000	4.661214	4.546818	1375.701979
3953.000000	4.761766	4.993065	3213.223222
3954.000000	4.671592	4.843553	2433.466849
3955.000000	5.175924	5.051813	2121.245312
3956.000000	5.642865	5.009507	3049.562026
3957.000000	5.664260	5.989701	1965.283221
3958.000000	4.477959	4.478001	2310.971257
3959.000000	4.073431	4.040452	3091.806272
3960.000000	5.290940	4.967154	1862.640991
3961.000000	4.518878	4.539762	2582.856630
3962.000000	5.131314	4.795485	2475.474999
3963.000000	4.675513	4.903353	1383.024746
3964.000000	4.661691	4.849289	3280.084828
3965.000000	3.997137	4.073826	2967.557387
3966.000000	4.228909	4.259232	2071.102670
3967.000000	4.155419	4.235105	3769.773789
3968.000000	4.233721	4.104658	2587.397432
3969.000000	4.058633	4.098980	2580.278837
3970.000000	3.504506	3.478337	3697.265121
3971.000000	4.042848	3.820138	2058.075513
3972.000000	4.014116	4.117615	3173.426844
3973.000000	3.240348	3.297852	3371.819506
3974.000000	2.864667	3.068138	1410.756112
3975.000000	2.974972	3.127716	2832.991001
3976.000000	3.216285	2.845665	2652.588098
3977.000000	2.912494	2.807257	1482.922337
3978.000000	2.620467	2.415128	2692.012978
3979.000000	2.697482	2.454131	2147.762312
