

# default power level
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3850.000000	1.450578	1.676843	1166.935126
3851.000000	1.232362	1.303063	1275.599125
3852.000000	1.183014	1.170759	813.834113
3853.000000	1.108079	1.178479	1672.251842
3854.000000	0.945140	0.890200	1353.519609
3855.000000	1.132385	1.175688	1293.391103
3856.000000	0.993213	1.112246	2040.571685
3857.000000	1.047299	0.911805	1475.643776
3858.000000	0.868041	0.860404	1872.107947
3859.000000	0.941711	0.887371	2317.731453
3860.000000	0.699767	0.710506	1377.554330
3861.000000	0.850573	0.855935	2309.883756
3862.000000	0.817419	0.875934	2483.170098
3863.000000	0.739497	0.775937	1326.390605
3864.000000	0.705590	0.742780	2864.482983
3865.000000	0.757478	0.819228	2637.609328
3866.000000	0.713252	0.782683	1830.123089
3867.000000	0.671749	0.661295	3378.487591
3868.000000	0.642457	0.631951	2313.225361
3869.000000	0.745168	0.718947	2267.836977
3870.000000	0.580800	0.495524	3173.917881
3871.000000	0.604441	0.612727	1625.457704
3872.000000	0.575411	0.640311	2409.894947
3873.000000	0.612671	0.654603	2707.474048
3874.000000	0.558482	0.541523	1107.428095
3875.000000	0.540243	0.554123	2398.309499
3876.000000	0.657745	0.639847	2274.905927
3877.000000	0.759587	0.776404	1316.479240
3878.000000	0.559138	0.570488	2535.587147
3879.000000	0.603806	0.668390	1939.022963
3880.000000	0.671113	0.694000	1664.176969
3881.000000	0.769023	0.805525	2477.393907
3882.000000	0.667622	0.622167	1471.888256
3883.000000	0.680797	0.662642	1810.472729
3884.000000	0.654186	0.578420	2220.121830
3885.000000	0.801819	0.776783	1138.494664
3886.000000	0.612890	0.664763	1838.633389
3887.000000	0.709024	0.686761	2083.735221
3888.000000	0.683056	0.711452	951.903516
3889.000000	0.660968	0.628252	1956.267995
3890.000000	0.681255	0.678471	1752.625406
3891.000000	0.752036	0.719489	1073.560971
3892.000000	0.801872	0.826317	1859.207894
3893.000000	0.691792	0.670288	1090.412887
3894.000000	0.789364	0.834915	1053.489845
3895.000000	0.821794	0.777645	1424.555892
3896.000000	0.827528	0.952045	841.044922
3897.000000	1.049497	0.957264	1231.779475
