

# Not probing the sample, pol full open
# Scan parameters: power 19.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3850.000000	26.434521	24.609774	2335.056446
3851.000000	24.431123	23.744779	1482.748212
3852.000000	24.482368	22.585503	1136.912103
3853.000000	22.191929	21.101720	2463.196514
3854.000000	24.446523	25.395625	2117.599120
3855.000000	22.691675	22.088699	2095.420481
3856.000000	23.428041	22.613350	2445.719012
3857.000000	23.690972	22.354783	1861.220330
3858.000000	22.780898	26.490929	1960.992717
3859.000000	24.215653	24.233439	3129.209292
3860.000000	21.952036	20.422455	1433.171349
3861.000000	22.471455	20.326059	3011.860163
3862.000000	23.738623	21.346532	2946.889844
3863.000000	19.267398	19.333970	1701.628746
3864.000000	23.983730	25.778096	3128.133017
3865.000000	24.101890	24.535911	3128.976403
3866.000000	23.396858	22.903838	2295.589190
3867.000000	25.230264	25.864006	4268.311661
3868.000000	27.279668	23.552975	3312.724858
3869.000000	24.882651	25.731294	2725.833499
3870.000000	26.135518	25.195927	4191.293122
3871.000000	25.173010	26.313179	2057.199554
3872.000000	28.486138	28.306175	3131.307451
3873.000000	23.974670	24.026125	3344.574820
3874.000000	26.015279	25.511716	1616.238562
3875.000000	24.447810	24.816659	2938.643147
3876.000000	27.511242	27.924948	2900.367516
3877.000000	26.750154	24.708707	1535.290993
3878.000000	26.629644	24.498599	2810.686359
3879.000000	26.314769	25.001227	2881.162669
3880.000000	27.653782	26.479066	2290.715774
3881.000000	29.531068	27.876072	2361.723398
3882.000000	29.129218	29.496641	1476.798797
3883.000000	29.402313	27.791964	2211.519633
3884.000000	25.573722	24.837781	2757.160739
3885.000000	25.117919	25.648789	748.634818
3886.000000	26.478933	24.945161	2162.215206
3887.000000	29.288668	32.516138	1944.949626
3888.000000	24.704125	25.725350	982.904165
3889.000000	24.441238	24.170032	1997.077538
3890.000000	25.399482	24.871746	1826.138547
3891.000000	25.694106	24.168884	730.867527
3892.000000	26.579560	24.298188	1651.226974
3893.000000	26.719263	25.702325	948.595882
3894.000000	24.113364	22.480783	1086.329623
