

# Weak magnets in place
# Scan parameters: power 19.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3850.000000	0.090683	0.098231	491.245602
3851.000000	1.224295	0.454769	436.270118
3852.000000	0.088703	0.100311	293.960278
3853.000000	0.094558	0.099392	637.063658
3854.000000	1.099068	0.417872	510.413320
3855.000000	0.096431	0.106051	523.089543
3856.000000	0.082895	0.084585	845.122390
3857.000000	0.096299	0.111941	604.396971
3858.000000	1.114771	0.450633	644.951447
3859.000000	0.350183	0.218084	874.424342
3860.000000	0.096330	0.096932	495.132682
3861.000000	0.508772	0.289891	775.840683
3862.000000	0.091891	0.103935	912.342196
3863.000000	0.089155	0.107839	400.145252
3864.000000	0.084760	0.082426	850.535836
3865.000000	0.088724	0.094061	768.305598
3866.000000	0.096000	0.130102	515.267967
3867.000000	0.085107	0.073899	914.752737
3868.000000	0.090927	0.090543	684.899700
3869.000000	0.096418	0.082391	607.443010
3870.000000	0.092192	0.092589	866.057965
3871.000000	0.082445	0.083110	495.902666
3872.000000	0.088869	0.090349	732.869201
3873.000000	0.088199	0.086788	862.184810
3874.000000	0.090333	0.095904	398.976846
3875.000000	0.094503	0.106799	844.128070
3876.000000	0.083481	0.083432	849.696169
3877.000000	0.102940	0.097521	468.269849
3878.000000	0.100082	0.110700	934.604567
3879.000000	1.035047	0.457517	790.674927
3880.000000	0.095630	0.089510	690.129477
3881.000000	0.102064	0.102608	1055.872553
3882.000000	0.094293	0.093055	700.535465
3883.000000	0.088523	0.086547	896.145646
3884.000000	0.090473	0.091920	1104.686586
3885.000000	0.090439	0.088107	610.127320
3886.000000	0.088705	0.097293	993.661102
3887.000000	0.096026	0.100578	1181.667800
3888.000000	0.092307	0.085332	562.316144
3889.000000	0.091660	0.096674	1225.324121
3890.000000	0.099221	0.102693	1096.190588
3891.000000	0.097416	0.100747	739.100282
3892.000000	0.087021	0.090730	1369.313065
3893.000000	0.108535	0.130303	941.169262
3894.000000	0.106900	0.109081	987.104189
3895.000000	0.099325	0.105013	1368.077125
3896.000000	0.107465	0.110390	787.026884
3897.000000	0.092940	0.098044	1250.841822
3898.000000	0.104249	0.115389	1457.944913
3899.000000	0.578010	0.320876	690.860800
3900.000000	0.106609	0.129466	1361.533315
3901.000000	0.124752	0.114824	1326.250802
3902.000000	0.110264	0.117176	767.280906
3903.000000	0.101190	0.131860	1291.044069
3904.000000	0.104242	0.096310	1042.168046
3905.000000	0.350272	0.242101	789.071460
3906.000000	0.108441	0.108904	1198.663462
3907.000000	0.107625	0.106388	842.497120
3908.000000	0.102675	0.123953	906.006926
3909.000000	0.102327	0.099191	1186.104994
3910.000000	0.107672	0.121164	608.729592
3911.000000	0.112337	0.102381	1031.763962
3912.000000	0.103409	0.115236	1092.650363
3913.000000	0.103394	0.109230	533.095747
3914.000000	0.106105	0.109817	1114.137344
3915.000000	0.668720	0.389692	923.815580
3916.000000	0.118698	0.116042	660.204530
3917.000000	0.103621	0.112154	1170.170155
3918.000000	0.106964	0.117508	851.681278
3919.000000	0.113948	0.115011	849.421750
3920.000000	0.095420	0.117715	1208.405890
3921.000000	0.109709	0.114249	642.323260
3922.000000	0.097752	0.120143	925.703514
3923.000000	0.776327	0.369468	1019.887890
3924.000000	0.105942	0.093246	449.447905
3925.000000	0.111230	0.124398	995.843598
3926.000000	0.099937	0.105063	966.022914
3927.000000	0.929846	0.491880	570.976768
3928.000000	0.117439	0.130102	1063.594535
3929.000000	0.121588	0.131832	843.968078
3930.000000	1.525834	0.556332	637.877731
3931.000000	0.145125	0.167528	969.458321
3932.000000	0.162203	0.157140	555.418092
3933.000000	0.139686	0.153081	595.247420
3934.000000	0.125932	0.120560	646.686826
3935.000000	0.105721	0.106066	276.266098
3936.000000	0.100856	0.105838	430.852737
3937.000000	0.101070	0.092875	392.095957
3938.000000	0.098790	0.097287	148.550093
3939.000000	0.097240	0.088408	324.111066
3940.000000	0.098449	0.113258	258.966434
