

# Lights out
# Scan parameters: power 19.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3850.000000	3.609368	1.542815	9.179479
3851.000000	0.053484	0.052127	0.343725
3852.000000	0.066229	0.070513	0.290995
3853.000000	0.065195	0.069692	0.283042
3854.000000	0.062480	0.061897	0.222493
3855.000000	0.062373	0.066394	0.300505
3856.000000	0.061698	0.054765	0.289110
3857.000000	0.061170	0.054990	0.300359
3858.000000	0.062320	0.067478	0.240468
3859.000000	0.060193	0.060768	0.296403
3860.000000	0.056905	0.053672	0.295221
3861.000000	0.059528	0.056676	0.161864
3862.000000	0.056522	0.057041	0.480773
3863.000000	0.047292	0.042593	0.233018
3864.000000	0.064462	0.057965	0.258675
3865.000000	0.056539	0.051752	0.171284
3866.000000	0.065971	0.065784	0.243776
3867.000000	0.061901	0.067437	0.243978
3868.000000	0.050927	0.050649	0.254062
3869.000000	0.064912	0.074609	0.266249
3870.000000	0.063082	0.058733	0.353539
3871.000000	0.062532	0.056036	0.332325
3872.000000	0.061130	0.058060	0.233752
3873.000000	0.065554	0.068111	0.220540
3874.000000	0.063717	0.060284	0.323146
3875.000000	0.062113	0.063676	0.250058
3876.000000	0.065730	0.062681	0.354509
3877.000000	0.065432	0.067826	0.237910
