

# Beam not on sample
# Scan parameters: power 19.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3850.000000	35.463116	31.680178	2793.768928
3851.000000	33.565034	33.970160	2271.021663
3852.000000	34.107786	33.351259	2484.365203
3853.000000	38.330182	36.683059	3365.940992
3854.000000	33.651020	31.192245	3819.780920
3855.000000	41.694104	40.637579	2448.349482
3856.000000	35.965349	37.094287	4963.909013
3857.000000	38.146224	31.503091	2773.346785
3858.000000	31.792019	29.077259	5073.554786
3859.000000	35.798984	39.453883	5478.362302
3860.000000	37.083136	36.335813	2459.375548
3861.000000	44.912075	39.344746	3941.826092
3862.000000	35.461763	34.127265	5627.653208
3863.000000	40.070067	39.328791	2466.227656
3864.000000	37.723834	33.170094	5648.107787
3865.000000	36.872752	41.946537	5829.442709
3866.000000	47.886384	49.362546	2954.512745
3867.000000	37.524121	35.461080	6418.939806
3868.000000	36.585764	34.097551	3331.432655
3869.000000	35.208372	33.247392	4855.649203
3870.000000	35.783816	38.729370	6196.650306
3871.000000	41.071773	41.538633	3166.207831
3872.000000	38.484745	38.914244	5158.314114
3873.000000	39.449300	40.898227	5685.204396
3874.000000	36.190686	36.989302	2587.368040
3875.000000	43.112023	44.199484	6444.057192
3876.000000	39.769126	40.662684	6606.946759
3877.000000	37.404366	38.746802	2671.604836
3878.000000	38.212893	42.181949	6113.079746
3879.000000	38.111805	39.393243	6000.214536
3880.000000	42.427194	42.491710	4261.639574
3881.000000	43.425437	48.727179	8009.129974
3882.000000	40.257224	40.426611	5188.444550
3883.000000	34.415250	35.223169	5340.766724
3884.000000	39.484212	33.557223	8865.544105
3885.000000	43.821151	43.933457	5015.316006
3886.000000	45.154904	41.026083	8332.463132
3887.000000	44.749242	42.383683	7606.536272
3888.000000	40.941160	40.307793	4668.971683
3889.000000	39.291864	39.153947	9110.725976
3890.000000	47.400993	41.044719	9734.514861
3891.000000	40.284686	39.757449	4631.996904
3892.000000	41.860350	47.783698	10888.620486
3893.000000	44.481550	43.228933	5294.837115
3894.000000	42.060082	42.417917	6645.056855
3895.000000	40.563725	40.123766	9894.429060
3896.000000	44.213587	43.563366	5857.121972
3897.000000	42.555208	36.877902	7127.806281
3898.000000	46.881698	48.682549	8785.672343
3899.000000	45.124954	42.657203	3742.483751
3900.000000	44.731416	47.632745	9734.985043
3901.000000	42.944289	40.298036	7469.980716
3902.000000	40.762161	38.644323	5397.450090
3903.000000	43.531708	43.063800	7145.398652
3904.000000	41.518307	48.649752	7521.558768
3905.000000	42.654696	42.466409	7108.732028
3906.000000	42.287435	41.025287	9258.063066
3907.000000	50.444047	48.075908	4775.537475
3908.000000	49.370774	45.978923	7171.829104
3909.000000	47.889170	42.872890	6994.023360
3910.000000	43.164274	40.176786	3142.638635
3911.000000	49.184222	45.600332	5596.428867
3912.000000	41.932420	40.506794	6865.070510
3913.000000	43.992506	45.420516	2805.679312
3914.000000	43.700628	45.580525	6355.040780
3915.000000	48.190855	40.621259	5615.388179
3916.000000	48.400228	47.044995	3954.039135
3917.000000	41.311012	41.491751	7084.620081
3918.000000	43.235707	41.819126	5119.706045
3919.000000	46.893490	49.168438	5830.450697
3920.000000	54.285319	50.378509	6742.921652
3921.000000	43.356854	41.993287	4011.160134
3922.000000	43.864266	41.823936	5132.134140
3923.000000	48.843391	53.222295	6656.055773
3924.000000	44.648381	42.992485	2654.249699
3925.000000	44.533289	46.804995	5462.781539
3926.000000	44.883576	57.739235	4428.800610
3927.000000	51.959995	54.008030	2893.390870
3928.000000	40.884531	42.843610	5623.111113
3929.000000	39.027757	40.626898	5244.863533
3930.000000	47.552046	50.616660	3451.531153
3931.000000	52.450634	56.243876	5256.937800
3932.000000	44.063784	45.221115	2369.463155
3933.000000	46.491332	44.901431	2161.925353
3934.000000	41.391268	36.789709	3663.900096
3935.000000	46.244351	47.736011	1825.055589
3936.000000	52.204948	51.124162	2241.573645
3937.000000	41.521984	41.255936	1899.316114
3938.000000	56.632585	60.472887	985.820545
3939.000000	52.765009	60.732918	1625.159665
3940.000000	46.285782	39.884557	1492.366518
3941.000000	41.671507	38.464913	1676.705871
3942.000000	46.262830	46.595595	1958.250157
3943.000000	47.655035	47.388540	1963.997522
3944.000000	47.961892	44.497066	3260.939014
3945.000000	41.083604	38.048711	3029.620583
