

# Beam is placed between 75um and 20um sample, pol full open
# Scan parameters: power 19.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3850.000000	13.950817	11.378166	680.765044
3851.000000	6.543767	6.323433	717.410683
3852.000000	6.807590	7.279538	298.848127
3853.000000	6.349784	7.055562	884.528161
3854.000000	6.263527	6.944076	883.008425
3855.000000	5.970574	6.270931	634.583378
3856.000000	6.838890	6.756772	884.901436
3857.000000	5.968715	5.917020	774.406282
3858.000000	6.984799	6.359802	942.789338
3859.000000	7.024456	5.770155	1245.940763
3860.000000	6.372576	5.649205	923.980305
3861.000000	6.316802	6.440675	1238.119354
3862.000000	7.228045	6.718289	1653.483551
3863.000000	6.676624	7.612803	596.205931
3864.000000	6.391549	5.997625	1299.916074
3865.000000	6.485329	6.053213	979.526056
3866.000000	5.869812	5.895107	695.865282
3867.000000	5.677812	5.036064	1142.807898
3868.000000	5.560375	5.280509	1096.149388
3869.000000	6.580905	7.185996	939.234340
3870.000000	6.757607	7.873936	1295.940308
3871.000000	6.441814	6.423643	781.036722
3872.000000	6.777839	6.258174	1315.238851
3873.000000	6.301695	5.983327	1145.513771
3874.000000	6.678413	6.737400	485.764601
3875.000000	7.265005	6.926882	1324.783329
3876.000000	6.964741	6.543411	1475.923089
3877.000000	5.864604	5.852023	697.984479
3878.000000	7.859954	8.403048	1726.069170
3879.000000	7.031727	6.957312	1352.517885
3880.000000	6.986039	6.780204	1090.079897
3881.000000	7.859903	7.463883	1747.511361
3882.000000	8.499145	7.715847	1275.877513
3883.000000	7.248383	7.666170	1625.927184
3884.000000	7.201194	7.283915	1680.780491
3885.000000	6.902331	6.399940	1240.506330
3886.000000	6.967620	6.774454	1623.618539
3887.000000	7.085834	6.050796	1746.179814
3888.000000	6.796854	6.396163	962.027742
3889.000000	8.111375	8.066524	2146.254351
3890.000000	8.063228	8.602263	1993.189521
3891.000000	7.979146	8.312204	1175.128192
3892.000000	6.885734	7.202722	2235.934990
3893.000000	7.370291	7.423770	2079.800102
3894.000000	7.561808	7.641718	1504.377194
3895.000000	6.768760	7.256992	1965.838865
3896.000000	7.382100	7.910336	1552.058861
3897.000000	8.250808	8.365120	1936.010870
3898.000000	6.716678	6.461605	2802.696912
3899.000000	8.454409	7.251134	1248.902513
3900.000000	7.934615	7.371427	2342.440929
3901.000000	8.194242	7.506352	2212.010979
3902.000000	7.616147	7.559505	1224.869723
3903.000000	7.667510	8.166736	2408.849957
3904.000000	7.459916	8.394186	1967.129331
3905.000000	7.514024	7.911214	1531.125789
3906.000000	7.596809	6.892522	2366.840623
3907.000000	7.524335	7.399794	1434.979268
3908.000000	8.879609	9.851375	1580.616114
3909.000000	7.568215	7.123779	2372.096958
3910.000000	8.654463	8.122344	1546.986313
3911.000000	7.292374	7.357366	1947.692723
3912.000000	6.895376	6.158656	2094.481525
3913.000000	8.595635	8.601763	1043.599531
3914.000000	7.734731	7.809661	1969.717575
3915.000000	7.914491	8.851291	2014.334409
3916.000000	8.040911	7.813327	1211.656025
3917.000000	7.980272	8.489258	2336.498205
3918.000000	7.225227	8.036408	1203.560830
3919.000000	7.610315	8.344832	1375.798538
3920.000000	9.028114	8.973061	2072.958343
3921.000000	7.312736	7.768159	1282.254535
3922.000000	8.454754	8.803476	1803.515153
3923.000000	8.108720	8.191949	2070.317582
3924.000000	8.404903	8.248557	1018.381150
3925.000000	7.499614	8.173849	1610.028640
3926.000000	7.272902	7.297911	1702.705931
3927.000000	7.494973	8.470761	984.729326
3928.000000	8.238777	8.625082	1481.705064
3929.000000	8.117079	8.068438	1504.173995
3930.000000	8.715185	8.565486	1009.958045
3931.000000	8.051489	8.314458	1401.150326
3932.000000	8.792119	8.256764	864.494025
3933.000000	8.772896	8.046088	1091.463134
3934.000000	8.807906	7.993819	1066.156275
3935.000000	8.722536	8.120853	698.822794
3936.000000	8.289718	8.542792	722.065776
3937.000000	8.734371	8.321219	554.358007
3938.000000	7.112628	7.492868	275.490939
3939.000000	7.328240	7.092774	457.680586
3940.000000	8.080425	8.642452	433.061425
3941.000000	8.090321	8.281223	287.582842
3942.000000	7.777616	8.702967	392.052596
3943.000000	8.196712	8.495534	317.652551
3944.000000	8.324266	7.836727	329.956630
3945.000000	7.566903	6.967021	650.544821
3946.000000	8.523511	8.118715	385.266889
3947.000000	8.227290	8.436611	400.101651
3948.000000	7.741984	7.875910	735.847046
3949.000000	6.351603	5.863276	298.216091
3950.000000	7.904815	7.568145	819.754603
3951.000000	8.498798	8.490850	1198.138873
3952.000000	8.156336	7.928913	702.055449
3953.000000	9.083653	8.421807	1244.767036
3954.000000	6.853448	7.319542	1110.376245
3955.000000	7.948699	7.257930	775.487344
3956.000000	7.635116	7.855244	1045.725049
3957.000000	7.658397	7.550823	800.295568
3958.000000	8.130443	8.798710	758.454954
3959.000000	6.851223	7.767207	1086.594462
3960.000000	6.466772	6.937102	667.022540
3961.000000	8.325322	8.075850	943.825529
3962.000000	9.402207	9.134462	895.043269
3963.000000	7.472944	7.647423	471.002796
3964.000000	8.437598	8.419066	1081.528443
3965.000000	7.115775	7.085639	1006.223153
3966.000000	7.933633	8.208675	600.805339
3967.000000	6.679650	6.700958	1367.696336
3968.000000	7.932037	7.368438	764.521707
3969.000000	8.243354	8.248045	1026.935839
3970.000000	8.038787	8.120990	1393.005718
3971.000000	7.190461	6.841176	889.039115
3972.000000	7.661213	8.446708	1103.553744
3973.000000	8.450437	7.144404	1581.562689
3974.000000	7.357319	7.061548	468.432397
3975.000000	8.076459	8.301637	925.129535
3976.000000	8.075105	8.601101	880.984679
3977.000000	7.851589	8.841040	390.943070
3978.000000	7.033612	6.708642	766.539349
3979.000000	8.319638	7.608769	584.072738
3980.000000	7.653225	6.958112	694.110919
3981.000000	8.359805	7.971783	914.809702
3982.000000	8.172758	7.953915	500.838588
3983.000000	7.511830	7.211964	637.117285
3984.000000	7.306065	7.547425	1020.016049
3985.000000	8.688299	8.927661	592.521112
3986.000000	7.165014	7.458257	1414.999061
3987.000000	8.035408	8.755653	1431.006674
3988.000000	6.876129	6.335426	786.095713
3989.000000	7.853337	8.284042	1901.429872
3990.000000	7.635841	7.960219	2183.913453
3991.000000	8.653441	8.755334	1388.805731
3992.000000	7.284138	6.384498	2626.828278
3993.000000	7.864140	9.208338	2420.845234
3994.000000	7.542197	6.990644	2150.087212
3995.000000	6.916609	8.433850	3607.294776
3996.000000	7.971722	8.180500	2299.972553
3997.000000	7.157593	7.501312	3330.056455
3998.000000	7.461814	6.631916	4311.924958
3999.000000	7.776418	7.255596	1924.934063
4000.000000	8.486776	8.423308	4049.590396
4001.000000	8.878170	7.961618	4454.777131
4002.000000	7.572258	7.416805	2092.436408
4003.000000	7.468289	7.493696	4747.313866
4004.000000	7.192914	7.289757	3863.490606
4005.000000	7.893426	8.684322	3070.104700
4006.000000	7.166665	6.603169	4874.670103
4007.000000	8.134668	8.650350	3246.674566
4008.000000	7.253376	6.939043	3146.722273
4009.000000	8.173318	8.919251	3848.650863
4010.000000	8.269127	8.437254	2104.993812
