

# Same as 52, but shifted 1MHz up
# Scan parameters: power 19.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	4.763364	3.928724	533.417347
3852.000000	1.948062	1.944075	278.734119
3853.000000	2.158702	2.122506	574.084929
3854.000000	2.709431	2.550850	470.705879
3855.000000	2.314478	2.459667	511.107646
3856.000000	1.864787	1.645750	809.244543
3857.000000	2.259018	2.353472	609.286556
3858.000000	4.298797	3.631779	705.301262
3859.000000	7.569828	7.810739	1120.257822
3860.000000	2.409891	2.224209	418.624259
3861.000000	2.570772	2.465554	850.649965
3862.000000	2.205122	2.154762	878.788173
3863.000000	2.061991	1.922786	378.271035
3864.000000	3.490440	3.005854	944.326689
3865.000000	2.275514	2.158903	756.005698
3866.000000	2.818217	2.579371	519.602907
3867.000000	2.824574	2.612393	951.729786
3868.000000	1.849514	1.804205	516.491706
3869.000000	2.716554	2.936691	593.729628
3870.000000	2.041989	1.913869	738.001258
3871.000000	2.367018	2.005998	496.399724
3872.000000	2.744225	2.788536	574.790888
3873.000000	2.285002	2.369283	640.982069
3874.000000	2.322380	2.229140	328.701144
3875.000000	2.563198	2.463591	663.783829
3876.000000	2.439219	2.089121	631.329393
3877.000000	2.260556	2.187008	368.924735
3878.000000	3.079034	3.163153	982.905261
3879.000000	2.628345	2.829529	900.629518
3880.000000	2.163603	1.917615	643.598231
3881.000000	2.547000	2.704831	983.551556
3882.000000	2.257759	2.209299	667.472906
3883.000000	2.302107	1.968679	857.597146
3884.000000	2.097698	2.166430	1215.970553
3885.000000	2.658790	2.352728	599.959800
3886.000000	2.188734	2.118028	1021.571501
3887.000000	1.878308	1.855050	1320.128034
3888.000000	2.517719	2.527674	616.815238
3889.000000	1.895330	1.944186	1355.469086
3890.000000	1.920896	1.898966	1269.940972
3891.000000	2.936624	2.623186	845.642599
3892.000000	2.036099	1.902495	1571.918240
3893.000000	1.989239	1.846890	1252.246124
3894.000000	1.986368	1.696547	1086.501200
3895.000000	1.748541	1.816468	1485.065700
3896.000000	2.277712	1.936609	1098.843753
3897.000000	1.821046	1.769132	1428.705444
3898.000000	2.146516	1.953807	1733.812843
3899.000000	1.765695	1.547947	792.054440
3900.000000	1.626861	1.609887	1417.943774
3901.000000	1.808727	1.900259	1417.583746
3902.000000	1.896789	1.842490	747.343889
3903.000000	2.132298	2.439609	1256.551742
3904.000000	2.112159	2.008628	1288.580911
3905.000000	1.677478	1.661743	963.827472
3906.000000	2.551226	2.348130	1560.371906
3907.000000	1.741404	1.797730	990.857607
3908.000000	1.646524	1.588971	1193.026262
3909.000000	1.756216	1.596440	1366.017916
3910.000000	1.948000	1.922125	724.531149
3911.000000	1.904012	1.780047	1226.381748
3912.000000	2.166744	2.116570	1171.522748
3913.000000	1.810783	1.761628	605.360315
3914.000000	3.016346	2.780648	1160.461514
3915.000000	2.396258	2.268073	1085.443938
3916.000000	2.523785	2.489514	747.696736
3917.000000	2.709545	2.577858	1218.132247
3918.000000	1.824912	1.482938	1074.552456
3919.000000	1.976873	2.088509	1079.507668
3920.000000	2.740345	2.525057	1361.539539
3921.000000	2.632691	2.333877	834.874503
3922.000000	2.272711	2.313023	1111.692282
3923.000000	2.397228	2.286142	1106.165551
3924.000000	2.970298	2.561651	498.238648
3925.000000	1.824181	1.728720	1079.140239
3926.000000	1.759317	1.597916	977.887073
3927.000000	1.839165	2.033859	610.374118
3928.000000	1.807355	1.806873	1144.486132
3929.000000	2.427450	2.471359	909.103176
3930.000000	1.968453	1.927590	719.720232
3931.000000	2.160814	2.504690	954.314532
3932.000000	1.703221	1.771201	573.261885
3933.000000	2.346895	1.991579	696.125684
3934.000000	1.739436	1.697815	720.188257
3935.000000	2.687898	2.528945	308.973572
3936.000000	1.683030	1.616997	468.483923
3937.000000	1.895948	1.927137	414.461307
3938.000000	2.511252	2.388823	169.310433
3939.000000	1.720130	1.724027	281.622177
3940.000000	2.151827	2.059595	253.168019
3941.000000	2.647223	2.537250	113.176495
3942.000000	2.681307	2.439337	214.391610
3943.000000	1.717723	1.657973	210.391343
3944.000000	1.828006	1.783346	204.213554
3945.000000	1.726898	1.835830	312.788101
3946.000000	1.985269	2.095802	207.240917
3947.000000	1.802207	1.755067	393.794625
3948.000000	1.798951	1.606447	475.897008
3949.000000	2.361926	2.380892	237.350301
3950.000000	2.148923	2.051434	470.846769
3951.000000	2.280920	2.441142	499.941767
3952.000000	1.720650	1.737999	346.240441
3953.000000	2.330058	2.213697	668.654803
3954.000000	1.663951	1.461650	680.939903
3955.000000	2.454600	2.300939	458.136468
3956.000000	1.794619	1.945230	817.070604
3957.000000	2.111144	1.869779	522.409835
3958.000000	2.223022	1.977427	538.193307
3959.000000	1.739785	1.662259	778.045082
3960.000000	1.553931	1.494456	340.915192
3961.000000	1.510071	1.479399	557.421513
3962.000000	1.843951	1.672896	658.340190
3963.000000	2.369403	2.321386	265.161287
3964.000000	2.081843	1.961205	623.123566
3965.000000	1.524839	1.549021	638.557617
3966.000000	2.267168	2.110179	425.436121
3967.000000	2.350103	2.295715	784.009887
3968.000000	2.071054	2.184310	619.068992
3969.000000	1.405382	1.438585	585.883065
3970.000000	1.799472	1.623882	877.980012
3971.000000	2.271711	2.263211	458.653722
3972.000000	2.268706	2.372968	800.840800
3973.000000	1.459598	1.629863	792.009557
3974.000000	1.994639	1.909183	321.021430
3975.000000	2.454357	2.543614	716.344449
3976.000000	2.025458	1.769171	535.260912
3977.000000	2.030806	1.951381	283.900733
3978.000000	1.260781	1.332695	460.665911
3979.000000	1.674361	1.625844	437.829946
3980.000000	1.463238	1.446489	287.889910
3981.000000	1.888112	1.600912	410.915553
3982.000000	1.786843	1.903579	332.925248
3983.000000	1.288915	1.291104	357.475298
3984.000000	1.255841	1.167311	556.123051
3985.000000	1.960948	2.281361	399.817666
3986.000000	1.466905	1.458522	668.105251
3987.000000	1.108419	1.055798	876.908511
3988.000000	1.719239	1.674825	563.529590
3989.000000	1.634095	1.358831	1172.646517
3990.000000	1.756358	1.585147	1269.780458
3991.000000	2.007020	1.800985	745.892780
3992.000000	1.656428	1.630487	1517.911313
3993.000000	1.178396	1.206161	1245.153481
3994.000000	1.664798	1.749189	1429.997179
3995.000000	2.014658	1.810607	2134.277737
3996.000000	1.148555	1.234077	1398.283319
3997.000000	1.099747	1.111685	2015.933213
3998.000000	1.125350	1.133745	2435.812280
3999.000000	1.266042	1.181216	1217.548860
4000.000000	1.167027	1.126587	2336.572008
4001.000000	1.109419	1.089514	2432.763800
4002.000000	1.893009	1.714738	1406.855346
4003.000000	1.195214	1.034510	2785.902123
4004.000000	1.013683	0.937415	2265.866479
4005.000000	1.047010	1.064354	1737.755138
4006.000000	0.900955	0.828167	2915.041742
4007.000000	1.037723	1.214092	1844.294759
4008.000000	0.968973	1.013197	1969.081123
4009.000000	0.941808	0.904385	2337.372578
4010.000000	0.970278	0.898766	1225.859513
4011.000000	0.942519	1.062336	1850.338371
4012.000000	1.005997	0.995298	1768.476757
4013.000000	1.081948	1.104218	764.366467
4014.000000	1.084278	1.034728	1621.986623
4015.000000	1.003885	1.059438	1415.116015
4016.000000	1.007445	0.998915	903.291214
