

# Sleep function is implemented
# Scan parameters: power 19.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	0.100033	0.101775	209.770701
3852.000000	0.099522	0.098821	125.624109
3853.000000	0.109633	0.112012	257.994386
3854.000000	0.092095	0.100265	248.790597
3855.000000	0.112000	0.114604	209.342625
3856.000000	0.103169	0.108574	356.914293
3857.000000	0.129368	0.143659	253.138131
3858.000000	0.099864	0.097246	316.409178
3859.000000	0.093059	0.094767	452.319778
3860.000000	0.094839	0.089339	230.190991
3861.000000	0.095428	0.097473	395.833043
3862.000000	0.100743	0.093135	463.149658
3863.000000	0.090357	0.079332	212.725871
3864.000000	0.093866	0.089269	455.857112
3865.000000	0.086964	0.097535	366.447000
3866.000000	0.103295	0.108397	243.852734
3867.000000	0.093006	0.102945	424.524315
3868.000000	0.102678	0.091377	314.955725
3869.000000	0.098658	0.107582	285.152283
3870.000000	0.097189	0.093671	383.845623
3871.000000	0.095479	0.095618	230.372205
3872.000000	0.079999	0.072512	302.891017
3873.000000	0.091707	0.100706	379.069942
3874.000000	0.088198	0.088613	165.741068
3875.000000	0.090726	0.092772	369.364685
3876.000000	0.109020	0.101325	393.712133
3877.000000	0.108331	0.101905	226.778492
3878.000000	0.094869	0.088414	450.245355
3879.000000	0.098154	0.096669	376.312947
3880.000000	0.116334	0.107927	321.756662
3881.000000	0.103514	0.118594	509.713611
3882.000000	0.100259	0.112442	377.598257
3883.000000	0.105393	0.115106	457.535719
3884.000000	0.101779	0.094213	600.249520
3885.000000	0.117516	0.112379	355.292050
3886.000000	0.113628	0.114435	572.239522
3887.000000	0.108794	0.122631	626.580584
3888.000000	0.115570	0.118252	286.168487
3889.000000	0.128284	0.133681	686.149752
3890.000000	0.113445	0.103952	624.656260
3891.000000	0.115736	0.116532	426.977878
3892.000000	0.099558	0.094941	813.009303
3893.000000	0.121944	0.113480	584.644531
3894.000000	0.108985	0.106349	581.546877
3895.000000	0.114589	0.103312	851.311752
3896.000000	0.110123	0.106962	519.687820
3897.000000	0.119037	0.117339	757.909487
3898.000000	0.117961	0.109147	822.922813
3899.000000	0.122140	0.111749	374.746530
3900.000000	0.120427	0.116123	778.391863
3901.000000	0.145613	0.129824	771.136332
3902.000000	0.104228	0.109055	422.347392
3903.000000	0.141543	0.154198	776.285381
3904.000000	0.122254	0.111468	627.325528
3905.000000	0.158788	0.161344	536.703937
3906.000000	0.115245	0.110747	861.980685
3907.000000	0.110659	0.115472	538.256169
3908.000000	0.123604	0.120801	661.784120
3909.000000	0.125920	0.113935	816.066464
3910.000000	0.122401	0.120831	426.692841
3911.000000	0.143971	0.152092	644.920499
3912.000000	0.131405	0.127641	679.820350
3913.000000	0.117852	0.113153	306.374130
3914.000000	0.140125	0.141141	657.674308
3915.000000	0.110027	0.123695	575.685344
3916.000000	0.127508	0.135101	405.979864
3917.000000	0.120599	0.127954	721.085797
3918.000000	0.137647	0.134144	571.201749
3919.000000	0.142033	0.129770	508.078191
3920.000000	0.129343	0.111568	751.551712
3921.000000	0.126122	0.138420	416.143364
3922.000000	0.114689	0.113272	573.221746
3923.000000	0.121036	0.115887	651.953854
3924.000000	0.129554	0.129829	254.765683
3925.000000	0.134894	0.138546	561.002561
3926.000000	0.131103	0.122514	520.086218
3927.000000	0.133535	0.128501	297.267331
3928.000000	0.123913	0.126540	558.683696
3929.000000	0.133991	0.138181	431.807284
3930.000000	0.133106	0.123642	362.936362
3931.000000	0.132691	0.139947	476.289325
3932.000000	0.154624	0.143581	304.731739
3933.000000	0.139986	0.148390	314.214228
3934.000000	0.160392	0.178057	386.125220
3935.000000	0.156264	0.166316	177.607670
3936.000000	0.128057	0.114701	249.205256
3937.000000	0.153354	0.142370	233.767897
3938.000000	0.130256	0.153831	80.483968
3939.000000	0.186344	0.181775	169.159069
3940.000000	0.138195	0.130408	123.879448
3941.000000	0.139512	0.135427	90.555607
3942.000000	0.157431	0.156429	147.483486
3943.000000	0.147540	0.154787	118.466321
3944.000000	0.155911	0.170770	104.902418
3945.000000	0.158767	0.167447	182.425354
3946.000000	0.155211	0.148346	134.066549
3947.000000	0.142423	0.126809	193.009834
3948.000000	0.155189	0.154513	253.432270
3949.000000	0.154299	0.157066	131.158630
3950.000000	0.170090	0.156816	317.525918
3951.000000	0.143752	0.135314	316.548594
3952.000000	0.166025	0.160242	184.817672
3953.000000	0.160783	0.168115	395.809045
3954.000000	0.167545	0.180021	363.164466
3955.000000	0.180629	0.183352	312.087702
3956.000000	0.169120	0.162925	475.348405
3957.000000	0.171553	0.197924	299.339046
3958.000000	0.191805	0.222666	374.107430
3959.000000	0.159414	0.165784	410.933199
3960.000000	0.157118	0.136171	245.822534
3961.000000	0.196514	0.185703	313.206123
3962.000000	0.167002	0.167182	356.198640
3963.000000	0.183682	0.184911	145.403329
3964.000000	0.173032	0.182381	360.395919
3965.000000	0.180124	0.167329	311.514682
3966.000000	0.175771	0.179904	229.200584
3967.000000	0.154990	0.143774	446.751113
3968.000000	0.169901	0.191455	325.776484
3969.000000	0.194147	0.182959	351.989762
3970.000000	0.192802	0.197287	498.522758
3971.000000	0.176010	0.184172	296.714563
3972.000000	0.154269	0.131379	398.793293
3973.000000	0.174578	0.171228	495.221355
3974.000000	0.181725	0.187354	213.588846
3975.000000	0.153673	0.144738	395.446831
3976.000000	0.156728	0.154734	367.232785
3977.000000	0.166159	0.160713	194.499894
3978.000000	0.147588	0.142765	332.189719
3979.000000	0.158087	0.173177	258.956254
3980.000000	0.169597	0.160802	204.877729
3981.000000	0.161741	0.176802	291.565865
3982.000000	0.166834	0.164146	214.042624
3983.000000	0.150187	0.160291	267.122803
3984.000000	0.173919	0.175426	369.438948
3985.000000	0.183549	0.158166	236.091349
3986.000000	0.185997	0.187153	455.119789
3987.000000	0.201085	0.195284	530.320394
3988.000000	0.178600	0.175594	293.924686
3989.000000	0.175418	0.155798	679.377006
3990.000000	0.171727	0.163620	662.423983
3991.000000	0.159307	0.153532	497.140897
3992.000000	0.155415	0.154453	975.743571
3993.000000	0.145076	0.153675	735.272182
3994.000000	0.164171	0.174242	773.555964
3995.000000	0.158631	0.154204	1285.515676
3996.000000	0.159162	0.154472	762.289182
3997.000000	0.152643	0.160192	1129.691162
3998.000000	0.155759	0.146032	1414.001236
3999.000000	0.142910	0.143005	620.090767
4000.000000	0.122741	0.121026	1398.278695
4001.000000	0.137522	0.138862	1441.412314
4002.000000	0.146322	0.146097	848.661054
4003.000000	0.130161	0.136385	1614.164290
4004.000000	0.124301	0.134415	1369.770268
4005.000000	0.147508	0.173079	1127.823749
4006.000000	0.123617	0.122345	1729.016403
4007.000000	0.124247	0.127435	1077.812589
4008.000000	0.140120	0.168262	1224.967753
4009.000000	0.118887	0.124070	1375.122619
4010.000000	0.124658	0.140325	682.406790
4011.000000	0.113671	0.106377	991.413301
4012.000000	0.118387	0.116691	1044.562361
4013.000000	0.114024	0.111166	453.695826
4014.000000	0.102432	0.105739	964.577945
4015.000000	0.127524	0.124878	855.561611
4016.000000	0.114873	0.119792	535.042410
4017.000000	0.116797	0.108388	945.564554
4018.000000	0.128791	0.124964	699.670847
4019.000000	0.125180	0.130975	627.905269
4020.000000	0.121945	0.120394	871.020594
4021.000000	0.113943	0.118659	492.491847
4022.000000	0.125481	0.127201	664.431892
4023.000000	0.109099	0.111594	803.695864
4024.000000	0.109808	0.121096	366.038155
4025.000000	0.123049	0.108892	781.103277
4026.000000	0.106602	0.126006	773.462813
4027.000000	0.112739	0.109473	438.647363
4028.000000	0.104901	0.108256	887.978842
4029.000000	0.109672	0.110938	748.772954
4030.000000	0.098011	0.108900	607.640275
4031.000000	0.110789	0.105759	972.398094
4032.000000	0.105389	0.111054	681.664845
4033.000000	0.113023	0.113830	785.297266
4034.000000	0.108849	0.109167	960.923671
4035.000000	0.107468	0.115528	462.709662
4036.000000	0.103049	0.109680	707.515480
4037.000000	0.122331	0.120040	717.749664
4038.000000	0.102511	0.103114	308.940931
4039.000000	0.108188	0.113243	654.538533
4040.000000	0.107988	0.114910	547.542387
4041.000000	0.110930	0.101857	356.244836
4042.000000	0.099852	0.106742	588.336161
4043.000000	0.105320	0.110377	402.082897
4044.000000	0.104710	0.101359	385.938177
4045.000000	0.113818	0.105902	562.650647
4046.000000	0.109110	0.099015	323.473814
4047.000000	0.109307	0.116832	430.669506
4048.000000	0.106888	0.101229	519.943819
4049.000000	0.106922	0.087628	233.596735
4050.000000	0.112920	0.111509	476.958708
4051.000000	0.101483	0.091980	456.591390
4052.000000	0.094059	0.092206	248.735552
4053.000000	0.109142	0.123017	427.949954
4054.000000	0.104220	0.099274	326.191659
4055.000000	0.107115	0.099335	231.468883
4056.000000	0.107603	0.105568	309.780486
4057.000000	0.101925	0.106412	209.240398
4058.000000	0.108592	0.102626	213.691474
4059.000000	0.105897	0.113573	234.433804
4060.000000	0.096988	0.100053	128.826788
4061.000000	0.098159	0.084802	170.400707
4062.000000	0.113828	0.108894	191.859932
4063.000000	0.115550	0.108134	81.879560
4064.000000	0.091302	0.084476	197.073530
4065.000000	0.098589	0.096757	156.623296
4066.000000	0.098378	0.093032	91.653537
4067.000000	0.103443	0.097814	172.014943
4068.000000	0.103286	0.104362	104.781395
4069.000000	0.099920	0.099868	84.247367
4070.000000	0.109835	0.114747	101.503299
4071.000000	0.092860	0.091524	49.571698
4072.000000	0.101611	0.104278	73.732723
4073.000000	0.099758	0.103409	84.330275
4074.000000	0.095895	0.101083	51.364290
4075.000000	0.110112	0.104915	114.099652
4076.000000	0.109542	0.111797	157.273732
4077.000000	0.098191	0.102744	98.379113
4078.000000	0.090453	0.084961	206.698120
4079.000000	0.103200	0.099921	181.415788
4080.000000	0.097377	0.094881	148.955742
4081.000000	0.100681	0.111790	236.006903
4082.000000	0.102704	0.110653	176.651011
4083.000000	0.093844	0.097864	201.299827
4084.000000	0.096516	0.094460	255.913624
4085.000000	0.098335	0.099461	138.567786
4086.000000	0.083429	0.078830	232.769225
4087.000000	0.107968	0.100515	233.550894
4088.000000	0.113296	0.106192	118.336035
4089.000000	0.107451	0.103674	267.580259
4090.000000	0.097429	0.096407	260.052607
4091.000000	0.095074	0.088388	190.095469
4092.000000	0.091069	0.085016	379.349041
4093.000000	0.105925	0.099859	316.298039
4094.000000	0.098408	0.089924	337.023137
4095.000000	0.117932	0.123528	532.828219
4096.000000	0.092542	0.085947	341.137370
4097.000000	0.098097	0.113823	532.310567
4098.000000	0.097703	0.100286	729.827195
4099.000000	0.098440	0.111090	320.350420
4100.000000	0.102883	0.098097	744.580014
4101.000000	0.108905	0.124282	681.226157
4102.000000	0.107252	0.105008	392.857837
4103.000000	0.107239	0.118741	707.907749
4104.000000	0.099218	0.100622	571.424635
4105.000000	0.098521	0.099377	449.312605
4106.000000	0.089870	0.090017	661.901098
4107.000000	0.094687	0.096038	422.297928
4108.000000	0.099208	0.092075	488.467701
4109.000000	0.101265	0.126493	591.527024
4110.000000	0.108028	0.110708	299.252982
4111.000000	0.105451	0.099735	433.109968
4112.000000	0.090795	0.093153	452.997427
4113.000000	0.102837	0.103969	191.924593
4114.000000	0.090406	0.084009	444.240884
4115.000000	0.088740	0.095373	390.217665
4116.000000	0.108292	0.107202	273.462993
4117.000000	0.085330	0.093920	454.587307
4118.000000	0.097333	0.108176	313.007987
4119.000000	0.096949	0.102416	287.287584
4120.000000	0.098486	0.109543	397.932589
4121.000000	0.104246	0.111240	218.745569
4122.000000	0.089108	0.072594	316.550461
4123.000000	0.090147	0.091067	382.948817
4124.000000	0.094106	0.100313	174.717757
4125.000000	0.093382	0.092090	357.073536
4126.000000	0.101922	0.107214	347.527554
4127.000000	0.093590	0.092308	196.522042
4128.000000	0.094900	0.087576	376.073317
4129.000000	0.078934	0.072184	265.901923
4130.000000	0.092641	0.099407	237.154523
4131.000000	0.087643	0.088455	329.846505
4132.000000	0.081281	0.079368	213.473990
