

# Beam is probing the groundplane
# Scan parameters: power 19.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	1.974004	2.018238	502.094011
3852.000000	2.175581	2.148397	316.969709
3853.000000	2.104053	2.216010	642.122443
3854.000000	1.954723	2.211111	500.650702
3855.000000	1.785680	1.954417	393.628676
3856.000000	1.858682	1.577946	671.763640
3857.000000	1.920106	1.957982	473.938429
3858.000000	1.892885	2.016287	539.204179
3859.000000	2.272502	2.236633	759.626507
3860.000000	1.990281	1.863144	640.666808
3861.000000	1.884190	1.915435	854.363736
3862.000000	2.113019	2.057015	882.959032
3863.000000	2.031646	2.086622	431.229789
3864.000000	1.850321	1.853533	932.843156
3865.000000	2.152501	2.226644	754.342129
3866.000000	1.904043	1.927866	543.238777
3867.000000	1.972616	1.844002	923.112158
3868.000000	2.180800	2.093203	636.046328
3869.000000	2.802828	2.799693	611.577970
3870.000000	2.042132	2.001112	839.652181
3871.000000	5.045731	5.295818	451.100233
3872.000000	1.850942	2.021024	718.759009
3873.000000	1.890162	1.869056	708.418213
3874.000000	2.245255	2.426845	432.336375
3875.000000	2.128136	2.211672	867.063334
3876.000000	2.014711	2.287191	926.003762
3877.000000	1.981722	1.884883	512.727524
3878.000000	2.222975	2.016879	1034.158342
3879.000000	2.060631	1.966034	874.323213
3880.000000	2.269062	2.188037	650.970087
3881.000000	2.093322	2.163612	1109.187814
3882.000000	1.822373	2.468083	855.239742
3883.000000	2.370992	2.357789	1025.860091
3884.000000	2.073559	2.101732	1190.035752
3885.000000	2.198005	1.965919	638.820188
3886.000000	2.031341	1.968516	1088.060969
3887.000000	2.392750	2.504057	1208.569636
3888.000000	2.225439	2.381299	554.835659
3889.000000	2.257284	2.203529	1272.175459
3890.000000	2.176944	2.096968	1183.414243
3891.000000	2.114427	2.014783	770.317669
3892.000000	2.098179	2.067468	1282.253858
3893.000000	2.558559	2.271394	1006.835282
3894.000000	2.392678	2.395858	1112.853165
3895.000000	2.366516	2.245287	1497.897468
3896.000000	2.319272	2.199764	825.005127
3897.000000	2.354184	2.159262	1177.330821
3898.000000	2.096170	2.077959	1485.920139
3899.000000	2.237477	2.305015	724.961460
3900.000000	2.498116	2.287527	1439.938070
3901.000000	2.231512	2.107273	1315.062337
3902.000000	2.510314	2.255966	739.784275
3903.000000	2.256738	2.849233	1216.511562
3904.000000	2.798392	3.046197	1018.618052
3905.000000	2.389293	2.293919	835.521759
3906.000000	2.178562	1.883245	1147.450312
3907.000000	2.329244	2.341877	983.787461
3908.000000	2.235322	2.413820	1010.245640
3909.000000	2.849173	3.036590	1316.500666
3910.000000	2.751211	2.731241	704.675242
3911.000000	2.825770	2.921408	1020.202230
3912.000000	2.524667	2.613509	1144.372446
3913.000000	2.422991	2.497345	474.201847
3914.000000	2.467709	2.650102	1089.921981
3915.000000	2.597513	2.390310	996.887750
3916.000000	2.577831	2.485311	772.418337
3917.000000	2.293749	2.366207	1102.929694
3918.000000	2.493966	2.610627	848.779784
3919.000000	2.376026	2.622095	839.039696
3920.000000	2.540325	2.441353	1151.550068
3921.000000	2.549208	2.361544	661.570395
3922.000000	2.564005	2.792418	845.017661
3923.000000	2.682080	2.476076	1010.703102
3924.000000	2.256424	1.930080	408.293462
3925.000000	2.384739	2.226138	800.961510
3926.000000	2.539744	2.903146	724.703614
3927.000000	2.411416	2.371261	439.886647
3928.000000	2.933144	3.093251	812.172149
3929.000000	2.648807	2.492014	551.091798
3930.000000	2.633817	2.914298	481.874638
3931.000000	2.643850	2.971792	651.296401
3932.000000	2.732178	2.654443	375.640712
3933.000000	3.219272	2.854044	344.153285
3934.000000	2.637794	2.677779	478.378551
3935.000000	3.033357	2.740614	168.721894
3936.000000	2.689358	2.730410	225.418782
3937.000000	3.013334	3.075011	206.402555
3938.000000	2.656797	2.461860	108.079350
3939.000000	2.960392	3.192405	149.264073
3940.000000	2.919047	2.423852	137.590071
3941.000000	2.799752	2.794291	152.751637
3942.000000	3.139794	3.131392	258.740970
3943.000000	2.732628	2.942113	266.033265
3944.000000	2.568606	2.644812	199.830255
3945.000000	2.757936	2.605689	465.745399
3946.000000	2.784418	2.512048	225.685999
3947.000000	2.731269	2.483891	539.784226
3948.000000	2.936099	3.002342	828.784301
3949.000000	2.593874	2.405331	377.948876
3950.000000	2.714809	2.873316	799.383556
3951.000000	2.509026	2.389864	929.183082
3952.000000	2.714363	2.816087	607.452131
3953.000000	2.531961	2.570733	953.763020
3954.000000	2.852653	2.989082	1096.989480
3955.000000	2.668615	2.707371	919.100270
3956.000000	2.604856	2.545983	1283.959699
3957.000000	2.495020	2.374247	872.620024
3958.000000	2.657424	2.646220	1146.499914
3959.000000	2.521052	2.465790	1281.882659
3960.000000	2.381809	2.356585	699.354062
3961.000000	2.325152	2.354225	930.110936
3962.000000	3.077396	3.052760	1165.895287
3963.000000	2.684446	2.459595	512.619181
3964.000000	2.577906	2.488980	1140.734804
3965.000000	2.342738	2.526145	1243.034791
3966.000000	2.626177	2.561683	766.258547
3967.000000	2.392186	2.328407	1513.934867
3968.000000	2.328131	2.656285	1049.330055
3969.000000	2.515879	2.283324	1171.717396
3970.000000	2.782550	2.739603	1700.451944
3971.000000	2.363163	2.585919	1175.874776
3972.000000	2.260691	2.187359	1174.442571
3973.000000	2.383095	2.531078	1654.231494
3974.000000	2.276773	2.255771	585.799801
3975.000000	2.193943	2.237483	1345.363095
3976.000000	2.355504	2.221929	1219.490388
3977.000000	2.324988	2.721339	727.673001
3978.000000	2.199993	2.207369	1247.620175
3979.000000	2.255965	2.427165	985.014107
3980.000000	1.949125	1.973471	858.290775
3981.000000	1.893475	2.167744	1092.116549
3982.000000	2.417463	2.465068	927.545843
3983.000000	2.082204	2.200232	953.890391
3984.000000	2.315225	2.260026	1504.571581
3985.000000	2.279572	2.201435	795.075499
3986.000000	2.276704	2.381224	1382.607344
3987.000000	2.265113	2.253816	1765.060302
3988.000000	2.040031	1.890104	857.955658
3989.000000	2.334085	2.454106	2171.624041
3990.000000	2.069336	1.825033	2088.740504
3991.000000	2.029841	2.163000	1557.759543
3992.000000	1.835120	1.823593	2750.043085
3993.000000	2.126148	2.198565	2173.181401
3994.000000	2.145073	1.893220	2275.374301
3995.000000	2.040766	1.948478	3512.332757
3996.000000	1.913263	1.796150	1977.121568
3997.000000	2.159755	1.864236	3057.351067
3998.000000	1.942558	2.057725	3785.778450
3999.000000	1.993953	2.035774	1710.715467
4000.000000	2.048308	2.194245	3506.926837
4001.000000	1.802911	1.636985	3774.504580
4002.000000	1.877199	1.797089	2363.640139
4003.000000	2.010764	1.974125	4052.338388
4004.000000	2.063455	2.207650	3512.395032
4005.000000	1.739681	1.775045	2784.720222
4006.000000	1.863750	1.865947	4370.015381
4007.000000	1.919384	1.821946	2525.421669
4008.000000	1.883221	1.858967	2909.430502
4009.000000	1.943882	1.924857	3530.267486
4010.000000	2.015815	1.860234	1727.313820
4011.000000	1.770855	1.763220	2671.567884
4012.000000	1.539756	1.425621	2728.254334
4013.000000	1.908742	2.037500	1330.452109
4014.000000	1.497192	1.620419	2516.011506
4015.000000	1.925397	1.782929	2432.554306
4016.000000	1.826705	1.974677	1472.156302
4017.000000	1.759283	1.744532	2590.764562
4018.000000	1.702217	1.692916	1849.673312
4019.000000	1.831330	1.895172	1737.808371
4020.000000	1.609270	1.478187	2338.657436
4021.000000	1.888012	1.912197	1239.460042
4022.000000	1.849098	1.861946	1570.679870
4023.000000	1.354318	1.369566	1859.471407
4024.000000	1.595420	1.300996	796.330928
4025.000000	1.727300	1.833030	1769.945461
4026.000000	1.630122	1.654705	1749.142370
4027.000000	1.680718	1.823923	998.326519
4028.000000	1.576567	1.758288	2316.993467
4029.000000	1.523151	1.590411	1913.566772
4030.000000	1.637916	1.568646	1625.372456
4031.000000	1.737848	1.900434	2768.392895
4032.000000	1.731831	1.834106	1857.254055
4033.000000	1.575750	1.522941	1910.784450
4034.000000	1.667491	1.696368	2387.870355
4035.000000	1.446538	1.526352	1198.330794
4036.000000	1.497186	1.386498	1771.194082
4037.000000	1.724952	1.840013	1842.774915
4038.000000	1.389532	1.453381	768.249890
4039.000000	1.632029	1.637164	1604.480861
4040.000000	1.482575	1.541865	1215.216390
4041.000000	1.652899	1.840934	802.267186
4042.000000	1.515365	1.511769	1500.500925
4043.000000	1.445718	1.547006	962.010742
4044.000000	1.617775	1.619347	1014.478828
4045.000000	1.481598	1.583300	1264.040527
4046.000000	1.684662	1.497921	754.255435
4047.000000	1.264698	1.274234	1016.891109
4048.000000	1.488924	1.399949	1129.876246
4049.000000	1.448046	1.427605	488.848460
4050.000000	1.588681	1.616928	1204.296082
4051.000000	1.652737	1.760294	997.106739
4052.000000	1.363241	1.368492	473.340747
4053.000000	1.451984	1.470531	1044.738783
4054.000000	1.360159	1.218831	708.376679
4055.000000	1.497529	1.615403	550.546654
4056.000000	1.248904	1.237425	691.927094
4057.000000	1.348801	1.595277	498.906088
4058.000000	1.311591	1.465742	531.548175
4059.000000	1.441170	1.483804	616.838568
4060.000000	1.378832	1.329213	357.437845
4061.000000	1.465165	1.521839	459.817081
4062.000000	1.335684	1.345634	539.618113
4063.000000	1.354866	1.410688	255.531659
4064.000000	1.390439	1.532387	579.371014
4065.000000	1.347090	1.201395	466.926818
4066.000000	1.285663	1.272904	279.878715
4067.000000	1.308057	1.228375	489.458718
4068.000000	1.369692	1.276051	285.401404
4069.000000	1.420594	1.439745	330.713756
4070.000000	1.245671	1.298889	340.722685
4071.000000	1.294072	1.288721	225.342960
4072.000000	1.419351	1.431339	224.651904
4073.000000	1.299819	1.395564	250.670773
4074.000000	1.331277	1.189503	119.920979
4075.000000	1.380540	1.219858	274.575355
4076.000000	1.300357	1.286415	269.443805
4077.000000	1.368654	1.381019	115.521233
4078.000000	1.178649	1.218362	276.582109
4079.000000	1.227676	1.184598	233.475116
4080.000000	1.292882	1.226312	256.307756
4081.000000	1.302544	1.364682	385.930597
4082.000000	1.176425	1.039667	261.316651
4083.000000	1.045310	0.868983	410.485798
4084.000000	1.290468	1.196729	622.231577
4085.000000	1.206011	1.135024	267.340550
4086.000000	1.158295	1.143303	499.197219
4087.000000	1.267540	1.293947	435.289599
4088.000000	1.152495	1.102332	268.909547
4089.000000	1.181709	1.129774	568.339662
4090.000000	1.273922	1.259974	495.193706
4091.000000	1.123524	1.134903	333.210371
4092.000000	1.154625	1.130837	713.722717
4093.000000	1.167650	1.075584	507.627464
4094.000000	1.183250	1.140525	645.204567
4095.000000	0.994326	0.937319	926.157816
4096.000000	1.084565	1.026610	618.202665
4097.000000	1.029884	1.123061	855.953697
4098.000000	1.088879	1.126885	1143.334380
4099.000000	1.089733	1.160641	577.124372
