

# Same as before, 2MHz steps
# Scan parameters: power 19.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	2.033747	2.043153	530.201564
3853.000000	1.856156	1.902402	618.536149
3855.000000	1.965526	1.844232	540.835826
3857.000000	1.915056	1.896994	491.204240
3859.000000	1.819094	1.727964	911.931401
3861.000000	1.826519	1.840717	768.203635
3863.000000	1.676730	1.561008	437.521641
3865.000000	1.810175	1.768904	929.584797
3867.000000	1.897625	2.109088	918.481437
3869.000000	2.063317	2.048696	715.493504
3871.000000	2.079844	2.014698	587.164553
3873.000000	1.812720	1.720124	806.122059
3875.000000	1.929980	1.756916	810.681839
3877.000000	2.013331	2.275339	502.271570
3879.000000	2.090697	2.105406	827.040705
3881.000000	2.190273	2.374318	1122.326822
3883.000000	1.865458	1.555423	1076.998854
3885.000000	2.274312	2.136235	586.855536
3887.000000	2.322194	2.406774	1090.380135
3889.000000	1.859431	2.008489	1104.458435
3891.000000	2.082887	2.015033	702.647932
3893.000000	2.352126	2.287628	992.083545
3895.000000	2.338737	2.032776	1476.280960
3897.000000	2.150367	1.921348	1248.618650
3899.000000	2.151510	2.110101	626.805940
3901.000000	2.035377	2.090856	1201.279225
3903.000000	2.311622	2.579306	1411.685635
3905.000000	2.268715	2.369425	848.557608
3907.000000	2.664973	2.604986	898.757887
3909.000000	2.204125	2.153547	1309.718946
3911.000000	2.502876	2.460979	940.708884
3913.000000	2.539787	2.589693	578.024080
3915.000000	2.769941	3.002195	950.879682
3917.000000	2.611997	2.035323	1255.945497
3919.000000	2.532182	2.576517	953.789950
3921.000000	2.640017	2.509082	460.776623
3923.000000	2.613022	3.231122	1366.003350
3925.000000	2.776298	3.206871	863.421937
3927.000000	2.907691	2.713775	404.200012
3929.000000	2.697728	2.654090	536.901802
3931.000000	2.524022	2.418549	657.379720
3933.000000	3.001979	3.035913	447.686062
3935.000000	2.774210	2.651839	223.607502
3937.000000	3.055399	2.840024	265.100464
3939.000000	3.156416	3.229322	182.935786
3941.000000	3.499345	3.738045	123.745889
3943.000000	2.728844	2.685290	217.669091
3945.000000	2.500229	2.332142	417.573716
3947.000000	2.963431	2.947906	491.169520
3949.000000	2.820940	2.825836	339.261200
3951.000000	2.876369	3.182731	931.641925
3953.000000	2.653659	2.729526	1398.565290
3955.000000	2.894227	3.152492	837.015314
3957.000000	2.753944	2.774461	928.449550
3959.000000	2.700606	2.620007	1379.132611
3961.000000	2.339632	2.383816	1037.379260
3963.000000	2.543892	2.417948	578.080555
3965.000000	2.409642	2.388485	1294.527632
3967.000000	2.367716	2.296998	1428.559810
3969.000000	2.437475	2.293930	1057.109459
3971.000000	2.417164	2.392594	807.284734
3973.000000	2.572701	2.720503	1447.399279
3975.000000	2.357616	2.467473	1377.452012
3977.000000	2.135040	2.232927	626.091804
3979.000000	2.569443	2.468732	1061.932965
3981.000000	2.220636	2.301846	1404.125333
3983.000000	2.331841	2.249138	1033.762805
3985.000000	2.108949	1.965610	944.730786
3987.000000	2.161252	2.226488	1971.798566
3989.000000	1.918247	1.873822	2302.402014
3991.000000	2.036107	2.151401	1588.250658
3993.000000	2.280846	2.407268	1988.237944
3995.000000	1.865294	1.960439	3616.718269
3997.000000	1.952302	1.951122	3170.789912
3999.000000	1.756985	1.554615	1527.901289
4001.000000	1.964959	2.073413	3673.208773
4003.000000	1.876694	1.948520	4207.473800
4005.000000	1.942929	2.045758	2841.160510
4007.000000	1.921024	1.806655	2853.888450
4009.000000	1.829512	1.736296	4049.600110
4011.000000	1.778381	1.750580	2999.770157
4013.000000	1.843146	1.868435	1253.355406
4015.000000	1.699388	1.775871	2343.779652
4017.000000	1.611667	1.445412	2619.641641
4019.000000	1.709633	1.614050	1733.743340
4021.000000	1.690949	1.699650	1252.498357
4023.000000	1.754425	1.608235	1797.004072
4025.000000	1.562099	1.447457	1943.750448
4027.000000	1.664195	1.834243	1221.569292
4029.000000	1.505046	1.346775	1730.618439
4031.000000	1.670933	1.855085	2447.456194
4033.000000	1.458496	1.283275	2072.747799
4035.000000	1.400455	1.358371	1227.480814
4037.000000	1.671465	1.669666	1867.946525
4039.000000	1.410329	1.383335	1599.180905
4041.000000	1.330449	1.248902	975.689376
4043.000000	1.357614	1.175537	1070.208059
4045.000000	1.384939	1.397910	1320.772841
4047.000000	1.461631	1.540940	978.509668
4049.000000	1.393374	1.275780	455.441028
4051.000000	1.327926	1.303741	1026.629422
4053.000000	1.310702	1.295033	1005.342259
4055.000000	1.357070	1.390138	572.193267
4057.000000	1.248717	1.173751	485.584364
4059.000000	1.149717	1.017369	614.674272
4061.000000	1.125327	1.151804	497.883009
4063.000000	1.367853	1.217035	314.498585
4065.000000	1.299274	1.405328	512.468225
4067.000000	1.038722	1.113125	516.518009
4069.000000	1.230820	1.242215	285.918767
4071.000000	1.017533	0.981239	155.141603
4073.000000	1.147837	1.088956	221.579660
4075.000000	1.256268	1.290683	267.846982
4077.000000	1.153471	1.154076	153.772712
4079.000000	1.187134	1.244296	322.242250
4081.000000	1.013804	0.974625	391.564746
4083.000000	1.036697	0.999546	374.673313
4085.000000	1.040979	1.011380	321.251230
4087.000000	1.184237	1.186634	548.819649
4089.000000	1.100183	1.015545	527.347224
4091.000000	1.123737	1.131719	358.786499
4093.000000	0.995603	0.911441	562.753638
4095.000000	0.931811	0.952610	891.308692
4097.000000	0.986836	0.927216	897.092145
4099.000000	0.934695	0.858881	604.674698
4101.000000	1.035046	1.033163	1200.559846
4103.000000	0.969670	0.915586	1345.073812
4105.000000	0.996062	0.870591	876.185775
4107.000000	1.012110	0.983819	788.492142
4109.000000	1.023707	0.964293	1044.453915
4111.000000	0.917887	0.864658	838.004304
4113.000000	1.118024	1.108600	373.734968
4115.000000	0.983138	0.964798	775.154688
4117.000000	1.078225	1.146811	970.596668
4119.000000	1.048626	1.021454	625.286192
4121.000000	0.972733	0.952836	554.576166
4123.000000	0.917252	0.977162	647.212843
4125.000000	1.143873	1.237535	691.077274
4127.000000	1.065639	0.956561	350.408869
4129.000000	0.985864	0.978027	630.020994
4131.000000	1.098675	1.121778	781.281963
4133.000000	0.990663	1.047516	557.839746
4135.000000	0.999795	0.956260	384.989118
