

# About twice as much light
# Scan parameters: power 19.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	20.478901	18.105392	2801.164974
3853.000000	17.908520	18.100452	2886.548872
3855.000000	16.289829	17.114674	2314.624426
3857.000000	16.591643	15.365658	2509.562733
3859.000000	16.887387	18.706806	4714.757904
3861.000000	17.309205	16.335863	3990.876541
3863.000000	16.746715	14.662598	2570.333191
3865.000000	20.680640	20.633758	4722.428678
3867.000000	17.868170	17.450855	5711.379040
3869.000000	20.865594	18.592914	3483.557044
3871.000000	17.673582	16.692665	2453.564589
3873.000000	19.133598	18.659869	5538.037444
3875.000000	18.557176	18.245486	5069.814501
3877.000000	19.913970	19.881112	2879.174970
3879.000000	19.665131	20.467968	4697.863678
3881.000000	22.410250	23.119233	6955.397216
3883.000000	22.915177	22.053505	5315.433897
3885.000000	20.951334	18.132554	4591.122338
3887.000000	22.821752	20.493117	6706.249542
3889.000000	25.322809	25.156255	7071.934104
3891.000000	23.838841	23.533009	4655.868145
3893.000000	25.968335	22.383399	6506.942866
3895.000000	26.695343	27.481628	8419.553610
3897.000000	25.668697	25.541047	6928.547345
3899.000000	29.064577	28.981083	3754.259262
3901.000000	26.295256	28.165753	7582.425731
3903.000000	29.181876	31.093916	8799.653527
3905.000000	25.878487	24.972941	4252.513083
3907.000000	28.943674	28.567047	4765.666288
3909.000000	28.121250	27.309969	5973.580045
3911.000000	29.451403	28.914482	5001.161538
3913.000000	28.436625	29.642091	2715.228764
3915.000000	28.631654	31.947706	5186.084692
3917.000000	26.623333	27.207733	5583.378085
3919.000000	28.998759	29.965983	4746.269012
3921.000000	27.442967	25.641371	3286.431250
3923.000000	26.897952	24.975802	6256.074034
3925.000000	28.237194	28.052122	3740.581711
3927.000000	29.883903	29.115996	2141.795294
3929.000000	27.891829	29.069617	3549.924631
3931.000000	30.032546	30.204488	3811.017272
3933.000000	25.911058	24.494706	2543.439393
3935.000000	26.709947	21.440398	1345.617206
3937.000000	30.701764	28.024368	1192.760244
3939.000000	27.522579	26.105193	1156.072655
3941.000000	25.848661	26.561294	492.752575
3943.000000	24.067460	22.316521	1256.926629
3945.000000	28.319844	26.982305	2440.760795
3947.000000	23.122690	25.933394	2785.928770
3949.000000	22.640533	20.001505	1567.919175
3951.000000	23.772761	22.838562	4372.672793
3953.000000	24.652695	25.292419	4484.434231
3955.000000	22.186449	20.782710	5422.301350
3957.000000	21.123025	20.023331	4926.981312
3959.000000	21.583349	20.521473	6832.084712
3961.000000	20.561072	21.047297	5244.636134
3963.000000	26.602447	24.254744	3132.329261
3965.000000	20.875746	19.866972	5642.198728
3967.000000	21.584113	20.289573	7046.132856
3969.000000	21.471598	20.806585	5602.052673
3971.000000	18.730239	18.758721	5440.805635
3973.000000	20.373762	21.334424	7373.834574
3975.000000	21.808025	22.719254	6498.302661
3977.000000	20.755962	19.272799	3484.230401
3979.000000	21.028933	19.254608	5383.023006
3981.000000	19.927097	19.356555	6244.100449
3983.000000	18.932467	20.950754	4727.538331
3985.000000	20.601543	19.943207	4443.232802
3987.000000	18.132445	16.092850	9115.155563
3989.000000	19.199882	17.092853	10007.083616
3991.000000	17.277205	16.943744	7402.085919
3993.000000	17.422180	17.387525	11023.095407
3995.000000	18.653968	16.766355	18285.984509
3997.000000	19.259900	18.498104	14460.547417
3999.000000	19.044234	17.212507	8389.250789
4001.000000	22.063927	21.031905	18271.027444
4003.000000	18.565881	17.651492	21738.152422
4005.000000	22.061752	23.828234	13357.371181
4007.000000	20.671814	19.960387	12431.386389
4009.000000	22.052946	22.397573	18968.715857
4011.000000	21.794911	24.025637	14017.672165
4013.000000	21.285448	21.929576	6144.616528
4015.000000	23.204849	20.655434	10978.866494
4017.000000	21.948056	21.227081	13875.287936
4019.000000	21.093626	19.227227	8572.770900
4021.000000	26.355550	25.570919	6992.070994
4023.000000	24.569008	26.691857	9267.555182
4025.000000	27.059446	26.003013	9044.348408
4027.000000	28.002681	24.466964	6219.242881
4029.000000	26.505012	27.797811	11412.559105
4031.000000	30.941956	28.159382	13992.044829
4033.000000	29.877635	29.712871	10824.101831
4035.000000	32.992988	30.370828	6581.610027
4037.000000	33.053057	33.657181	8792.894260
4039.000000	34.797630	36.106268	8205.304065
4041.000000	34.780897	30.140568	4090.580531
4043.000000	39.531997	41.911184	6284.878279
4045.000000	42.603349	39.177001	7555.762400
4047.000000	41.265395	41.087027	5841.974349
4049.000000	36.226309	37.656144	2896.749368
4051.000000	37.544201	39.443803	6094.909203
4053.000000	43.402365	40.159513	6639.230973
4055.000000	37.771954	41.825511	3002.694637
4057.000000	39.886677	39.474444	2550.634117
4059.000000	42.432187	43.193317	3007.704637
4061.000000	42.403921	39.318061	3289.452859
4063.000000	42.555513	45.376171	1230.207502
4065.000000	43.884621	44.706253	2267.020885
4067.000000	46.665163	48.208928	2808.312352
4069.000000	43.135727	49.714063	1366.023441
4071.000000	49.914610	49.148339	592.552251
4073.000000	45.556110	40.323684	1045.398979
4075.000000	42.334591	42.314054	1510.078460
4077.000000	37.257474	41.896210	551.892362
4079.000000	41.867450	42.930583	1234.148068
4081.000000	43.934853	44.674509	2556.725651
4083.000000	38.219236	39.094553	1111.405759
4085.000000	33.072001	31.398061	1527.234233
4087.000000	39.705959	37.533250	2153.659992
4089.000000	41.199790	45.614620	2341.672677
4091.000000	36.249496	33.989300	1372.626023
4093.000000	35.684882	35.253844	3449.785960
4095.000000	34.863136	36.838714	3434.730582
4097.000000	31.973597	32.908028	3383.226891
4099.000000	35.775809	32.619686	3158.984574
4101.000000	26.905321	28.087168	5807.882855
4103.000000	28.470869	26.924358	7007.319102
4105.000000	26.093531	25.211987	4223.644470
4107.000000	26.361932	25.896126	3773.222077
4109.000000	23.047645	22.998775	5777.837042
4111.000000	25.681046	27.112223	4395.621143
4113.000000	24.340337	26.194492	2236.002257
4115.000000	23.917191	25.610264	4196.369197
4117.000000	21.009164	20.389087	5005.176394
4119.000000	20.034866	19.717406	3131.890948
4121.000000	20.991974	21.430219	2412.208945
4123.000000	19.115504	19.321141	3891.085482
4125.000000	17.599178	17.720313	3273.953114
4127.000000	16.144733	16.775012	1316.047061
4129.000000	16.564432	14.520126	2551.858411
4131.000000	16.163278	15.054277	2938.782620
4133.000000	16.776249	16.355625	2212.844080
4135.000000	16.530903	17.275618	1630.429673
4137.000000	12.945120	11.965408	3091.980525
4139.000000	13.617659	14.035558	2205.996055
4141.000000	12.951555	12.519092	1426.325970
4143.000000	13.062148	13.708494	1870.005406
4145.000000	13.390643	13.149660	1805.145937
4147.000000	13.383531	12.209072	1527.411894
4149.000000	11.670694	13.019551	559.876333
4151.000000	14.587351	14.783098	1032.990048
4153.000000	11.685376	11.019758	1263.414565
4155.000000	11.372512	11.865517	561.112153
4157.000000	10.564877	10.357452	634.762761
4159.000000	10.328636	9.832811	711.165942
4161.000000	10.540877	10.069267	646.998496
4163.000000	9.629968	9.004961	278.842694
4165.000000	9.773114	10.392683	332.815035
4167.000000	9.286357	9.551313	555.631272
4169.000000	9.507969	8.346163	429.666257
4171.000000	8.817623	7.959764	271.967498
4173.000000	7.942834	8.360307	191.771167
4175.000000	8.357977	7.971154	248.861563
4177.000000	8.978887	8.099331	104.320554
4179.000000	9.662231	10.586593	176.021396
4181.000000	7.518152	7.458777	200.361269
4183.000000	8.926534	8.234014	119.453986
4185.000000	8.715552	9.931248	139.573568
4187.000000	8.101363	8.253790	97.188397
4189.000000	8.610901	8.475585	97.398249
4191.000000	9.027093	7.672166	209.742138
4193.000000	9.543692	10.040034	231.686299
4195.000000	10.853527	11.683153	286.099679
4197.000000	10.226060	11.315852	133.895735
4199.000000	11.768755	12.180518	100.105980
4201.000000	10.956203	11.097812	70.498351
4203.000000	12.710789	13.405257	187.408370
4205.000000	13.097609	11.408388	76.969545
4207.000000	13.034996	13.175155	229.385932
4209.000000	14.214436	16.359436	406.303139
4211.000000	13.263295	12.508673	435.202311
4213.000000	13.274903	13.425140	153.203297
4215.000000	13.041509	13.393199	242.226499
4217.000000	13.517865	14.190427	234.085666
4219.000000	14.174780	14.365146	255.558932
4221.000000	13.001167	13.997471	223.003307
4223.000000	13.159865	14.004571	145.757392
4225.000000	14.144522	14.321017	336.851153
4227.000000	13.035272	11.834322	85.812919
4229.000000	14.220263	14.092787	231.378752
4231.000000	15.292724	15.135415	362.657655
4233.000000	13.215859	13.915748	402.138570
4235.000000	14.872727	13.664729	404.812370
4237.000000	14.358089	14.368246	579.854548
4239.000000	14.210080	15.161161	562.585859
4241.000000	12.763121	11.604655	530.775141
4243.000000	14.871406	14.947407	355.364648
4245.000000	11.986689	11.050185	434.701175
4247.000000	16.642640	16.783690	198.690188
4249.000000	16.946911	16.787884	161.324893
4251.000000	16.616974	17.889200	468.513012
4253.000000	17.282579	17.658127	760.409540
4255.000000	16.037313	14.570417	391.975675
4257.000000	14.519397	14.904669	259.842801
4259.000000	13.687632	13.604472	576.018981
4261.000000	13.719871	13.750802	328.443309
4263.000000	14.560276	12.903329	75.995177
4265.000000	15.106806	14.536720	453.298304
4267.000000	12.305015	12.259750	349.106674
4269.000000	12.605878	12.241287	170.857937
4271.000000	12.988412	13.397927	289.463171
4273.000000	15.806982	15.140916	370.534197
4275.000000	13.096694	13.175138	395.013722
4277.000000	12.997947	14.040803	231.894949
4279.000000	11.918050	12.604490	411.344468
4281.000000	11.643426	11.560379	355.637863
4283.000000	10.840645	11.085078	246.205702
4285.000000	11.002636	11.736053	143.840593
4287.000000	10.189337	9.353181	137.454481
4289.000000	10.897080	10.788157	143.485682
4291.000000	10.078834	9.433066	127.465784
4293.000000	8.787400	9.094098	156.890037
4295.000000	8.473328	7.881633	303.776828
4297.000000	8.335056	8.530470	210.257023
4299.000000	10.124894	9.339956	254.763725
4301.000000	8.477489	8.606004	585.375307
4303.000000	9.153765	9.389748	456.014528
4305.000000	8.270794	9.390463	478.422932
4307.000000	9.609654	9.226840	490.334974
4309.000000	9.495758	9.441841	611.481053
4311.000000	10.325674	10.617128	742.284313
4313.000000	10.353786	10.355145	539.637878
4315.000000	11.217133	11.173930	943.152304
4317.000000	10.849401	11.634836	1365.881019
4319.000000	12.500247	14.302848	875.088133
4321.000000	12.993548	13.752669	667.217076
4323.000000	13.062773	13.304970	1726.442994
4325.000000	12.414009	11.958437	1532.368970
4327.000000	13.890358	13.680124	866.624061
4329.000000	12.317845	12.032856	1493.519003
4331.000000	12.795161	13.969169	2085.769565
4333.000000	14.007701	14.400982	1631.932826
4335.000000	16.705275	16.754886	1493.220585
4337.000000	18.363405	17.684760	2023.042375
4339.000000	14.934867	16.362740	2136.036731
4341.000000	13.682279	11.766041	1389.758400
4343.000000	13.784993	12.810565	1669.711012
4345.000000	13.351928	13.566538	2571.090443
4347.000000	13.715466	15.607350	1658.024859
4349.000000	13.788249	12.881293	812.022916
4351.000000	12.608395	13.029695	1679.551089
4353.000000	12.768973	14.298705	1476.323200
4355.000000	12.224501	12.115722	1129.873813
4357.000000	12.667912	11.760521	1157.426277
4359.000000	10.248472	9.985499	1116.510427
4361.000000	10.061886	9.852587	905.046927
4363.000000	12.056905	11.776179	586.647847
4365.000000	11.632294	12.297059	1409.727271
4367.000000	12.230959	12.670714	1101.952121
4369.000000	10.928579	10.312452	1005.187975
4371.000000	10.859126	9.944620	744.599646
4373.000000	9.405809	9.089489	1128.361684
4375.000000	9.586739	8.128399	817.454894
4377.000000	9.669242	10.084623	352.692481
4379.000000	11.164866	12.558043	583.051823
4381.000000	10.893286	12.006195	633.141759
4383.000000	9.448649	9.760252	481.799724
4385.000000	11.801620	11.134149	322.554368
4387.000000	9.687433	9.635629	527.762972
4389.000000	9.223595	9.745054	503.424639
4391.000000	9.964154	10.060371	299.666806
4393.000000	10.609075	11.806746	506.888580
4395.000000	11.094544	10.020250	632.712832
4397.000000	9.561183	10.701765	623.208600
4399.000000	9.708091	8.341606	286.853379
4401.000000	9.177171	10.317213	1262.099381
4403.000000	10.264543	10.958284	1212.772380
4405.000000	10.361469	10.151854	836.967237
4407.000000	10.887420	10.928935	768.237742
4409.000000	11.014634	12.721769	1350.848303
4411.000000	12.323346	11.063837	778.325621
4413.000000	11.058996	10.925504	571.660088
4415.000000	13.070330	11.867748	908.643187
4417.000000	12.295807	13.371554	1302.207230
4419.000000	11.432814	12.234574	660.474382
4421.000000	11.757859	12.420980	469.915843
4423.000000	9.698528	9.545650	834.871153
4425.000000	13.563198	13.484409	637.837629
4427.000000	13.747177	13.041013	551.650598
4429.000000	12.264651	12.595613	605.721583
4431.000000	11.868990	11.781470	754.578144
4433.000000	12.249183	13.030199	627.804865
4435.000000	13.077240	13.089145	413.568522
4437.000000	15.275900	13.641766	751.335680
4439.000000	13.595017	15.146468	653.127168
4441.000000	13.920889	15.442402	514.456049
4443.000000	14.031748	13.423906	657.642821
4445.000000	15.399651	15.004798	569.372567
4447.000000	14.257519	12.819572	639.876469
4449.000000	16.586978	16.417091	515.324396
4451.000000	17.702619	19.729277	702.315662
4453.000000	14.832796	13.826369	778.277144
4455.000000	16.069141	16.754080	488.067715
4457.000000	13.509857	13.536011	499.878015
4459.000000	15.031667	15.289915	805.577320
4461.000000	14.543148	14.023957	608.554296
4463.000000	14.279735	15.202915	350.314206
4465.000000	15.517787	15.611404	958.686290
4467.000000	13.998767	14.412862	691.734118
4469.000000	15.486941	16.511219	608.276097
4471.000000	12.995494	12.437380	366.228624
4473.000000	12.939027	13.197518	699.695741
4475.000000	12.371159	12.143189	581.269314
4477.000000	13.346669	14.181772	330.197020
4479.000000	12.449399	12.201240	506.841840
4481.000000	11.948413	11.574991	596.882250
4483.000000	11.684793	11.389585	388.628533
