

# Power 3dB lower
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	14.457655	14.372749	1555.928715
3853.000000	17.885915	16.316605	1638.442359
3855.000000	16.518351	16.686800	1847.308825
3857.000000	16.526172	15.857191	1050.983222
3859.000000	15.826299	16.579719	2150.569718
3861.000000	15.455864	15.628540	2547.135705
3863.000000	19.404555	20.078665	1400.191325
3865.000000	17.601244	19.055157	2358.602077
3867.000000	18.250052	18.055626	2808.772498
3869.000000	20.293016	18.929054	1882.909491
3871.000000	19.870858	18.612625	1278.718087
3873.000000	19.016298	19.991907	2133.923263
3875.000000	60.742237	54.384765	1914.215637
3877.000000	24.778725	22.266195	1640.643401
3879.000000	22.746343	22.614129	2325.890843
3881.000000	22.172688	20.968852	2997.404407
3883.000000	22.627829	24.351923	2585.673395
3885.000000	20.251500	19.213178	1486.725862
3887.000000	28.248080	24.860172	3980.011538
3889.000000	22.213860	22.074453	3834.305656
3891.000000	26.421622	26.214881	2871.062351
3893.000000	24.654229	29.299542	3051.578831
3895.000000	23.697243	23.418231	4159.211812
3897.000000	28.191753	28.916391	3907.989782
3899.000000	26.144775	26.923543	1719.891500
3901.000000	28.107306	27.219786	3415.095252
3903.000000	29.038663	27.126687	2918.711968
3905.000000	28.690636	29.350074	2005.797805
3907.000000	31.166924	31.767905	2459.758558
3909.000000	32.316107	30.372783	3222.404829
3911.000000	31.642341	29.303999	2503.736468
3913.000000	30.375802	29.051158	1522.488829
3915.000000	30.498692	29.289049	2878.921460
3917.000000	31.754619	29.251749	2943.459490
3919.000000	31.744212	34.439961	2076.511079
3921.000000	26.838567	28.723005	1643.508950
3923.000000	28.089098	29.594231	1959.971797
3925.000000	32.231758	31.017534	1718.762120
3927.000000	27.018250	28.235198	1007.895255
3929.000000	35.456228	38.208068	1731.217254
3931.000000	30.692141	27.423973	1770.127149
3933.000000	30.800558	33.225355	1060.393970
3935.000000	34.344538	35.414531	480.399341
3937.000000	34.203036	33.049004	683.430197
3939.000000	26.998233	24.536651	216.384099
3941.000000	33.751529	38.575643	338.335223
3943.000000	27.267465	27.504327	961.187197
3945.000000	26.449561	24.147498	1078.311886
3947.000000	28.449668	30.553775	1102.904523
3949.000000	27.405131	26.931427	919.871733
3951.000000	28.700393	28.129797	2370.577951
3953.000000	23.604437	22.195497	2764.933704
3955.000000	22.637572	21.974754	2083.953528
3957.000000	22.807769	21.557557	2519.724480
3959.000000	25.623391	24.808021	2702.953782
3961.000000	22.525565	20.429872	2720.724437
3963.000000	23.291173	20.718582	1743.389901
3965.000000	23.589338	20.143054	2680.144122
3967.000000	20.941690	22.789391	3607.529166
3969.000000	21.512989	22.096587	3460.241725
3971.000000	18.178261	18.050562	2028.599493
3973.000000	17.770776	19.385409	2738.608077
3975.000000	16.245659	16.819758	3572.629146
3977.000000	19.714409	19.758648	1863.049369
3979.000000	17.773145	16.647853	3037.479180
3981.000000	16.918995	17.146560	3206.067971
3983.000000	17.422208	18.013238	2456.724733
3985.000000	20.159769	20.372033	1635.089517
3987.000000	17.302034	18.279458	4454.868641
3989.000000	20.107814	19.133073	4219.629019
3991.000000	18.746785	17.430199	3613.201295
3993.000000	23.192736	23.236032	5104.769717
3995.000000	20.714119	20.704757	7808.334637
3997.000000	23.026935	19.819245	8156.334341
3999.000000	19.652416	23.085195	4014.378183
4001.000000	21.895154	23.311085	10628.527953
4003.000000	22.346965	21.409299	9683.748394
4005.000000	20.112788	21.825866	6445.946560
4007.000000	23.186105	21.503768	6553.800795
4009.000000	20.747277	21.697572	8472.536733
4011.000000	22.982853	26.281087	7219.877337
4013.000000	24.800681	22.743229	2932.686433
4015.000000	23.428377	21.413298	5889.489744
4017.000000	21.181746	18.425693	7088.281787
4019.000000	25.620081	24.705057	4654.805444
4021.000000	22.550963	22.616771	3425.775080
4023.000000	28.880065	26.465899	4577.751996
4025.000000	26.629553	26.910263	4209.401573
4027.000000	25.956841	24.139168	3619.465296
4029.000000	29.521693	27.865585	4920.777442
