

# Way off sample and on ground plane
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	15.421099	13.499975	1045.003665
3853.000000	14.363663	14.975999	1559.127646
3855.000000	13.130681	14.094114	847.128642
3857.000000	11.533176	10.756029	1342.404905
3859.000000	12.457770	12.100741	2310.569529
3861.000000	11.962552	13.394546	1799.318902
3863.000000	11.585138	12.299494	1014.454657
3865.000000	12.163630	12.712912	1458.059755
3867.000000	13.896469	15.047148	2365.328403
3869.000000	13.949620	13.187709	2226.738739
3871.000000	12.427175	12.795920	976.715651
3873.000000	14.009047	11.638218	1942.946527
3875.000000	15.430052	14.418301	2808.070398
3877.000000	15.191280	14.322910	1725.635471
3879.000000	14.911259	15.840532	1545.773881
3881.000000	18.318585	17.004780	5303.126652
3883.000000	17.175091	16.201203	2849.954081
3885.000000	19.544795	17.552186	2094.725064
3887.000000	16.733824	16.513606	3487.779535
3889.000000	19.267108	22.442932	5104.251134
3891.000000	18.569450	17.762088	1815.437893
3893.000000	18.519552	17.107375	4838.787052
3895.000000	19.322496	18.811251	6560.364575
3897.000000	22.346092	20.775222	5832.541906
3899.000000	21.662296	20.185461	3062.413447
3901.000000	25.827754	25.597878	3848.678912
3903.000000	24.431700	25.300039	7736.091896
3905.000000	30.340972	30.547601	2676.901417
3907.000000	30.908941	28.371172	3803.438125
3909.000000	39.118033	36.252258	4342.895877
3911.000000	22.876170	23.442173	2955.756403
3913.000000	31.101882	33.673137	2726.590307
3915.000000	25.749828	23.506634	3008.228085
3917.000000	25.943768	25.091796	5138.128706
3919.000000	27.173807	24.236611	3083.016926
3921.000000	33.360437	33.171851	2943.466889
3923.000000	25.673215	26.103762	2526.316416
3925.000000	27.348303	25.262064	2358.586283
3927.000000	27.782665	27.721725	1700.208384
3929.000000	28.801383	28.695822	2012.815511
3931.000000	29.872453	29.007890	1855.388399
3933.000000	30.118351	32.722726	1442.368565
3935.000000	30.968965	32.532254	1294.877420
3937.000000	30.760228	26.516431	963.026180
3939.000000	25.719641	25.243626	899.696496
3941.000000	31.288587	32.294444	834.269797
3943.000000	25.371029	26.648560	846.785994
3945.000000	25.455949	25.324999	1112.052116
3947.000000	24.397636	24.512250	1442.872973
3949.000000	23.937635	24.992232	907.261962
3951.000000	21.623477	22.361626	1971.979603
3953.000000	24.780580	25.202929	3184.071854
3955.000000	20.188783	19.996195	2344.944983
3957.000000	17.313179	16.284991	2222.505151
3959.000000	16.208369	17.547091	3143.891052
3961.000000	17.625865	16.346639	2668.440451
3963.000000	18.996280	19.947458	849.277955
3965.000000	16.717645	16.520494	2415.705852
3967.000000	15.834497	16.785857	3899.268883
3969.000000	13.254361	13.006133	2927.552704
3971.000000	13.980598	13.982420	2162.300368
3973.000000	12.959955	12.484826	3511.716275
3975.000000	13.217868	12.981802	3542.169690
3977.000000	12.888934	11.859820	955.955739
3979.000000	14.022058	13.267887	1891.329860
3981.000000	13.425970	13.751166	2478.187499
3983.000000	12.999479	12.318749	2081.060777
3985.000000	13.811267	13.456924	1681.477723
3987.000000	10.426337	9.067687	3101.350813
3989.000000	13.451967	11.456281	4024.442951
3991.000000	13.288391	14.350219	3098.110102
3993.000000	12.363296	12.717152	4015.742978
3995.000000	12.450344	13.293513	6887.573184
3997.000000	12.547769	11.338352	6207.331463
3999.000000	13.294624	13.022196	3200.163055
4001.000000	14.139245	13.238956	7871.838242
4003.000000	11.295889	11.865240	8425.407088
4005.000000	11.825728	11.197123	5596.451841
4007.000000	14.196702	15.339700	5305.329037
4009.000000	13.538771	14.247610	7733.175316
4011.000000	14.146302	14.409105	5415.021781
4013.000000	15.307175	16.686174	3052.553801
4015.000000	15.123900	15.459478	4250.695145
4017.000000	17.109640	16.987582	4839.035765
4019.000000	18.757581	17.305053	3261.125555
4021.000000	16.688589	16.245572	2935.465566
4023.000000	19.657330	20.007992	3049.747723
4025.000000	19.682206	19.155182	3388.440835
4027.000000	20.546274	18.792527	2082.146999
4029.000000	21.573759	22.623685	3684.128786
4031.000000	21.137541	21.210079	4898.078658
4033.000000	22.183157	20.517633	3023.180282
4035.000000	22.308055	25.809930	2105.340700
4037.000000	26.509862	26.713681	2729.503389
4039.000000	24.597787	24.014982	2945.797607
4041.000000	26.655564	23.705405	1403.418016
4043.000000	31.628834	33.479794	1725.538615
4045.000000	31.915348	34.239326	2556.047993
4047.000000	33.757531	31.545551	2009.818768
4049.000000	35.395506	34.878533	1150.077518
4051.000000	34.063079	35.087289	2094.156958
4053.000000	34.812466	33.289355	1823.783641
4055.000000	44.064636	44.626162	861.629471
4057.000000	33.402586	36.217429	598.848621
4059.000000	41.589182	42.189505	1510.057574
4061.000000	42.032827	45.779677	669.897716
4063.000000	43.691119	44.210206	309.219902
4065.000000	41.913230	40.490058	790.903452
4067.000000	52.308793	48.769621	745.023005
4069.000000	44.053280	42.867997	430.278720
4071.000000	43.993240	45.988358	464.990502
4073.000000	45.961764	44.889412	322.972056
4075.000000	41.410826	37.468924	157.530190
4077.000000	45.190003	48.431898	247.138853
4079.000000	49.479794	46.989176	470.794210
4081.000000	49.150023	45.532735	240.551785
4083.000000	44.434947	42.385070	916.713639
4085.000000	37.742118	31.895349	556.135937
4087.000000	37.720490	35.916332	608.000662
4089.000000	39.785872	35.023134	928.117469
4091.000000	37.020484	37.844819	539.652954
4093.000000	29.245620	28.521277	391.754597
4095.000000	35.460076	33.341977	724.724550
4097.000000	29.380994	29.344709	1852.121132
4099.000000	29.801429	30.909459	976.312999
4101.000000	28.140908	27.021121	2091.786477
4103.000000	29.939234	28.434169	2209.351921
4105.000000	28.224531	28.676489	1316.471107
4107.000000	24.584728	23.825775	931.756157
4109.000000	25.107912	26.410447	1651.693889
4111.000000	21.144092	20.885740	1387.653664
4113.000000	23.464787	24.216794	861.756167
4115.000000	21.611051	20.845584	991.139517
4117.000000	19.521597	19.898705	1633.657274
4119.000000	19.223099	20.204840	901.646726
4121.000000	19.231449	18.120739	627.217874
4123.000000	16.608466	14.946865	861.469951
4125.000000	15.932464	14.579753	697.782767
4127.000000	13.991350	16.437624	346.096279
4129.000000	14.971697	13.983623	513.579227
4131.000000	13.773958	14.325269	689.347534
4133.000000	11.334033	10.857649	753.494794
4135.000000	10.943504	10.429242	414.786242
4137.000000	12.950514	13.992689	1111.387741
4139.000000	12.567351	12.579284	918.825299
4141.000000	10.894942	11.243379	494.748613
4143.000000	10.461726	9.655754	593.539963
4145.000000	10.063310	10.047403	796.849569
4147.000000	9.297731	9.353390	260.309103
4149.000000	8.647979	9.111624	149.441130
4151.000000	9.116504	8.847574	324.694704
4153.000000	7.491723	7.791482	313.619971
4155.000000	8.247881	8.129232	273.838577
4157.000000	8.036364	7.539861	238.661867
4159.000000	7.239845	7.283817	346.064164
4161.000000	6.875265	7.376102	228.151947
4163.000000	6.927846	7.073692	104.485563
4165.000000	7.393662	6.538251	119.005949
4167.000000	6.285011	7.008996	115.153836
4169.000000	7.275805	6.345525	88.748414
4171.000000	6.392404	5.519757	101.940506
4173.000000	6.562616	5.529563	29.369974
4175.000000	6.058580	5.945100	125.024659
4177.000000	8.492895	8.938963	41.125848
4179.000000	8.448475	8.808232	90.891158
4181.000000	9.614395	9.980800	39.835072
4183.000000	10.319302	9.793249	72.657498
4185.000000	11.033247	11.196043	60.692803
4187.000000	12.028352	11.689733	134.979300
4189.000000	12.014708	11.812032	112.141145
4191.000000	11.019750	11.180718	100.406676
4193.000000	12.897957	13.223063	97.778656
4195.000000	13.650722	14.222032	375.475909
4197.000000	14.203640	12.104698	257.121815
4199.000000	13.181802	15.007663	71.422220
4201.000000	14.769516	14.286329	172.423574
4203.000000	13.035458	13.201805	134.051142
4205.000000	13.151576	12.289532	251.240393
4207.000000	13.920238	14.480319	191.112285
4209.000000	14.526217	13.237606	403.433838
4211.000000	14.664041	14.815983	213.019315
4213.000000	15.415536	13.607749	117.326491
4215.000000	13.694687	13.780877	161.517949
4217.000000	15.625754	15.042029	217.782192
4219.000000	18.904033	19.887607	195.906116
4221.000000	21.217967	20.184946	213.563959
4223.000000	21.425255	18.855164	233.254418
4225.000000	18.589708	18.863370	135.554540
4227.000000	26.372783	30.457429	175.164542
4229.000000	19.732511	18.457100	159.694731
4231.000000	17.590088	18.266707	313.962669
4233.000000	15.303240	15.127386	330.214298
4235.000000	18.417686	19.551417	153.878920
4237.000000	18.900930	17.453296	547.706247
4239.000000	18.057667	16.843440	393.236070
4241.000000	18.445856	18.903707	233.580536
4243.000000	18.479168	19.149304	160.185478
4245.000000	24.349526	24.727333	280.091154
