

# Refocussed
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	0.933517	0.889804	1045.698386
3853.000000	0.906704	0.846363	1200.829785
3855.000000	1.059996	1.030817	863.239549
3857.000000	1.123396	1.171638	992.610713
3859.000000	1.055151	0.980104	1443.255826
3861.000000	1.250855	1.267565	1308.110135
3863.000000	1.177868	1.245039	728.322609
3865.000000	1.133539	1.227310	1187.593641
3867.000000	1.103348	1.114289	1526.279264
3869.000000	0.894790	0.885013	905.947598
3871.000000	0.850054	0.816346	838.494344
3873.000000	0.837757	0.813486	1368.423691
3875.000000	0.880554	0.855434	1421.856634
3877.000000	0.768892	0.817513	941.198093
3879.000000	0.961895	1.104152	1537.023976
3881.000000	0.874153	0.926860	2067.396903
3883.000000	0.947127	0.842835	1714.326771
3885.000000	1.062150	1.102013	1165.809434
3887.000000	0.991753	1.027281	1919.749203
3889.000000	1.072881	1.178469	2174.031540
3891.000000	1.124838	1.302196	1179.209421
3893.000000	0.966100	1.032113	1628.523278
3895.000000	1.211542	1.235875	1952.567058
3897.000000	1.286624	1.312246	1683.313397
3899.000000	1.535357	1.478919	794.190085
3901.000000	2.775813	2.735222	1492.194114
3903.000000	4.150749	4.006690	1309.749506
3905.000000	5.270877	5.602940	815.181086
3907.000000	7.695500	7.275380	762.132329
3909.000000	6.964527	7.334928	1500.183342
3911.000000	5.872473	5.729204	1125.249473
3913.000000	4.766761	4.769636	616.028837
3915.000000	5.070706	4.712272	1037.466334
3917.000000	3.205973	3.108843	1262.108409
3919.000000	2.772906	2.704821	963.046010
3921.000000	2.413454	2.345159	921.318528
3923.000000	2.539557	2.327402	1664.152796
3925.000000	2.428114	2.234858	1270.766188
3927.000000	2.052823	2.105048	793.216582
3929.000000	2.559557	2.629062	1085.800554
3931.000000	2.964813	2.692695	1212.138468
3933.000000	3.536171	3.565442	961.030228
3935.000000	3.774185	3.624441	429.308387
3937.000000	3.482217	3.488407	512.240744
3939.000000	3.075101	3.176091	440.569669
3941.000000	3.635896	4.054634	212.251749
3943.000000	3.729244	3.642395	257.237366
3945.000000	2.795971	2.667433	433.990128
3947.000000	2.884321	2.565172	469.515895
3949.000000	2.650543	2.768205	291.996219
3951.000000	2.272299	2.274323	693.575016
3953.000000	2.060251	2.218123	1011.150776
3955.000000	1.935823	2.033229	721.746659
3957.000000	1.665137	1.542901	799.645718
3959.000000	1.452511	1.302885	1150.835296
3961.000000	1.391478	1.388760	929.705141
3963.000000	1.186823	1.237964	504.143832
3965.000000	1.067336	1.022604	1064.671246
3967.000000	1.038766	0.966374	1244.126002
3969.000000	1.034669	0.998096	927.915172
3971.000000	0.936550	0.945699	731.154657
3973.000000	0.920177	0.848207	1065.457200
3975.000000	0.953981	0.886170	877.945797
3977.000000	0.840575	0.868811	448.982814
3979.000000	0.716340	0.738242	530.917986
3981.000000	0.745735	0.741455	602.758058
3983.000000	0.723418	0.690949	498.571823
3985.000000	0.970265	1.060958	391.008588
3987.000000	0.880162	0.874003	821.614105
3989.000000	0.822336	0.745233	1052.670655
3991.000000	1.106414	0.975134	702.863380
3993.000000	0.877963	0.982713	947.335054
3995.000000	1.014045	0.975089	1566.875219
3997.000000	1.139392	1.138170	1365.504380
3999.000000	1.223704	1.273900	725.481440
4001.000000	1.415835	1.561327	1501.875711
4003.000000	1.577920	1.665278	1783.795507
4005.000000	1.471859	1.438846	1186.152049
4007.000000	1.405244	1.319017	1009.677428
4009.000000	1.695724	1.822509	1478.950799
4011.000000	1.607271	1.588358	970.671210
4013.000000	1.677643	1.593023	394.932882
4015.000000	2.130003	2.071937	609.328445
4017.000000	2.251467	2.017659	692.414020
4019.000000	2.527403	2.262157	497.654449
4021.000000	2.585682	2.587582	304.413724
4023.000000	2.794607	2.718847	674.674783
4025.000000	2.561014	2.542648	629.519216
4027.000000	2.920687	3.250583	480.841575
4029.000000	3.046659	2.861240	569.572079
4031.000000	3.302673	3.694348	852.905219
4033.000000	3.338383	3.748830	674.028900
4035.000000	3.347705	3.330915	472.434966
4037.000000	3.677233	3.297205	888.551574
4039.000000	3.331354	3.545414	966.592857
4041.000000	4.201314	4.342214	596.617022
4043.000000	4.797054	4.569781	627.029425
4045.000000	4.080517	4.475136	834.951453
4047.000000	4.667718	4.911362	668.655939
4049.000000	4.325803	4.212780	340.370807
4051.000000	5.112976	4.626078	643.118576
4053.000000	4.831953	4.600402	646.350934
4055.000000	5.399789	5.379280	287.438340
4057.000000	5.379177	5.317035	225.045930
4059.000000	5.279120	5.221091	200.490964
4061.000000	4.975995	5.051528	157.761580
4063.000000	4.744497	4.858116	84.669337
4065.000000	4.322711	4.857073	166.733360
4067.000000	3.826661	3.424382	187.198816
4069.000000	3.846735	3.502496	99.128169
4071.000000	3.165370	3.349914	143.285350
4073.000000	3.275714	3.205403	264.055140
4075.000000	3.148867	3.031220	222.724643
4077.000000	3.149821	3.139378	136.464250
4079.000000	3.256392	3.258908	270.605548
4081.000000	2.815550	2.609894	507.742748
4083.000000	2.124230	2.255061	410.345974
4085.000000	2.228688	2.174052	298.698288
4087.000000	2.041588	2.128052	606.549485
4089.000000	1.601395	1.591985	611.687233
4091.000000	1.942448	1.858169	515.002014
4093.000000	1.502283	1.279099	667.212006
4095.000000	1.492276	1.608618	1130.553135
4097.000000	1.478876	1.630856	993.039213
4099.000000	1.258285	1.171311	554.823950
4101.000000	1.210974	1.207531	1128.178676
4103.000000	1.026586	1.000740	994.300924
4105.000000	1.042178	1.036482	594.738171
4107.000000	0.924217	0.903748	577.533883
4109.000000	0.831145	0.735143	821.801680
4111.000000	0.818354	0.786720	700.640936
4113.000000	0.774866	0.774257	341.898828
4115.000000	0.486891	0.566995	595.949997
4117.000000	0.601588	0.587143	681.411676
4119.000000	0.521106	0.552946	451.113736
