

# Arc lamp removed
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	2.063418	1.932753	392.241364
3853.000000	1.918555	1.947207	422.482591
3855.000000	2.134583	2.004336	296.899021
3857.000000	1.894867	1.780903	303.550388
3859.000000	1.864856	1.875683	556.879537
3861.000000	1.363354	1.190444	503.497980
3863.000000	1.168643	1.177853	304.552499
3865.000000	1.242738	1.160414	637.722933
3867.000000	1.227738	1.242926	744.702209
3869.000000	1.179612	1.206532	478.762170
3871.000000	1.193868	1.247749	366.446462
3873.000000	0.690047	0.701536	615.082247
3875.000000	0.738826	0.657589	502.169963
3877.000000	0.971519	0.923106	308.661642
3879.000000	1.029995	0.951348	400.897186
3881.000000	1.230343	1.134250	581.794344
3883.000000	1.248827	1.243239	561.576432
3885.000000	1.458378	1.426415	373.747676
3887.000000	1.404505	1.388229	711.254600
3889.000000	1.345526	1.257452	703.492171
3891.000000	1.369098	1.473647	490.108117
3893.000000	1.653614	1.734762	532.173774
3895.000000	1.974549	1.992583	730.259146
3897.000000	1.931978	1.921919	622.909624
3899.000000	2.287215	2.001247	291.322147
3901.000000	2.611146	2.713598	641.363857
3903.000000	4.087460	3.534698	554.485495
3905.000000	5.780802	5.144408	292.337123
3907.000000	7.388067	6.474864	268.617725
3909.000000	7.462236	7.519578	360.539360
3911.000000	7.337014	7.078120	325.662268
3913.000000	4.996756	5.838826	160.089345
3915.000000	4.263501	4.919002	177.345677
3917.000000	3.758069	4.019944	204.774218
3919.000000	3.481819	3.285568	241.273773
3921.000000	3.074622	3.230154	121.106737
3923.000000	2.726033	2.330790	311.759661
3925.000000	2.953062	2.723320	346.172214
3927.000000	2.823519	2.642270	199.207958
3929.000000	2.842614	2.870023	303.497901
3931.000000	3.599631	3.389659	276.394993
3933.000000	4.431988	5.119025	267.137605
3935.000000	4.227026	4.406338	121.491098
3937.000000	4.268263	4.275493	96.095710
3939.000000	4.254240	3.947527	31.434821
3941.000000	4.322193	4.296885	25.112775
3943.000000	3.772195	3.749026	45.815832
3945.000000	3.630457	3.383642	74.388816
3947.000000	3.694250	3.446758	130.209834
3949.000000	3.535304	3.269480	118.701664
3951.000000	2.424485	2.511042	277.325908
3953.000000	2.459286	2.160435	384.844574
3955.000000	1.810632	1.768895	266.981964
3957.000000	2.049091	1.980196	309.284165
3959.000000	1.754346	1.903005	394.015544
3961.000000	1.724646	1.701641	327.941313
3963.000000	1.297521	1.344348	176.545580
3965.000000	1.291705	1.148130	400.484556
3967.000000	1.449023	1.495978	501.421508
3969.000000	1.243169	1.188866	304.477743
3971.000000	1.404487	1.250159	219.908677
3973.000000	1.376106	1.308765	296.663674
3975.000000	1.149047	1.136919	217.302980
3977.000000	1.237210	1.311152	95.083485
3979.000000	1.419565	1.335257	94.163947
3981.000000	1.394033	1.307126	201.963308
3983.000000	1.445021	1.313904	158.663951
3985.000000	1.581157	1.531632	142.840364
3987.000000	1.582697	1.534207	260.481986
3989.000000	1.486057	1.539509	321.590549
3991.000000	1.531418	1.393262	210.933123
3993.000000	1.617707	1.629427	251.936200
3995.000000	1.633380	1.637373	365.850201
3997.000000	1.615113	1.664868	401.599140
3999.000000	1.739537	1.666421	274.802062
4001.000000	1.926842	1.970953	651.414731
4003.000000	1.951314	1.863828	710.073284
4005.000000	1.746691	1.751458	407.829394
4007.000000	2.082457	1.853440	411.457647
4009.000000	2.582342	2.454910	630.383939
4011.000000	2.707845	3.023091	394.637869
4013.000000	2.804484	3.295125	173.458977
4015.000000	3.024845	2.807296	378.594676
4017.000000	2.954399	2.758021	416.635249
4019.000000	3.034207	2.776424	212.588407
4021.000000	3.718422	4.111576	189.814957
4023.000000	3.437370	3.365718	395.365709
4025.000000	4.008434	4.273363	487.685128
4027.000000	3.628085	3.360110	263.943342
4029.000000	4.481769	4.638215	308.915011
4031.000000	4.721615	4.665064	342.036745
4033.000000	4.893086	5.058417	234.515080
4035.000000	4.165741	4.434056	206.036883
4037.000000	5.427807	5.788328	99.158872
4039.000000	6.138695	6.340788	147.526464
4041.000000	5.902459	6.526368	127.511499
4043.000000	5.667175	5.336500	137.762123
4045.000000	6.044847	5.940931	175.109459
4047.000000	5.963307	5.267337	102.256013
4049.000000	6.834081	7.533041	96.862734
4051.000000	6.185522	5.860659	184.046383
4053.000000	6.200434	5.670921	145.015146
4055.000000	5.815238	6.213956	120.795716
4057.000000	5.697424	5.350098	30.357710
4059.000000	5.961340	5.922609	42.656786
4061.000000	5.389789	5.629590	45.734025
4063.000000	6.037820	5.837839	36.896631
4065.000000	5.084776	4.662925	149.838284
4067.000000	4.860081	4.523865	127.738457
4069.000000	4.241978	3.803934	52.665544
4071.000000	4.349191	3.607765	57.506215
4073.000000	4.230498	4.324353	95.673594
4075.000000	3.777062	3.464941	128.350110
4077.000000	3.042890	3.159574	96.589198
4079.000000	3.666132	3.624578	272.424774
4081.000000	2.987427	2.909458	331.124267
4083.000000	2.715938	2.438560	315.837289
4085.000000	2.405096	2.610527	151.983768
4087.000000	2.234957	2.224452	375.661167
4089.000000	1.934688	1.877170	342.442862
4091.000000	1.641047	1.692202	325.143515
4093.000000	1.719681	1.719948	384.615657
4095.000000	1.428258	1.412057	716.295497
4097.000000	1.373481	1.232225	601.687285
4099.000000	1.326233	1.300856	265.444989
4101.000000	1.241267	1.229312	609.544355
4103.000000	1.186701	1.158686	666.307380
4105.000000	0.850223	0.731424	389.334776
4107.000000	0.980193	1.005522	404.315144
4109.000000	0.793311	0.726229	666.640125
4111.000000	0.656795	0.639072	628.514662
4113.000000	0.774069	0.792046	301.231064
4115.000000	0.578203	0.538079	519.221515
4117.000000	0.503326	0.484190	614.940577
4119.000000	0.623009	0.605208	340.932200
4121.000000	0.539037	0.515317	248.397773
4123.000000	0.449555	0.450025	383.154022
4125.000000	0.408737	0.431136	335.425874
4127.000000	0.425238	0.436294	169.755611
4129.000000	0.470387	0.502947	287.568000
4131.000000	0.437556	0.361343	365.277373
4133.000000	0.414447	0.409277	256.550057
4135.000000	0.356181	0.367794	182.736648
4137.000000	0.352231	0.344604	375.089581
4139.000000	0.297114	0.308783	377.023701
4141.000000	0.336732	0.343493	235.905760
4143.000000	0.334625	0.339913	286.847613
4145.000000	0.272495	0.259577	368.966500
4147.000000	0.286717	0.303892	270.808855
4149.000000	0.259300	0.256041	113.716146
4151.000000	0.304034	0.295056	202.074500
4153.000000	0.259148	0.251374	178.420769
4155.000000	0.278734	0.275385	106.615957
4157.000000	0.264584	0.270178	73.426801
4159.000000	0.303165	0.283344	91.115292
4161.000000	0.270600	0.273590	72.533816
4163.000000	0.219492	0.203220	29.003310
4165.000000	0.238613	0.235073	69.227910
4167.000000	0.239932	0.240589	58.235349
4169.000000	0.297606	0.299033	30.738235
4171.000000	0.256142	0.254946	32.444136
4173.000000	0.270472	0.301630	45.965362
4175.000000	0.361516	0.398236	52.750381
4177.000000	0.417233	0.409144	36.378762
4179.000000	0.452939	0.466319	63.830608
4181.000000	0.684256	0.745468	81.635087
4183.000000	0.753615	0.621591	46.455430
4185.000000	0.843741	0.787725	47.524269
4187.000000	1.068869	1.075566	74.427406
4189.000000	1.354633	1.410173	93.327790
4191.000000	1.411844	1.511517	49.381367
4193.000000	1.494263	1.332603	66.014723
4195.000000	1.659724	1.769967	70.451314
4197.000000	1.737023	1.761164	42.855474
4199.000000	1.958831	1.846780	23.892218
4201.000000	2.082073	2.169658	42.090542
4203.000000	2.424744	2.277541	68.016783
4205.000000	2.314219	2.659949	35.604591
4207.000000	1.876829	1.698108	29.263721
4209.000000	2.046388	2.011250	94.991450
4211.000000	2.799836	2.942195	53.043569
4213.000000	2.919141	2.924038	45.927234
4215.000000	3.334083	3.135755	46.875782
4217.000000	3.261137	3.148447	62.823192
4219.000000	3.974128	3.703958	50.506453
4221.000000	3.296988	3.361420	65.498754
4223.000000	3.276194	3.146945	54.715657
4225.000000	4.004495	3.741450	39.763913
4227.000000	3.585528	3.372138	33.062966
4229.000000	2.948290	2.771905	42.441003
4231.000000	2.238800	2.056844	58.219311
4233.000000	1.988716	2.184523	24.143354
4235.000000	2.269841	1.955031	20.869472
4237.000000	2.371497	2.210545	52.170750
4239.000000	1.974592	1.804922	16.778039
4241.000000	1.839428	1.816823	16.846883
4243.000000	1.413254	1.278130	6.712238
4245.000000	1.306588	1.294473	5.832194
4247.000000	1.196096	1.015900	6.022846
4249.000000	1.205377	1.227519	5.888550
4251.000000	0.953459	0.958568	15.098145
4253.000000	0.976746	1.125234	4.211355
4255.000000	0.996703	1.023879	7.880062
4257.000000	0.822215	0.829550	14.147499
4259.000000	0.762930	0.726832	23.749357
4261.000000	0.670888	0.667710	35.603999
4263.000000	0.713686	0.718319	17.409167
4265.000000	0.691247	0.764422	43.213661
4267.000000	0.556247	0.530220	59.688864
4269.000000	0.582388	0.538994	53.218206
4271.000000	0.577997	0.572330	43.604061
4273.000000	0.480237	0.477498	63.611062
4275.000000	0.454362	0.532754	57.591314
4277.000000	0.533198	0.477299	30.254883
4279.000000	0.390576	0.405978	40.083620
4281.000000	0.334198	0.319215	51.419999
4283.000000	0.319207	0.313377	45.251741
4285.000000	0.238353	0.224611	41.838294
4287.000000	0.259095	0.256220	59.621227
4289.000000	0.185248	0.160899	52.734180
4291.000000	0.175651	0.181077	29.390622
4293.000000	0.158945	0.143093	22.290442
4295.000000	0.167565	0.150500	39.185753
4297.000000	0.173067	0.180804	27.905381
4299.000000	0.156624	0.162562	15.293145
4301.000000	0.154668	0.153399	31.231516
4303.000000	0.183082	0.172856	29.821949
4305.000000	0.132773	0.138540	18.142696
4307.000000	0.152433	0.160194	14.240629
4309.000000	0.152455	0.157200	34.401912
4311.000000	0.173343	0.159395	31.626432
4313.000000	0.190706	0.184444	22.659952
4315.000000	0.258313	0.250828	50.498649
4317.000000	0.292148	0.266208	78.544916
4319.000000	0.389101	0.397833	64.767393
4321.000000	0.362122	0.389894	48.861802
4323.000000	0.469792	0.392927	122.620508
4325.000000	0.573049	0.589266	139.095743
4327.000000	0.623041	0.676160	91.647536
4329.000000	0.557352	0.558026	174.442351
4331.000000	0.551114	0.503291	235.581871
4333.000000	0.818924	0.813057	206.839810
4335.000000	0.844645	0.769106	155.511032
4337.000000	0.650289	0.675767	328.511731
4339.000000	0.794365	0.752611	324.119777
4341.000000	0.812758	0.864320	210.621973
4343.000000	0.511620	0.524095	312.509572
4345.000000	0.668585	0.701956	365.044285
4347.000000	0.736525	0.665273	295.677650
4349.000000	0.600663	0.597188	167.026941
4351.000000	0.667563	0.573206	310.802784
4353.000000	0.632118	0.691124	336.531038
4355.000000	0.710282	0.748629	186.271386
4357.000000	0.553910	0.558348	185.033247
4359.000000	0.655876	0.667307	281.225180
4361.000000	0.571023	0.562266	211.872428
4363.000000	0.701323	0.652053	135.166803
4365.000000	0.578493	0.560581	258.829741
4367.000000	0.586621	0.594172	275.418891
4369.000000	0.582001	0.578938	161.697103
4371.000000	0.509241	0.509188	126.901215
4373.000000	0.534000	0.540660	211.299717
4375.000000	0.465261	0.495624	184.751745
4377.000000	0.645967	0.626595	93.480427
4379.000000	0.450826	0.478708	171.522401
4381.000000	0.494016	0.510778	144.877038
4383.000000	0.556519	0.519699	112.901677
4385.000000	0.533164	0.518788	77.971997
4387.000000	0.615654	0.622904	139.837116
4389.000000	0.594853	0.598457	148.167316
4391.000000	0.653129	0.619339	99.385104
4393.000000	0.680533	0.616188	125.287961
4395.000000	0.882661	0.947883	204.640469
4397.000000	0.853057	0.862225	153.332653
4399.000000	1.105648	1.082530	114.199800
4401.000000	1.370676	1.405245	221.875853
4403.000000	1.409637	1.311108	305.514662
4405.000000	1.746672	1.713763	202.315995
4407.000000	1.759068	1.696594	203.264215
4409.000000	1.797105	1.604690	285.459793
4411.000000	1.946317	2.224777	232.679477
4413.000000	2.032513	1.874186	133.215368
4415.000000	2.247076	2.271585	235.509383
4417.000000	1.921875	1.826799	236.961484
4419.000000	1.658311	1.668267	134.349720
4421.000000	1.821741	1.741806	185.703575
4423.000000	1.521110	1.657117	228.852319
4425.000000	1.678489	1.620375	225.746179
4427.000000	1.425210	1.432917	119.885196
4429.000000	1.385626	1.496488	192.603638
4431.000000	1.198994	1.170832	220.915247
4433.000000	1.217433	1.224213	182.957544
4435.000000	1.041873	1.184030	99.763414
4437.000000	1.151110	1.315989	184.866489
4439.000000	0.935396	0.951571	191.266813
4441.000000	0.843692	0.893745	110.867333
4443.000000	0.812759	0.811423	175.371975
4445.000000	0.842010	0.826571	241.234691
4447.000000	0.794327	0.752490	186.395574
4449.000000	0.740239	0.725630	111.668035
4451.000000	0.644915	0.642889	245.950321
4453.000000	0.656904	0.615438	270.151454
4455.000000	0.469209	0.472734	193.048034
4457.000000	0.534382	0.548462	206.665789
4459.000000	0.490351	0.483561	268.974190
4461.000000	0.426913	0.484433	281.584156
4463.000000	0.447913	0.453898	157.080236
4465.000000	0.335571	0.305067	336.271662
4467.000000	0.361221	0.353685	475.841772
4469.000000	0.315112	0.325728	360.004398
4471.000000	0.311284	0.278844	277.843057
4473.000000	0.297327	0.308254	497.213330
4475.000000	0.309042	0.292873	446.052036
4477.000000	0.273871	0.233029	210.460192
4479.000000	0.289477	0.302347	324.958071
4481.000000	0.301873	0.301754	373.960731
4483.000000	0.297121	0.315883	294.442442
4485.000000	0.294911	0.297264	189.742270
4487.000000	0.344499	0.344384	345.469244
4489.000000	0.410768	0.420860	357.128654
4491.000000	0.424777	0.435634	218.521836
4493.000000	0.533221	0.536479	242.332722
4495.000000	0.509207	0.486787	350.712982
4497.000000	0.527143	0.535968	313.869694
4499.000000	0.655483	0.711085	131.579231
4501.000000	0.777179	0.829709	291.693393
4503.000000	0.909923	0.948325	299.517445
4505.000000	0.864554	0.815817	223.473661
4507.000000	1.289653	1.315394	199.279643
4509.000000	1.456387	1.451115	324.833752
4511.000000	1.724723	1.693059	281.933719
4513.000000	2.378794	2.267683	183.588849
4515.000000	1.632064	1.445049	239.646500
4517.000000	1.566812	1.549468	347.049131
4519.000000	0.749734	0.652765	274.120125
4521.000000	0.700668	0.658201	197.848478
4523.000000	0.933870	0.879089	341.648149
4525.000000	0.853307	0.802225	351.555865
4527.000000	0.747830	0.742439	229.115818
4529.000000	0.508731	0.530707	310.069919
4531.000000	0.644390	0.603913	430.647191
4533.000000	0.506054	0.563821	310.992178
4535.000000	0.476135	0.499548	241.658076
4537.000000	0.629071	0.581816	441.284487
4539.000000	0.454805	0.421092	467.988617
4541.000000	0.488144	0.447731	235.546688
4543.000000	0.387256	0.350539	260.495803
4545.000000	0.322565	0.344665	417.580662
4547.000000	0.311187	0.311185	345.235893
4549.000000	0.286257	0.297455	177.766403
4551.000000	0.280251	0.261495	380.949823
4553.000000	0.262097	0.265782	432.358865
4555.000000	0.247965	0.254360	275.591651
4557.000000	0.212846	0.228406	272.767600
4559.000000	0.241012	0.217561	401.382800
4561.000000	0.220931	0.209141	333.858073
4563.000000	0.197171	0.204429	162.763084
4565.000000	0.227167	0.231475	239.326306
4567.000000	0.215620	0.208745	232.152206
4569.000000	0.188415	0.188693	149.881838
4571.000000	0.199883	0.213670	82.835753
4573.000000	0.207900	0.210736	152.010122
4575.000000	0.234847	0.243560	140.850394
4577.000000	0.234764	0.240919	96.305543
4579.000000	0.201140	0.219027	150.053168
4581.000000	0.248661	0.294279	205.672842
4583.000000	0.250093	0.230701	146.048880
4585.000000	0.289214	0.303835	89.024425
4587.000000	0.283333	0.281154	126.792959
4589.000000	0.259986	0.265698	100.767056
4591.000000	0.289974	0.305672	28.866127
4593.000000	0.264343	0.253502	36.223771
4595.000000	0.317111	0.305447	50.743585
4597.000000	0.316345	0.346496	59.158667
4599.000000	0.286714	0.294718	37.069143
4601.000000	0.320499	0.324596	68.313087
4603.000000	0.392120	0.396352	71.401626
4605.000000	0.368430	0.353506	45.150261
4607.000000	0.342828	0.342621	48.357575
4609.000000	0.367248	0.312709	78.439116
4611.000000	0.369176	0.372034	73.778819
4613.000000	0.441455	0.443655	39.114822
4615.000000	0.431866	0.424860	80.384770
4617.000000	0.391058	0.366202	106.585492
4619.000000	0.466928	0.444721	73.175537
