

# Standard measurement
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	113.532164	113.437392	524.818224
3853.000000	102.377270	99.458461	729.578196
3855.000000	124.785935	120.358146	876.401252
3857.000000	121.849287	125.534491	466.507835
3859.000000	137.908287	162.239906	1207.875662
3861.000000	127.995721	123.664841	443.381880
3863.000000	110.800882	93.518401	741.372441
3865.000000	117.814025	107.955022	573.441715
3867.000000	121.540835	116.499478	754.025543
3869.000000	124.419517	130.727745	450.636182
3871.000000	112.203214	104.626839	1010.892659
3873.000000	136.187702	134.771833	565.042662
3875.000000	158.141869	162.381555	1394.516881
3877.000000	120.468892	120.420006	630.979201
3879.000000	131.251595	135.280648	569.311424
3881.000000	140.221710	120.463362	369.456045
3883.000000	142.931099	144.338234	886.967679
3885.000000	120.201522	120.723959	522.143962
3887.000000	118.377421	109.107314	476.110740
3889.000000	120.206039	125.267011	539.269744
3891.000000	138.631724	144.890474	498.940475
3893.000000	121.621163	126.603759	558.285945
3895.000000	126.760921	137.000177	654.237922
3897.000000	138.230606	133.036540	821.286027
3899.000000	137.182796	125.736423	844.885221
3901.000000	135.833801	136.129420	861.887729
3903.000000	148.180300	152.576387	796.568174
3905.000000	128.510941	125.289991	571.028663
3907.000000	174.294871	161.387112	583.843938
3909.000000	128.954053	116.490811	915.748054
3911.000000	157.571126	158.595844	470.699800
3913.000000	111.681579	111.281313	556.770600
3915.000000	146.285555	152.575371	685.036643
3917.000000	128.826874	121.384493	640.694132
3919.000000	135.317306	116.323658	488.819638
3921.000000	111.527755	124.811500	552.558821
3923.000000	127.174123	125.508003	536.585764
3925.000000	118.923531	113.710651	1077.214868
3927.000000	135.189939	131.840735	413.885363
3929.000000	114.519415	109.096348	764.425002
3931.000000	108.106714	99.589246	685.049655
3933.000000	120.428044	134.803268	539.831687
3935.000000	115.609370	105.319437	588.603583
3937.000000	121.215726	133.582003	446.614246
3939.000000	117.112187	112.836691	881.240679
3941.000000	101.533638	97.930153	670.132254
3943.000000	123.971350	127.199131	520.773462
3945.000000	118.036750	131.717618	662.603191
3947.000000	116.686454	109.330837	449.558594
3949.000000	99.645322	110.898848	641.168950
3951.000000	124.799246	111.056396	1164.935382
3953.000000	133.870918	127.817383	1262.240962
3955.000000	99.616865	91.056362	955.848501
3957.000000	111.052737	106.652592	872.023128
3959.000000	102.025424	99.602305	2005.233336
3961.000000	95.335900	92.658378	1553.849103
3963.000000	109.010947	115.696907	456.925621
3965.000000	90.190770	90.009144	2004.009266
3967.000000	108.776248	96.559500	1254.367126
3969.000000	98.774483	94.159544	493.036953
3971.000000	86.870113	93.905018	468.692165
3973.000000	90.340125	92.831220	1642.168666
3975.000000	99.927591	99.628722	406.064799
3977.000000	79.135863	75.530572	846.578275
3979.000000	90.630827	95.766073	1124.463291
3981.000000	90.018535	84.589458	1383.358637
3983.000000	84.306402	84.905721	1106.918777
3985.000000	77.450890	83.565492	1074.706591
3987.000000	79.978354	80.142379	2016.543884
3989.000000	78.261844	73.674879	1378.556886
3991.000000	84.656867	85.510305	992.699037
3993.000000	75.176582	85.615293	1371.193440
3995.000000	80.391977	78.345969	1771.547759
3997.000000	72.798710	73.472427	2716.790592
3999.000000	70.477719	69.169573	1718.118448
4001.000000	77.044409	77.480078	2206.685341
4003.000000	62.060083	66.039669	687.494976
4005.000000	76.955985	79.528582	1079.584619
4007.000000	70.289334	68.309751	1310.187746
4009.000000	75.157131	73.135847	1665.110615
4011.000000	63.610782	64.018608	1668.236455
4013.000000	70.959983	74.745079	533.423766
4015.000000	69.347165	68.015978	1101.326627
4017.000000	60.033644	60.688855	1338.427929
4019.000000	53.470964	51.718047	886.946132
4021.000000	60.482795	63.499540	973.219833
4023.000000	50.826158	49.583106	1197.619066
4025.000000	58.680521	54.161116	465.396590
4027.000000	55.954197	53.991698	179.995519
4029.000000	54.754469	49.018434	822.257836
4031.000000	66.869547	66.399981	394.640080
4033.000000	47.482171	50.864962	601.512071
4035.000000	55.254470	51.601617	287.528216
4037.000000	54.073143	53.509480	609.044792
4039.000000	51.598592	51.439770	427.206064
4041.000000	53.012370	55.940771	326.227958
4043.000000	53.465799	53.035201	901.691237
4045.000000	46.644059	54.061190	606.966888
4047.000000	50.318407	50.784720	735.547540
4049.000000	54.555921	52.054705	391.417297
4051.000000	52.722219	55.317971	691.336941
4053.000000	56.321313	55.264977	429.435113
4055.000000	50.366844	53.392227	248.347507
4057.000000	51.062584	43.779478	631.891099
4059.000000	49.963599	49.922615	586.704100
4061.000000	45.781295	47.149007	615.415571
4063.000000	49.314724	48.921036	259.069594
4065.000000	48.110487	43.062305	308.817585
4067.000000	56.608132	57.720068	537.518224
4069.000000	48.453449	47.257892	304.761934
4071.000000	45.362424	46.115312	202.371932
4073.000000	47.241298	50.333732	898.978021
4075.000000	46.133130	46.931690	344.931160
4077.000000	47.194845	43.116460	362.390593
4079.000000	49.969348	44.592569	430.760746
4081.000000	38.335531	37.429643	1305.393293
4083.000000	48.415549	43.672622	421.291377
4085.000000	44.939026	41.738459	291.787692
4087.000000	45.000657	53.581291	1045.713732
4089.000000	45.224318	42.040203	590.429266
4091.000000	41.809494	36.803662	307.288496
4093.000000	47.213150	48.334832	379.768191
4095.000000	39.867421	39.329604	750.041663
4097.000000	42.385834	46.784907	1141.280733
