

# Pol at full trans
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	368.700619	376.130071	1230.194293
3853.000000	350.667686	339.475589	1193.165307
3855.000000	345.238407	347.579326	1228.707232
3857.000000	364.853657	378.853986	2080.090669
3859.000000	330.812778	349.706503	3279.394357
3861.000000	356.375188	352.518226	2371.536765
3863.000000	383.423550	373.028106	2748.693677
3865.000000	358.674189	362.068070	2331.663296
3867.000000	337.355209	298.231385	1868.740855
3869.000000	388.671774	383.745296	1529.890291
3871.000000	384.109666	437.539614	2515.374745
3873.000000	382.560945	350.557075	1395.980403
3875.000000	378.858133	393.178532	1537.070464
3877.000000	372.624133	363.975563	1476.637286
3879.000000	383.094665	368.962575	1535.651681
3881.000000	407.513598	419.490250	1326.365004
3883.000000	392.261064	329.489560	1942.229619
3885.000000	444.813426	507.737710	1804.106898
3887.000000	432.706047	391.798402	2032.622831
3889.000000	456.882733	449.210416	1996.812313
3891.000000	416.769209	427.028665	2343.646352
3893.000000	424.194511	425.868598	2121.178080
3895.000000	417.412648	416.599460	2481.917235
3897.000000	350.638928	337.207148	1159.838738
3899.000000	401.487370	390.368554	1565.027227
3901.000000	332.971911	331.184991	2621.768529
3903.000000	415.400918	435.687020	1703.139560
3905.000000	362.723974	354.508214	2342.516467
3907.000000	400.222641	413.270551	1122.640596
3909.000000	417.434877	409.805981	3172.928380
3911.000000	455.552730	475.910800	1955.500647
3913.000000	424.994830	431.846889	2089.584677
3915.000000	418.499863	436.698815	2605.405888
3917.000000	434.678910	452.721852	1441.018788
3919.000000	418.629724	334.000404	2120.114507
3921.000000	412.725892	424.767405	3061.448957
3923.000000	403.518667	360.108996	4621.426513
3925.000000	425.331582	347.986905	1596.101557
3927.000000	399.850803	385.097235	1904.401376
3929.000000	461.728266	440.272482	2774.877899
3931.000000	428.662130	404.924112	3931.220807
3933.000000	442.541690	401.546658	1756.066277
3935.000000	399.063665	392.356978	6219.449456
3937.000000	396.675695	398.508089	4555.782345
3939.000000	412.372295	445.049332	1979.454493
3941.000000	349.480542	365.506761	2174.208535
3943.000000	399.209593	423.053926	1991.337494
3945.000000	380.291725	419.391021	2027.023743
3947.000000	331.874656	314.320043	1592.603407
3949.000000	362.533420	377.147292	1697.916585
3951.000000	391.453798	383.935037	1802.119499
3953.000000	410.816107	398.965584	1567.827224
3955.000000	353.443041	341.355908	1732.308302
3957.000000	385.083771	418.963169	1785.241560
3959.000000	336.115737	359.811310	3397.733127
3961.000000	349.783553	355.838284	2280.374245
3963.000000	306.878500	287.275278	1281.679706
3965.000000	328.726583	336.929931	2596.348850
3967.000000	305.558749	305.394742	2746.465807
3969.000000	307.697974	288.361305	1813.150985
3971.000000	304.778953	259.649461	1896.316478
3973.000000	310.459066	284.919784	2307.231370
3975.000000	333.341053	301.868559	3440.876028
3977.000000	292.973698	290.697677	2652.959414
3979.000000	312.147648	304.899612	2586.818588
3981.000000	280.939098	282.867058	5785.245758
3983.000000	275.204318	240.718224	6322.192673
3985.000000	278.446981	266.926755	3556.522781
3987.000000	288.507539	302.182930	4390.884672
3989.000000	260.178631	244.043596	1758.042106
3991.000000	263.547196	240.538366	4510.138601
3993.000000	307.821043	312.274950	4739.956701
3995.000000	238.682537	223.401773	5493.638254
3997.000000	261.770107	242.099086	5340.449261
3999.000000	268.040241	258.725476	2365.517540
4001.000000	255.805210	241.349284	5635.248405
4003.000000	226.890721	227.476451	7347.145159
4005.000000	268.691546	273.253333	5838.885378
4007.000000	188.875055	193.429948	3252.872459
4009.000000	223.245534	199.772563	4479.615619
4011.000000	197.713572	182.948936	3136.821097
4013.000000	200.963607	182.905475	2905.401970
4015.000000	215.020001	226.907995	3438.768380
4017.000000	201.590765	211.763749	4321.529744
4019.000000	195.297462	180.468342	2463.630502
4021.000000	218.065966	221.944410	2718.865751
4023.000000	198.251012	182.452294	1703.903496
4025.000000	166.862429	164.034986	839.339446
4027.000000	205.938372	191.552382	707.240998
4029.000000	172.515049	169.813132	926.811711
4031.000000	213.038103	212.385746	3001.090656
4033.000000	193.575842	171.931166	1305.569587
4035.000000	222.558826	220.344013	995.036111
4037.000000	194.231180	186.401396	1281.726017
4039.000000	212.752314	205.984206	1259.695763
4041.000000	175.469303	162.938969	1157.575961
4043.000000	178.609199	152.565883	2969.659329
4045.000000	183.726508	177.294395	1044.235725
4047.000000	190.312201	179.291670	1096.915052
4049.000000	185.004989	173.415760	1210.422290
4051.000000	159.858281	184.923702	1008.230381
4053.000000	167.462542	175.091543	1066.773689
4055.000000	180.301242	182.470593	778.737086
4057.000000	181.860985	183.540685	831.685614
4059.000000	179.382144	185.669822	1818.009857
4061.000000	172.571277	163.954199	1452.639426
4063.000000	181.808756	174.880943	685.154908
4065.000000	170.667976	171.824768	855.827769
4067.000000	174.543448	152.761042	836.251977
4069.000000	165.340962	181.383435	525.885966
4071.000000	168.571736	177.974042	1023.167955
4073.000000	163.782717	160.898682	886.330952
4075.000000	176.282575	210.233468	1378.860768
4077.000000	175.439360	188.086235	986.992656
4079.000000	148.182381	139.016315	1161.337348
4081.000000	153.113670	149.346548	1725.866857
4083.000000	171.127595	188.303861	642.390183
4085.000000	165.989749	163.260589	2444.098908
4087.000000	152.311565	140.972011	1368.682118
4089.000000	181.673181	168.930090	976.629944
4091.000000	163.218659	152.366210	1622.076375
4093.000000	169.161244	155.228958	878.982345
4095.000000	183.812791	182.417079	1000.283118
4097.000000	172.488094	173.235650	887.518034
4099.000000	159.203869	168.587988	967.178038
4101.000000	158.638319	149.248159	2875.735915
4103.000000	161.856449	166.721689	593.471952
4105.000000	154.429476	179.585553	693.573216
4107.000000	170.263191	174.391444	961.196090
4109.000000	165.054107	152.870616	571.202947
4111.000000	170.128485	164.151500	1636.763290
4113.000000	155.506540	145.461914	1088.374785
4115.000000	148.905292	155.765398	761.189373
4117.000000	161.122969	145.963414	1125.453009
4119.000000	162.353034	163.300285	628.038520
4121.000000	168.716806	161.676309	867.749266
4123.000000	138.462284	156.504466	1261.335511
4125.000000	139.786716	122.965503	851.788519
4127.000000	133.554404	134.849007	808.886474
4129.000000	143.470575	144.574028	937.190528
4131.000000	150.968768	158.940395	456.159808
4133.000000	145.810942	133.821818	590.331997
4135.000000	153.164812	148.199711	785.093868
4137.000000	154.046842	134.615034	515.836900
4139.000000	166.772549	174.142265	699.992767
4141.000000	187.893479	201.523243	674.303307
4143.000000	163.552879	175.072591	721.053643
4145.000000	175.663955	189.295103	834.541234
4147.000000	184.373587	179.633174	1035.489592
4149.000000	167.640296	167.864493	1123.933412
4151.000000	138.025663	121.165464	537.023616
4153.000000	193.764704	205.744732	1155.314703
4155.000000	169.298145	159.233655	701.166545
4157.000000	133.764414	138.093783	739.626570
4159.000000	188.323953	193.860573	1251.924972
4161.000000	210.953629	210.162601	793.952131
4163.000000	190.368562	182.269616	1016.388245
4165.000000	186.054945	190.713163	938.167290
4167.000000	152.780302	155.937367	979.939327
4169.000000	176.855235	182.781845	597.237899
4171.000000	171.505612	169.165681	550.269374
4173.000000	177.316273	175.704852	760.614983
4175.000000	173.078107	179.226548	706.382350
4177.000000	185.436817	171.786012	635.658714
4179.000000	168.639172	165.420708	981.371594
4181.000000	157.930002	155.453676	1000.712766
4183.000000	174.439581	188.278109	696.925708
4185.000000	184.256443	196.785248	718.315935
4187.000000	169.827305	180.934523	730.671363
4189.000000	165.478813	162.715149	557.041627
4191.000000	187.725534	177.308061	944.892684
4193.000000	193.373101	168.577762	1185.601816
4195.000000	203.140882	204.190965	1348.014475
4197.000000	195.400336	204.496171	607.338162
4199.000000	213.615358	219.863357	1173.773313
4201.000000	208.595184	190.954394	746.654312
4203.000000	185.527260	205.637406	815.273846
4205.000000	178.513542	174.452996	662.446218
4207.000000	190.327978	169.117151	666.691694
4209.000000	216.110066	203.385442	614.756891
4211.000000	190.165726	200.140334	645.081009
4213.000000	174.522976	163.742117	1098.870837
4215.000000	227.748183	222.107582	948.660872
4217.000000	203.951198	188.780001	837.265304
4219.000000	203.391140	218.004366	1133.259953
4221.000000	199.975450	218.510790	1765.819563
4223.000000	211.516833	207.948222	765.974166
4225.000000	224.370273	223.402084	808.743867
4227.000000	208.460956	195.563945	1799.549723
4229.000000	233.655825	235.275248	813.554355
4231.000000	220.848135	212.473921	1712.492364
4233.000000	206.194588	186.606491	923.110552
4235.000000	213.840872	217.908886	1419.245578
4237.000000	211.449034	171.834055	681.724428
4239.000000	203.817376	186.950787	958.233285
4241.000000	232.791642	235.597680	1234.202737
4243.000000	216.904075	199.080436	691.219104
4245.000000	220.907688	225.103916	986.921648
4247.000000	221.088386	223.390489	1272.158195
4249.000000	227.970569	227.463515	1159.933021
4251.000000	263.686831	274.441339	855.356843
4253.000000	223.297477	241.136701	1221.421342
4255.000000	225.874006	203.734518	1496.414151
4257.000000	252.851654	247.766843	818.649575
4259.000000	246.815135	242.043091	828.787073
4261.000000	222.078411	222.625386	1081.579484
4263.000000	238.769025	241.699751	1055.333803
4265.000000	251.702607	270.753023	2142.056131
4267.000000	222.823623	208.374856	870.975963
4269.000000	240.324715	227.094711	1147.278373
4271.000000	250.221739	232.721113	1070.043783
4273.000000	232.083838	231.629177	770.905427
4275.000000	215.149457	208.311101	1406.261196
4277.000000	228.149030	246.936277	1362.304539
4279.000000	214.681372	221.536556	1007.264889
4281.000000	238.171001	234.088044	1124.629036
4283.000000	230.279108	230.036384	1110.648222
4285.000000	189.256567	180.569576	1205.082156
4287.000000	195.756275	199.790137	1044.911477
4289.000000	189.475958	171.557620	1318.722582
4291.000000	211.641029	208.031033	1217.364940
4293.000000	193.498746	180.338648	2207.041394
4295.000000	188.919170	201.311869	938.898581
4297.000000	182.754906	189.172243	878.574910
4299.000000	165.931195	162.633228	572.466935
4301.000000	157.511847	144.378764	925.638280
4303.000000	192.163470	189.698627	854.311963
4305.000000	180.616231	188.856521	811.600740
4307.000000	212.802630	226.683694	880.757051
4309.000000	193.218178	224.587271	1189.734006
4311.000000	187.854183	181.933524	888.099004
4313.000000	168.162609	156.093258	694.315780
4315.000000	204.041858	182.999838	900.615076
