

# MM connected to laser
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	398.158267	368.389161	6911.474311
3853.000000	381.374294	344.764495	5126.268135
3855.000000	458.120343	472.930724	2971.618086
3857.000000	380.543170	370.254537	2891.572252
3859.000000	386.326089	399.162772	7706.296119
3861.000000	376.444839	386.752512	5048.309946
3863.000000	403.781220	425.574299	3525.301238
3865.000000	430.428157	464.342624	7177.826123
3867.000000	435.222574	441.841037	4272.430187
3869.000000	444.049413	468.439113	3305.100627
3871.000000	388.476980	419.173450	4235.954258
3873.000000	429.237195	480.311506	6737.802004
3875.000000	444.299097	406.271243	4470.480317
3877.000000	377.804220	343.472914	4883.859059
3879.000000	475.158042	511.738104	6536.585277
3881.000000	474.009367	459.532516	5583.577473
3883.000000	555.147092	495.894844	5123.571639
3885.000000	482.487117	519.197690	4546.371781
3887.000000	426.994493	433.967113	7592.786148
3889.000000	425.304814	383.882937	11325.602453
3891.000000	457.980692	501.046112	3017.906890
3893.000000	430.326201	398.636988	6755.164949
3895.000000	497.967811	523.332230	7200.754434
3897.000000	442.593051	421.519543	5073.425647
3899.000000	476.946258	453.229531	4165.424262
3901.000000	442.881004	433.186901	10973.837732
3903.000000	490.624459	383.200681	12555.024641
3905.000000	480.191215	491.626929	2637.718645
3907.000000	473.082017	423.403146	4028.465871
3909.000000	440.472482	395.622147	5754.398507
3911.000000	437.931743	451.362368	8204.555063
3913.000000	498.457208	532.618729	3314.603427
3915.000000	441.612962	452.458437	12996.263855
3917.000000	425.676485	454.361126	7723.806798
3919.000000	432.134202	371.346995	4075.617024
3921.000000	429.626323	433.342805	4995.785983
3923.000000	514.020006	476.620334	11432.182617
3925.000000	454.923580	408.004106	10366.709545
3927.000000	485.897040	471.812956	3281.947030
3929.000000	424.310285	411.345017	8099.732404
3931.000000	445.707705	445.596273	6136.241395
3933.000000	480.059906	490.394261	5549.793721
3935.000000	496.320828	495.678005	3186.412674
3937.000000	496.042562	488.870762	8131.273719
3939.000000	429.522476	409.233936	5538.085587
3941.000000	335.087580	312.355159	5507.171686
3943.000000	380.816062	386.171638	4752.924001
3945.000000	423.278223	446.554471	6842.821340
3947.000000	409.828097	429.513510	4741.403457
3949.000000	358.378686	340.903714	4176.093273
3951.000000	393.690134	406.951516	7353.950417
3953.000000	385.915562	380.818037	3459.026237
3955.000000	397.272672	391.646857	3479.735737
3957.000000	391.999511	391.560829	5623.946421
3959.000000	390.257363	365.215066	6323.257320
3961.000000	351.451150	373.227497	2962.989669
3963.000000	314.979813	350.159405	3396.315001
3965.000000	335.923827	355.606913	4669.144785
3967.000000	308.754272	323.549649	1386.732849
3969.000000	346.625917	370.034152	2403.653807
3971.000000	352.296725	343.897995	2245.844960
3973.000000	320.933760	328.382531	3620.042192
