

# Pol at half tranmission, normal meas
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	0.092171	0.091434	818.378000
3853.000000	0.083058	0.091319	835.907754
3855.000000	0.081519	0.085521	541.674107
3857.000000	0.095695	0.093440	545.558322
3859.000000	0.082014	0.073083	780.496921
3861.000000	0.078310	0.069919	663.416650
3863.000000	0.078457	0.088435	324.410708
3865.000000	0.083207	0.084109	645.426089
3867.000000	0.078716	0.078232	838.697158
3869.000000	0.094640	0.108198	577.200066
3871.000000	0.094822	0.109553	493.173653
3873.000000	0.077194	0.075198	835.569017
3875.000000	0.095814	0.096492	755.144667
3877.000000	0.102188	0.155748	479.394544
3879.000000	0.083463	0.101122	787.422451
3881.000000	0.089225	0.083696	930.723949
3883.000000	0.095543	0.099981	700.799358
3885.000000	0.085441	0.081712	404.511779
3887.000000	0.083582	0.099506	741.133225
3889.000000	0.125801	0.131245	750.295517
3891.000000	0.095968	0.111929	411.466197
3893.000000	0.087442	0.096148	547.426232
3895.000000	0.097203	0.098668	787.191024
3897.000000	0.095457	0.098140	613.577298
3899.000000	0.090380	0.099100	286.536334
3901.000000	0.094586	0.101036	634.416780
3903.000000	0.092779	0.089477	712.710899
3905.000000	0.096111	0.104736	485.947647
3907.000000	0.102794	0.105319	499.929245
3909.000000	0.085194	0.091507	703.939073
3911.000000	0.100261	0.100769	594.042319
3913.000000	0.102966	0.111108	290.584684
3915.000000	0.096469	0.091855	587.116547
3917.000000	0.098039	0.096534	687.505069
3919.000000	0.094409	0.089709	458.971245
3921.000000	0.099505	0.111432	355.984658
3923.000000	0.091564	0.093795	540.758194
3925.000000	0.089937	0.092013	444.827640
3927.000000	0.100965	0.108959	203.469306
3929.000000	0.092454	0.094844	292.221206
3931.000000	0.088106	0.092635	385.324823
3933.000000	0.098067	0.096819	336.527771
3935.000000	0.102228	0.098295	232.352491
3937.000000	0.095480	0.110273	428.724488
3939.000000	0.093367	0.098217	459.480538
3941.000000	0.107969	0.105359	267.222066
3943.000000	0.087585	0.086727	330.797810
3945.000000	0.091389	0.089321	471.620923
3947.000000	0.087353	0.084488	394.593577
3949.000000	0.095966	0.104296	214.974362
3951.000000	0.093731	0.086740	408.464432
3953.000000	0.097436	0.104913	417.352791
3955.000000	0.101019	0.096158	244.205974
3957.000000	0.087335	0.084615	209.041804
3959.000000	0.091844	0.095950	298.178151
3961.000000	0.091257	0.096692	265.075055
3963.000000	0.105314	0.114491	113.736955
3965.000000	0.098773	0.093746	230.680012
3967.000000	0.088198	0.090742	241.159600
3969.000000	0.092857	0.100675	152.417080
3971.000000	0.088966	0.095034	122.158069
3973.000000	0.087393	0.088782	192.139762
3975.000000	0.095542	0.089387	173.120012
3977.000000	0.083965	0.080684	100.274273
3979.000000	0.090131	0.081028	155.277825
3981.000000	0.106571	0.107167	226.919190
3983.000000	0.095952	0.104745	198.560154
3985.000000	0.092340	0.093720	144.141101
3987.000000	0.089097	0.090539	288.264091
3989.000000	0.081565	0.078001	321.136825
3991.000000	0.085688	0.087861	199.215343
3993.000000	0.090989	0.092413	211.084281
3995.000000	0.089080	0.085370	338.430894
3997.000000	0.102966	0.106402	300.464552
3999.000000	0.105260	0.117762	170.378941
