

# Pol full trans, nothing else changed
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	0.124946	0.131432	2919.389459
3853.000000	0.128529	0.164665	3076.157506
3855.000000	0.143642	0.236046	1993.110932
3857.000000	0.136621	0.173064	1964.481736
3859.000000	0.102691	0.118235	2913.971761
3861.000000	0.102638	0.098158	2371.473706
3863.000000	0.114355	0.130752	1159.839397
3865.000000	0.119305	0.114203	2240.405730
3867.000000	0.106760	0.112694	2788.675260
3869.000000	0.127831	0.134701	1939.560302
3871.000000	0.122929	0.128104	1555.129943
3873.000000	0.131104	0.139028	2712.147712
3875.000000	0.123516	0.121147	2529.785731
3877.000000	0.135808	0.139704	1493.792410
3879.000000	0.131060	0.135290	2248.869039
3881.000000	0.111451	0.117792	2847.305733
3883.000000	0.142629	0.252616	2080.448490
3885.000000	0.106931	0.104581	1276.226153
3887.000000	0.137601	0.172801	2131.581490
3889.000000	0.103841	0.095805	2045.343609
3891.000000	0.140353	0.152209	1149.970653
3893.000000	0.127632	0.132956	1325.045608
3895.000000	0.122634	0.108978	1893.114925
3897.000000	0.132873	0.154394	1521.604002
3899.000000	0.137598	0.132532	840.420316
3901.000000	0.137596	0.139664	1718.668908
3903.000000	0.147389	0.150075	1912.728068
3905.000000	0.127435	0.126450	1340.355228
3907.000000	0.143859	0.137637	1363.572083
3909.000000	0.120881	0.149214	1975.467079
3911.000000	0.123604	0.123155	1665.035485
3913.000000	0.137229	0.164926	804.816001
3915.000000	0.141666	0.154059	1623.065373
3917.000000	0.133760	0.130992	1986.888526
3919.000000	0.154017	0.187335	1345.830265
3921.000000	0.143427	0.147330	963.114807
3923.000000	0.126100	0.115761	1513.714962
3925.000000	0.123560	0.119227	1216.879236
3927.000000	0.128430	0.135407	615.671986
3929.000000	0.126179	0.121243	815.565317
3931.000000	0.129382	0.117966	1044.477806
3933.000000	0.130383	0.125486	901.992566
3935.000000	0.150465	0.148456	691.808905
3937.000000	0.140077	0.135241	1341.124048
3939.000000	0.121851	0.133715	1366.316608
3941.000000	0.122521	0.153506	783.939682
3943.000000	0.130933	0.135785	1010.216505
3945.000000	0.125126	0.124331	1530.417947
3947.000000	0.125187	0.123748	1324.893311
3949.000000	0.131538	0.133913	733.643267
3951.000000	0.139742	0.141203	1476.230242
3953.000000	0.136544	0.160419	1468.214551
3955.000000	0.130982	0.149960	883.805132
3957.000000	0.125967	0.135677	793.411729
3959.000000	0.121795	0.115002	1175.922694
3961.000000	0.136889	0.137912	999.527256
3963.000000	0.145312	0.147285	502.615102
3965.000000	0.131707	0.146688	911.916988
3967.000000	0.113400	0.111693	1008.394655
3969.000000	0.135096	0.139628	683.285559
3971.000000	0.137151	0.143048	539.312274
3973.000000	0.128717	0.121773	907.945097
3975.000000	0.129438	0.143748	871.091983
3977.000000	0.126754	0.136860	509.194649
3979.000000	0.129338	0.126123	762.974286
3981.000000	0.115526	0.122861	1060.062714
3983.000000	0.124938	0.113363	933.939280
3985.000000	0.117153	0.127319	672.748282
3987.000000	0.122159	0.111813	1351.198992
3989.000000	0.115060	0.111669	1505.769178
3991.000000	0.121665	0.113005	876.552738
3993.000000	0.137169	0.127203	1003.314775
3995.000000	0.123478	0.128135	1497.198764
3997.000000	0.134688	0.148658	1284.054425
3999.000000	0.137597	0.164994	672.430874
4001.000000	0.114760	0.116883	1422.329489
4003.000000	0.125988	0.116498	1528.198679
4005.000000	0.117865	0.114926	920.685756
4007.000000	0.116538	0.113072	821.080129
4009.000000	0.116563	0.135192	951.748892
4011.000000	0.116948	0.119519	627.595955
4013.000000	0.121640	0.128608	256.769165
4015.000000	0.131144	0.117682	499.374614
4017.000000	0.117947	0.103252	535.344794
4019.000000	0.122638	0.115472	298.064389
4021.000000	0.119686	0.113163	190.981419
4023.000000	0.128284	0.120025	237.714995
4025.000000	0.136117	0.127724	171.563197
4027.000000	0.128362	0.123363	59.004707
4029.000000	0.116376	0.122871	63.883570
4031.000000	0.130384	0.125580	68.138018
