

# Disconnected MM\
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
3851.000000	0.124378	0.131748	1854.136911
3853.000000	0.121975	0.164721	2026.189355
3855.000000	0.126429	0.294439	1300.145499
3857.000000	0.122695	0.121805	1257.334119
3859.000000	0.095422	0.132902	1691.379719
3861.000000	0.109482	0.107568	1291.674278
3863.000000	0.119328	0.145096	587.776792
3865.000000	0.114429	0.131204	1063.485695
3867.000000	0.119936	0.117866	1304.125839
3869.000000	0.129282	0.150997	1089.241540
3871.000000	0.128015	0.184610	970.790025
3873.000000	0.117993	0.113437	1790.087403
3875.000000	0.139836	0.165818	1797.906019
3877.000000	0.131577	0.162618	1093.756328
3879.000000	0.126729	0.124889	1600.744234
3881.000000	0.121800	0.152199	1989.234440
3883.000000	0.133550	0.215359	1382.751971
3885.000000	0.144555	0.192625	792.517649
3887.000000	0.123936	0.128875	1235.574843
3889.000000	0.121170	0.131278	1297.970216
3891.000000	0.130297	0.125532	705.281201
3893.000000	0.146054	0.152831	965.563879
3895.000000	0.133214	0.140767	1364.674655
3897.000000	0.113500	0.118066	1094.573497
3899.000000	0.130506	0.183115	516.081344
3901.000000	0.112992	0.108689	867.329668
3903.000000	0.130732	0.143606	838.784004
3905.000000	0.135555	0.121021	489.206072
3907.000000	0.140194	0.148467	416.110285
3909.000000	0.120532	0.132655	530.994874
3911.000000	0.131294	0.127296	406.166739
3913.000000	0.122569	0.121919	180.619351
3915.000000	0.133293	0.142712	294.464633
3917.000000	0.115679	0.120976	271.288080
3919.000000	0.133464	0.130403	141.830935
3921.000000	0.124654	0.121293	81.535696
3923.000000	0.133751	0.139671	88.794208
3925.000000	0.129577	0.134385	47.046399
3927.000000	0.131220	0.122405	13.740192
3929.000000	0.129001	0.123580	14.808571
3931.000000	0.128710	0.122230	17.892331
3933.000000	0.125798	0.120445	8.696135
3935.000000	0.119397	0.112951	7.475016
3937.000000	0.115880	0.124646	14.375889
3939.000000	0.118090	0.134484	18.209091
3941.000000	0.124316	0.113189	15.223639
3943.000000	0.116715	0.110532	30.105452
3945.000000	0.123383	0.122852	69.070497
3947.000000	0.119289	0.108283	57.906697
3949.000000	0.121754	0.125596	24.821311
3951.000000	0.136807	0.125950	54.939352
3953.000000	0.128670	0.136588	54.356563
3955.000000	0.120510	0.124123	48.022164
3957.000000	0.132864	0.153913	79.685812
3959.000000	0.130572	0.131513	172.475033
3961.000000	0.121984	0.098523	233.844801
3963.000000	0.122152	0.136917	146.845807
3965.000000	0.133341	0.145487	327.973695
3967.000000	0.119105	0.107994	419.072848
3969.000000	0.135073	0.142958	266.727851
3971.000000	0.102062	0.093574	173.734377
3973.000000	0.128792	0.117928	226.571948
3975.000000	0.121388	0.123737	133.807162
3977.000000	0.120849	0.112369	64.475728
3979.000000	0.125771	0.117027	140.718481
3981.000000	0.120899	0.103342	251.833853
3983.000000	0.110336	0.108524	262.898415
3985.000000	0.132899	0.131385	221.294534
3987.000000	0.131156	0.131592	527.391065
3989.000000	0.113241	0.112282	654.285418
3991.000000	0.152574	0.176226	449.269494
3993.000000	0.133377	0.136926	762.213661
3995.000000	0.114688	0.112653	1448.872892
3997.000000	0.144412	0.203209	1405.868946
