

# 
# Scan parameters: power 16.000000 dBm, bandwidth 1.500000 Hz
# Frequency [MHz]	avg noise	std noise	peak value
10000.000000	596.878768	568.840867	691977.065591
9999.000000	844.313398	783.127281	1075135.147512
9998.000000	632.826171	591.343456	753372.928896
9997.000000	552.667677	580.755996	971454.994472
9996.000000	530.208377	515.410829	1262155.634250
9995.000000	627.840000	708.100349	927550.359687
9994.000000	673.782152	775.604710	1289204.936736
9993.000000	554.342546	670.508230	1094455.036596
9992.000000	656.435570	714.136945	1213640.674266
9991.000000	542.673684	552.949784	1153710.792337
9990.000000	559.275358	625.664832	1251793.615503
9989.000000	617.643345	593.306943	1125687.282332
9988.000000	645.668856	654.002148	1211452.386632
9987.000000	495.870926	495.505758	1143311.502416
9986.000000	578.322625	529.342343	1182713.946865
9985.000000	559.793666	638.563287	865177.274272
9984.000000	646.660001	691.801674	1240796.979267
9983.000000	623.653420	606.755865	1147246.052157
9982.000000	580.911282	677.055656	1221873.143840
9981.000000	586.463386	569.642419	1124225.383232
9980.000000	601.861387	949.284464	1237089.908849
9979.000000	673.066607	734.348710	847539.457514
9978.000000	645.853374	732.221361	1198884.229357
9977.000000	616.822913	666.139678	888877.188141
9976.000000	626.673669	728.385741	802194.954339
9975.000000	637.341486	767.818883	1159452.018169
9974.000000	699.122124	727.240784	801364.462441
9973.000000	559.909568	588.565361	1124883.799482
9972.000000	542.626610	558.068453	792466.603034
9971.000000	460.668229	523.134706	1164988.605074
9970.000000	487.881164	648.567250	1267396.482615
9969.000000	444.767887	479.330283	1146875.879550
9968.000000	523.245422	503.919783	813041.643504
9967.000000	502.713286	567.444911	1240863.118597
9966.000000	454.526936	568.816009	1263546.491384
9965.000000	473.943331	574.114179	1229377.806149
9964.000000	358.721497	383.888800	1311313.872696
9963.000000	346.999669	353.268029	1282196.297494
9962.000000	324.868475	399.943347	805574.710145
9961.000000	316.362185	321.662879	899397.359690
9960.000000	332.663482	313.980686	1307929.608679
9959.000000	361.310674	409.116396	1065265.826583
9958.000000	390.435930	456.326886	1313640.651509
9957.000000	427.538253	426.128184	1094981.682652
9956.000000	483.588393	496.124658	773144.242595
9955.000000	476.783885	514.675654	971809.894479
9954.000000	376.068322	343.358086	763063.268384
9953.000000	425.861016	469.190347	1151567.163885
9952.000000	395.458662	499.767873	1248903.307204
9951.000000	386.838102	465.413040	926913.575281
9950.000000	356.605292	473.666795	1319604.027844
9949.000000	306.503386	428.071171	934547.072929
9948.000000	409.676192	731.506428	776595.581247
9947.000000	395.630187	494.483608	1022998.128926
9946.000000	418.415619	586.845511	1306154.122365
9945.000000	359.037830	402.048842	1067536.096346
9944.000000	386.798539	423.344186	1359440.648051
9943.000000	405.373648	614.851099	1026530.602939
9942.000000	394.911660	463.645759	795955.047959
9941.000000	337.735856	578.734147	956069.634909
9940.000000	360.838568	382.548272	1269164.500160
9939.000000	333.728840	315.766417	1015842.965908
9938.000000	360.720169	441.552276	1348782.365687
9937.000000	346.214963	433.285602	989478.492108
9936.000000	320.493140	369.304013	819004.589450
9935.000000	362.939244	402.554854	988960.333093
9934.000000	355.276319	463.842616	1310375.437591
9933.000000	328.180476	503.220482	1004302.138729
9932.000000	292.775772	366.362630	1378798.349366
9931.000000	285.449239	392.153337	1003022.493306
9930.000000	312.998368	314.030908	783589.454566
9929.000000	312.715635	393.061658	1027575.841130
9928.000000	301.914701	508.227597	1318311.112642
